#{"t_start": 1584840611.5172513, "env_id": "my_panda_free_space_traj"}
r,l,t
167.170752,500,16.57789
390.556017,500,26.701923
319.927889,500,36.994782
405.573352,500,47.256011
436.16907,500,57.072078
740.101656,500,67.208211
1201.122733,500,77.051869
1232.819525,500,87.157997
1324.991283,500,97.061809
1945.82453,500,107.351388
2767.899289,500,117.562808
3288.368234,500,128.065828
2396.160217,500,138.92468
2616.156107,500,161.748174
2981.433761,500,177.983635
3062.812212,500,188.565367
3762.471484,500,199.216214
3985.428804,500,210.043365
3589.030807,500,220.730568
4162.616294,500,231.859456
4341.51333,500,242.637907
4568.346714,500,253.822824
4665.543444,500,264.759842
4134.029831,500,275.675643
4831.191304,500,286.770685
5179.470675,500,297.727118
4262.830571,500,309.087211
4458.505804,500,319.869604
6167.248218,500,330.853428
5070.839143,500,342.287541
5214.790024,500,353.352308
5299.191223,500,364.924918
6046.209815,500,376.041336
4872.819046,500,387.566922
6455.196187,500,398.754265
5393.183193,500,409.998519
6904.257464,500,421.47859
8003.110917,500,432.948292
7501.134585,500,444.774964
7788.53987,500,455.793583
7454.660014,500,466.931605
7055.285783,500,478.157281
8112.061978,500,489.081761
8922.440236,500,500.476555
8106.178191,500,511.457811
8409.940087,500,522.796439
9582.630222,500,533.965129
10172.049075,500,545.052294
10244.067983,500,556.304567
10067.699759,500,567.312169
9068.669354,500,578.452823
10341.108794,500,589.443445
10071.220397,500,600.476968
10240.033387,500,611.714564
11596.112524,500,622.900034
10627.890219,500,634.417881
11068.46242,500,645.776906
9071.738109,500,656.81517
11705.61636,500,667.844988
10195.112855,500,678.705049
10432.857036,500,689.839222
13501.665444,500,700.90139
12273.744431,500,712.289405
11782.580464,500,723.261467
12438.347448,500,734.268188
13925.999362,500,745.458224
11800.765039,500,756.534215
12811.599408,500,767.902807
13785.820081,500,779.069654
12033.592443,500,790.493712
12427.771237,500,801.502941
12029.222992,500,812.523637
13773.947189,500,823.749098
14791.362965,500,834.531737
12711.874049,500,845.45976
16206.037812,500,856.046268
16688.967026,500,866.748068
15387.821172,500,877.954474
16174.131905,500,888.898288
16820.602194,500,900.041969
18251.547318,500,910.949727
18531.923047,500,922.209944
15892.089662,500,933.160434
16583.564296,500,943.833986
17616.83498,500,955.038359
20002.852335,500,965.306594
19319.515273,500,976.123749
22864.986078,500,986.61559
19080.913022,500,997.152387
20732.059685,500,1007.850889
23321.341802,500,1018.557397
20823.129259,500,1029.647227
19446.214726,500,1040.433837
23948.686171,500,1051.098614
25187.656466,500,1061.400974
24946.008249,500,1071.755982
21165.310123,500,1082.463482
21604.991555,500,1092.792483
22765.045131,500,1103.584518
25196.18893,500,1114.003386
23498.542567,500,1124.463629
23665.416934,500,1135.049975
25139.822223,500,1145.276091
27483.213423,500,1155.821088
26310.542759,500,1165.911535
29259.818174,500,1176.622567
27690.84964,500,1187.30755
28991.654504,500,1197.627272
28428.731503,500,1208.286414
21801.936257,500,1218.832147
31397.767492,500,1229.583232
30098.586639,500,1239.565486
29807.852619,500,1249.950845
27008.371254,500,1260.783689
27693.950295,500,1271.036337
27590.047454,500,1281.68046
26190.255951,500,1291.671387
28449.305264,500,1302.105835
30859.541042,500,1312.187716
24539.499547,500,1322.534076
29110.258374,500,1333.349345
28971.467571,500,1343.599609
28428.135206,500,1353.957947
29138.864711,500,1364.069101
