#{"env_id": "my_panda_free_space_traj", "t_start": 1584854170.3140092}
r,l,t
442.299063,500,15.054089
191.981401,500,24.326692
409.819872,500,34.025043
412.69813,500,43.34084
549.448203,500,52.880495
815.286582,500,61.92218
1193.605083,500,70.818154
1544.346709,500,79.986187
1791.507682,500,88.84558
1985.868018,500,98.19098
2047.300955,500,107.202166
2853.958575,500,116.51969
4387.251624,500,126.385675
6289.493112,500,136.043632
6163.924841,500,146.148932
6341.995315,500,155.75907
7177.077669,500,165.74698
9306.886202,500,175.485756
8090.836957,500,185.28131
8663.882192,500,195.296227
7358.153513,500,204.968594
8728.700845,500,215.02374
9343.153658,500,224.656777
9681.573787,500,234.314238
10850.488527,500,244.258399
9026.390462,500,253.953994
12594.880356,500,263.928231
12474.33734,500,273.488441
12923.213564,500,283.425715
15035.196927,500,292.961666
12483.989482,500,302.542708
18009.887706,500,312.442495
16943.168669,500,322.220195
16390.986364,500,332.235533
18556.357526,500,341.975036
17630.192362,500,351.635889
18463.609643,500,361.598742
19365.451511,500,371.134185
22715.483819,500,381.031651
19673.365235,500,390.52837
21766.958325,500,400.469858
22842.913323,500,410.002637
22827.320112,500,419.552525
19452.933313,500,429.539109
23908.562306,500,439.647352
26154.534975,500,450.02283
22075.614471,500,459.970184
22709.50566,500,469.852587
24200.83764,500,480.215197
25975.731215,500,489.993751
26519.210485,500,500.277874
27915.077395,500,510.314871
27035.711787,500,520.532205
27984.300371,500,530.397958
29898.667441,500,540.093787
28607.172079,500,550.141747
28407.065339,500,559.751779
30903.635102,500,569.858395
32507.060903,500,579.551181
34516.178716,500,589.208567
32161.705413,500,599.145383
33750.544735,500,608.691916
38765.146703,500,618.626329
35934.645762,500,628.224714
33927.108448,500,638.177764
33593.491997,500,647.737462
33400.406785,500,657.26985
32669.854394,500,667.404806
38271.828278,500,677.127589
37077.879909,500,687.101738
36718.339683,500,696.793445
34192.180457,500,706.36273
37565.62766,500,716.182085
40235.036838,500,725.701341
38013.229946,500,735.652256
40770.554291,500,745.304938
40564.710179,500,755.265753
32682.231884,500,764.72114
35819.757459,500,774.233423
38261.826795,500,784.168854
41690.875228,500,793.700004
44233.597747,500,803.596581
42537.022138,500,813.058333
39578.669247,500,822.494081
39924.064989,500,832.464515
43730.037196,500,842.148872
43009.493191,500,852.112267
43752.308989,500,861.726006
42848.877222,500,871.621503
45864.822534,500,881.204476
46325.760824,500,890.704939
44142.360213,500,900.606336
45432.713731,500,910.185213
45337.050454,500,920.054676
45079.721124,500,929.54215
47066.776982,500,938.981401
44808.461061,500,948.961152
45748.722089,500,958.562558
45959.09755,500,968.312405
46320.322846,500,977.876301
50060.660547,500,987.811191
46939.749189,500,997.258536
48292.137084,500,1006.761804
50274.24315,500,1016.578656
47991.648473,500,1026.215298
44756.777562,500,1036.032357
47860.815296,500,1045.415725
49452.249097,500,1054.874342
51125.103354,500,1064.723227
52479.160192,500,1074.198444
47091.912647,500,1084.14521
51549.692801,500,1093.595114
50428.575431,500,1103.384851
50415.897436,500,1112.830579
50591.513612,500,1122.330464
50395.993573,500,1132.365007
51045.92658,500,1141.947493
53659.88446,500,1151.943006
49679.138747,500,1161.419821
50675.316638,500,1170.848517
53752.055419,500,1180.560968
54943.376637,500,1190.073052
54820.687527,500,1199.84789
53890.420931,500,1209.435404
