#{"t_start": 1586557607.9261017, "env_id": "my_panda_free_space_traj"}
r,l,t
275.403099,500,16.666688
280.01277,500,26.681195
147.269718,500,36.697857
203.003273,500,46.61415
203.712536,500,56.820403
197.109236,500,66.814799
189.055938,500,76.761648
261.976267,500,86.880023
262.271541,500,96.735394
295.362684,500,106.55828
309.987155,500,116.430642
398.026415,500,126.425983
357.299021,500,136.073647
467.935031,500,145.745447
966.199845,500,155.670475
1502.701632,500,165.437943
1558.44886,500,175.306684
1175.767812,500,185.476319
1835.079435,500,195.355204
1918.194535,500,205.377187
2196.727867,500,215.456152
2264.497546,500,225.634631
2284.454454,500,235.679535
2487.533197,500,245.782373
2671.172724,500,256.301708
3279.499554,500,266.687518
3561.400556,500,276.995811
3841.315481,500,287.455132
3600.630091,500,298.107259
3611.324403,500,308.725698
3381.723384,500,319.401451
4229.444761,500,330.296102
4294.167876,500,340.979079
4298.536069,500,351.633635
5012.533441,500,362.594386
4014.376028,500,373.433761
4582.53761,500,384.323109
4541.085103,500,395.352215
4244.228754,500,406.205195
4695.636867,500,417.057814
4057.86271,500,427.804715
4610.593531,500,438.932771
4262.336237,500,449.815107
4119.682358,500,460.647076
4182.80203,500,471.663213
4165.754343,500,482.487577
4205.392901,500,493.291049
4150.595972,500,504.483739
4785.835507,500,515.357249
4782.559422,500,526.199401
4459.876918,500,537.07315
4740.336404,500,548.10119
4720.634858,500,558.889499
4931.53542,500,569.765905
4493.398113,500,580.776997
4489.734029,500,591.593194
4747.138413,500,602.29076
4371.847432,500,613.049633
4014.027099,500,623.988387
4669.172017,500,634.854098
4563.000691,500,645.584792
5392.692999,500,656.484714
4466.744222,500,667.204923
4079.243408,500,677.946049
5136.055965,500,688.861471
5691.638846,500,699.649528
4191.460292,500,710.38707
4430.69321,500,721.419009
5505.17618,500,732.169458
5563.285227,500,742.926153
4995.456757,500,753.684698
4741.26189,500,764.617709
5129.769543,500,775.428423
5042.706693,500,786.181843
4539.469155,500,797.118979
5554.87016,500,807.940018
4831.398356,500,818.695775
4524.14626,500,829.695707
5856.141888,500,840.529662
5138.72125,500,851.257764
4766.762814,500,862.087989
4911.729355,500,873.009854
4615.495348,500,883.69413
5098.451137,500,894.442274
5128.293962,500,905.349167
4785.713337,500,915.982195
5091.045818,500,926.681493
5173.909412,500,937.390385
4621.197022,500,948.315918
4664.255884,500,959.063047
5093.885745,500,969.814015
4675.706359,500,980.741643
4610.689712,500,991.43761
5271.752673,500,1002.102435
4763.695898,500,1013.034247
4932.913423,500,1023.748377
4964.298888,500,1034.475393
5227.080809,500,1045.369592
5796.764931,500,1056.074539
5183.720861,500,1066.81068
4836.399278,500,1077.573547
5272.091475,500,1088.5354
5286.567676,500,1099.295429
5530.022052,500,1110.096122
5105.516191,500,1121.08586
5833.318518,500,1131.880611
5084.286197,500,1142.631256
5413.996822,500,1153.601909
6210.236638,500,1164.332072
5710.644074,500,1175.065831
5123.961227,500,1185.776226
5774.051879,500,1196.735645
5647.625208,500,1207.526405
5151.867075,500,1218.280373
5828.773126,500,1229.302858
5584.73236,500,1240.008363
4976.71325,500,1250.65666
5698.566517,500,1261.36921
5636.196021,500,1272.350109
5128.62427,500,1283.095827
5341.885494,500,1293.887249
5821.81602,500,1304.822865
5394.328503,500,1315.560833
5789.542053,500,1326.29803
