#{"env_id": "my_panda_free_space_traj", "t_start": 1582839883.469405}
r,l,t
151.755833,1001,12.587608
3440.83075,1001,24.648426
4852.015262,1001,37.258837
199.184744,1001,49.600427
7.372193,1001,62.097003
6.559177,1001,73.803044
580.650679,1001,85.621182
1063.765079,1001,97.779261
6360.078941,1001,109.550447
1281.795511,1001,122.259531
617.687868,1001,133.418642
1002.547514,1001,145.614654
702.168616,1001,158.124171
700.288382,1001,171.280559
193.898317,1001,184.408013
140.98075,1001,196.821659
93.147586,1001,209.146385
112.665744,1001,221.861506
149.939303,1001,234.642938
22.853738,1001,246.772119
6815.815607,1001,259.173986
4.167196,1001,271.23705
11837.18554,1001,283.395969
10609.612191,1001,295.155606
31.126732,1001,307.779617
12225.860313,1001,319.855146
11228.830116,1001,331.747745
9726.8473,1001,343.56628
5.061608,1001,355.82603
4.375632,1001,367.620591
5.282765,1001,379.119655
6.9119,1001,391.438494
46.019457,1001,403.685546
40.204655,1001,416.348448
7.475243,1001,428.609619
68.237293,1001,440.790665
31.305022,1001,452.748096
8.068384,1001,465.405146
68.38985,1001,477.922973
3586.218812,1001,489.519914
33.309104,1001,501.575759
108.595963,1001,513.866303
76.203702,1001,526.550077
100.686605,1001,538.692581
11519.213955,1001,550.220153
12166.382134,1001,561.871382
11131.105954,1001,573.803886
14414.679431,1001,585.919206
374.077554,1001,598.849498
571.317674,1001,611.536617
3397.265793,1001,623.063898
4936.044984,1001,634.584049
5079.790633,1001,646.414839
228.826259,1001,660.035592
270.908282,1001,672.825038
4067.60094,1001,685.325872
232.747966,1001,698.829809
5103.739378,1001,710.625659
68.134705,1001,722.793507
77.411083,1001,735.2616
533.656339,1001,747.801593
75.419854,1001,759.923509
73.160213,1001,773.150094
348.772291,1001,785.038453
357.631279,1001,796.683473
369.646483,1001,808.164759
386.799501,1001,820.027198
93.50696,1001,832.382904
449.862937,1001,844.462946
24.897067,1001,856.859059
181.131133,1001,869.853628
181.257695,1001,882.813101
269.930189,1001,895.677311
338.129499,1001,908.143035
360.124861,1001,920.120046
363.966275,1001,932.587212
2.712537,1001,944.829043
6.560407,1001,957.238883
84.749176,1001,969.567631
41.47585,1001,981.941241
6602.554782,1001,994.237684
3465.7077,1001,1006.781728
4715.680902,1001,1018.967278
155.478959,1001,1030.450986
833.124725,1001,1043.318048
1042.092019,1001,1055.961234
5001.86384,1001,1068.236097
7240.259929,1001,1081.023905
10757.306542,1001,1092.666221
10943.005504,1001,1104.864488
11659.214201,1001,1116.44036
13050.105927,1001,1128.264546
238.561536,1001,1140.289049
2225.023513,1001,1152.423305
149.307787,1001,1165.828964
524.314941,1001,1177.914321
8.283998,1001,1190.358839
23.742421,1001,1204.212647
444.80475,1001,1216.662654
140.196308,1001,1230.532594
3.039997,1001,1242.774312
3.800705,1001,1254.560325
339.568662,1001,1266.565448
394.466876,1001,1278.567897
606.965475,1001,1290.611598
403.662431,1001,1302.893835
18.835883,1001,1317.244767
4406.448258,1001,1329.519337
4508.049155,1001,1341.510078
19.42206,1001,1354.338248
4992.301919,1001,1366.640732
12.074568,1001,1380.370492
439.709168,1001,1392.899695
5922.647123,1001,1405.200596
75.478853,1001,1418.317627
347.572338,1001,1431.195942
597.73345,1001,1444.055774
413.48396,1001,1456.660103
472.454079,1001,1469.087579
3.459564,1001,1482.283222
433.653011,1001,1495.329357
2.576993,1001,1508.284867
440.694875,1001,1521.040656
300.873701,1001,1533.599251
9.380101,1001,1547.618501
7847.91608,1001,1560.193246
892.549407,1001,1572.706343
1015.257408,1001,1584.994198
8.034448,1001,1598.226392
5.249566,1001,1612.182603
5.385923,1001,1624.768397
9.241336,1001,1638.065932
312.693092,1001,1650.813695
9.070614,1001,1665.138585
281.564456,1001,1677.746306
499.22315,1001,1690.421081
568.11613,1001,1702.886323
23.480048,1001,1715.728941
978.662029,1001,1728.431785
3771.173355,1001,1741.56373
2140.080791,1001,1754.078352
271.102955,1001,1766.992302
12.771985,1001,1780.081083
852.69114,1001,1792.734076
310.377875,1001,1805.307715
192.829879,1001,1818.373189
22.143154,1001,1832.563639
822.98862,1001,1845.514587
7.654776,1001,1857.617523
1698.636266,1001,1870.785902
7.692463,1001,1882.499219
5366.216766,1001,1894.704052
5083.254731,1001,1906.764023
3763.455084,1001,1919.243845
13.748419,1001,1931.399853
3.902063,1001,1943.17899
1429.373115,1001,1955.290383
609.212724,1001,1967.563115
3.991362,1001,1979.037737
4.291364,1001,1991.081506
1269.668339,1001,2003.138062
4159.585314,1001,2015.111598
1771.814276,1001,2027.28329
2700.957029,1001,2039.779784
4286.253074,1001,2051.763776
7303.16699,1001,2063.901151
5.849699,1001,2075.940834
5575.487457,1001,2088.080418
4891.89207,1001,2099.82172
6310.558771,1001,2112.363568
6746.44608,1001,2124.334644
3782.978183,1001,2136.428284
215.700266,1001,2148.291467
2772.329298,1001,2160.496638
8165.222036,1001,2172.396049
10081.733099,1001,2184.206298
2801.118873,1001,2196.711246
10889.039673,1001,2208.651701
10781.674853,1001,2220.489477
12130.509555,1001,2233.135752
7.305218,1001,2244.800012
12360.310905,1001,2256.703681
12984.340723,1001,2268.66051
363.538384,1001,2280.306457
