#{"env_id": "my_panda_free_space_traj", "t_start": 1582810859.1410968}
r,l,t
3798.281169,1001,63.81114
5166.936358,1001,119.144799
6545.765815,1001,175.655462
8204.361538,1001,232.809155
9350.109507,1001,289.875959
8871.351509,1001,346.83734
9398.608886,1001,408.945274
9198.734218,1001,466.409398
9407.855968,1001,522.69639
9137.095828,1001,579.798279
9088.900721,1001,636.534036
9108.329561,1001,693.957293
9242.355173,1001,750.499657
9866.086016,1001,809.716996
9928.30903,1001,867.237364
10453.792366,1001,924.056379
10172.806187,1001,980.038564
10144.570289,1001,1036.130127
10499.674605,1001,1093.498877
10014.148734,1001,1151.030368
10549.325319,1001,1208.114902
10320.026747,1001,1265.215634
10592.793796,1001,1322.851196
10398.458776,1001,1380.327749
10309.986844,1001,1437.152103
10355.443937,1001,1493.243574
10712.9067,1001,1550.634731
10636.718339,1001,1607.377823
10604.878601,1001,1660.930534
10658.114514,1001,1714.312563
10808.345753,1001,1769.151864
10967.966831,1001,1823.449371
10885.086899,1001,1878.948185
11107.967426,1001,1933.300126
11066.773139,1001,1986.754208
11077.312973,1001,2041.15958
11287.654707,1001,2094.84162
10913.823369,1001,2149.439445
11248.31227,1001,2203.560354
11334.432007,1001,2256.118603
11502.782271,1001,2310.274821
11407.058747,1001,2364.072158
11392.994671,1001,2420.049041
11679.617203,1001,2474.228296
11539.864742,1001,2527.633848
11716.16397,1001,2582.813664
