#{"env_id": "my_panda_free_space_traj", "t_start": 1582810860.1927848}
r,l,t
2972.241588,1001,63.665612
5926.127733,1001,118.994067
8244.533181,1001,175.513002
8397.364147,1001,232.386947
8216.760122,1001,289.46043
9228.429499,1001,346.445768
9217.270614,1001,408.57265
8489.760624,1001,466.02949
9596.206884,1001,522.550236
9397.940314,1001,579.696237
9292.13929,1001,636.121704
9448.805899,1001,693.562437
10151.250041,1001,750.091449
9699.560968,1001,809.324495
9611.441858,1001,867.10577
10022.487808,1001,923.886336
10187.50407,1001,979.886595
10371.389865,1001,1035.999147
10429.584266,1001,1093.095709
10354.313354,1001,1150.607628
10543.542054,1001,1207.729132
10344.573165,1001,1264.819765
10755.801764,1001,1322.446907
10607.995624,1001,1380.191367
10744.199333,1001,1437.032311
10801.526695,1001,1492.820839
10967.129497,1001,1550.230554
10908.65707,1001,1606.946779
10667.767203,1001,1660.499573
10934.867852,1001,1714.169563
10866.479464,1001,1768.988753
11189.966509,1001,1823.286438
10966.055278,1001,1878.861896
10797.530429,1001,1932.907854
11277.793809,1001,1986.359508
11064.188153,1001,2040.766244
11006.158065,1001,2094.443175
11182.431714,1001,2149.043085
11486.535806,1001,2203.460366
11464.353706,1001,2256.03322
11459.422214,1001,2309.88677
11580.626567,1001,2363.674543
11262.559435,1001,2419.647633
11623.400695,1001,2473.828716
11549.082972,1001,2527.521322
11488.333603,1001,2582.734816
11635.31107,1001,2638.78175
11322.009104,1001,2692.794638
11485.981663,1001,2746.01538
11859.322782,1001,2800.289967
11730.655996,1001,2854.627044
11748.412144,1001,2907.521417
12060.388311,1001,2962.384126
12235.470959,1001,3017.083708
12071.198347,1001,3072.189308
11954.630589,1001,3127.529063
12110.31438,1001,3183.231678
12136.703062,1001,3238.090424
11998.727684,1001,3293.546631
12007.096424,1001,3349.154136
12503.715184,1001,3405.071199
12247.733647,1001,3461.376893
12316.588861,1001,3518.432245
12221.471411,1001,3573.698222
12222.889176,1001,3628.79377
12256.546329,1001,3684.403384
12342.767554,1001,3742.252362
12230.135792,1001,3798.614301
12454.467776,1001,3854.481038
12373.381645,1001,3907.883705
12395.083238,1001,3962.928241
