#{"t_start": 1582810594.0799022, "env_id": "my_panda_free_space_traj"}
r,l,t
312.735214,1000,31.728221
505.836961,1000,56.759238
1466.838927,1000,81.203584
1899.05537,1000,104.781865
2742.36497,1000,128.814559
4794.222392,1000,152.356809
4121.220575,1000,177.749501
7367.072282,1000,204.12832
5028.908075,1000,230.034899
9064.491321,1000,256.078162
9403.254839,1000,283.54551
8511.782634,1000,310.510399
9650.687943,1000,337.791536
8248.892876,1000,365.725442
10062.554068,1000,392.695671
11741.894728,1000,419.17966
15405.54551,1000,448.799764
15521.238866,1000,475.248863
17759.853033,1000,502.17508
19574.838484,1000,529.44585
24343.947914,1000,557.287019
22492.038986,1000,583.496396
26300.615828,1000,610.178874
24594.6006,1000,636.107884
28267.633652,1000,663.981227
25668.685981,1000,690.713202
28079.45689,1000,716.497066
28318.885013,1000,742.645364
33293.319868,1000,768.433457
30731.579663,1000,794.926088
30260.67288,1000,820.864175
32037.411598,1000,846.794817
31424.271822,1000,872.258416
34029.523121,1000,898.39839
34471.954912,1000,924.45163
32397.682161,1000,949.976482
37716.223677,1000,976.152468
38761.433228,1000,1002.687933
35471.692157,1000,1028.491592
39049.494209,1000,1054.055615
38402.837588,1000,1082.021995
39331.981853,1000,1107.694893
39804.166785,1000,1133.14275
38947.511275,1000,1158.544382
39943.307056,1000,1184.047415
39709.934183,1000,1209.36912
44371.519159,1000,1235.209839
43581.723031,1000,1260.965052
45853.651612,1000,1286.127005
46508.031619,1000,1311.806994
49999.655302,1000,1337.696083
44617.391075,1000,1363.617253
47961.224771,1000,1388.938793
50874.577478,1000,1415.005028
52270.259176,1000,1440.760263
54753.277635,1000,1466.729042
50272.737268,1000,1492.621407
55536.524571,1000,1518.063651
54340.82921,1000,1543.811417
59870.784486,1000,1569.248933
60033.315777,1000,1594.423218
58465.80411,1000,1620.623741
61217.887037,1000,1647.353233
63418.126184,1000,1673.116219
63687.099907,1000,1699.428888
62248.86747,1000,1724.887812
65793.50149,1000,1750.190316
67543.55531,1000,1776.370733
62756.783975,1000,1801.298514
75979.384455,1000,1826.474005
72915.491952,1000,1851.240477
