#{"t_start": 1582810748.7218668, "env_id": "my_panda_free_space_traj"}
r,l,t
471.574898,1000,34.319187
688.926445,1000,60.254156
577.655948,1000,86.631438
1520.511942,1000,111.465205
2740.419791,1000,137.187667
3193.24165,1000,161.81243
3630.696768,1000,188.240588
5600.450748,1000,214.902316
5423.077766,1000,242.647917
6672.190075,1000,271.362553
8159.354048,1000,301.07108
10459.101288,1000,329.787776
13295.92408,1000,358.186866
14211.779562,1000,388.03557
15505.085077,1000,416.927846
16742.935406,1000,445.633981
17518.48769,1000,474.181965
19174.928278,1000,503.405198
21046.793997,1000,532.487224
28095.033497,1000,559.145976
25557.905384,1000,587.037471
26947.727598,1000,614.850743
31634.241137,1000,642.142716
30466.65496,1000,669.487277
31328.96539,1000,696.974492
33499.091453,1000,724.405868
37233.192871,1000,751.869925
37325.566963,1000,780.859219
42416.66666,1000,808.779956
41796.373415,1000,837.112479
38246.977157,1000,865.393205
47865.854479,1000,893.309304
42100.717701,1000,922.809325
44752.457887,1000,951.017957
47841.650117,1000,979.747398
43166.548347,1000,1008.065676
49747.603875,1000,1034.740211
47572.316858,1000,1062.564394
49623.650381,1000,1090.701362
48830.979134,1000,1117.711096
51878.327492,1000,1145.856717
51836.508087,1000,1174.287439
56742.989191,1000,1202.496139
54388.083047,1000,1231.211354
53340.483384,1000,1259.94622
54846.705274,1000,1287.30187
55911.64448,1000,1315.414385
61516.415919,1000,1343.65992
55233.41527,1000,1372.632956
62247.28372,1000,1400.012173
62136.478233,1000,1428.02824
61133.719129,1000,1455.480629
73734.094698,1000,1485.139609
64767.481025,1000,1514.012893
65572.968069,1000,1542.377645
71340.460626,1000,1569.473025
71915.049659,1000,1596.9115
74053.853767,1000,1625.609539
64566.269759,1000,1654.542882
74938.643253,1000,1680.982907
68749.372534,1000,1709.268743
70620.575727,1000,1736.084841
78158.486924,1000,1762.952621
75428.742496,1000,1789.081547
83170.958638,1000,1816.219012
84818.466431,1000,1842.366847
82765.02896,1000,1868.303427
86823.716639,1000,1894.652999
87487.106582,1000,1921.154029
85635.52627,1000,1946.646392
88332.833136,1000,1972.453552
