serial_timesteps,n_updates,fps,explained_variance,policy_loss,total_timesteps,policy_entropy,time_elapsed,clipfrac,value_loss,approxkl,ep_reward_mean,ep_len_mean
32,1,170,-0.6645169258117676,-0.007979677,128,9.9321785,5.245208740234375e-06,0.0,0.89252144,0.00019876292,,
64,2,247,-0.09201061725616455,-0.0029296903,256,9.93115,0.7518281936645508,0.0,2.5802662,6.7340996e-05,,
96,3,245,-3.2967233657836914,-0.0055223955,384,9.931044,1.270447015762329,0.0,0.24448052,8.760829e-05,,
128,4,230,-2.1386547088623047,-0.0033114674,512,9.93091,1.7931437492370605,0.0,0.31107214,7.8071695e-05,,
160,5,232,-7.089574813842773,-0.003746549,640,9.929856,2.3482818603515625,0.0,0.2711707,7.329307e-05,,
192,6,239,-3.863457679748535,-0.003060765,768,9.930654,2.8997490406036377,0.0,0.13731518,5.0861152e-05,,
224,7,217,-1.9671752452850342,-0.0032801914,896,9.932137,3.4356560707092285,0.0,0.14949,5.791746e-05,,
256,8,247,-2.153761386871338,-0.0054887114,1024,9.931816,4.02445387840271,0.0,0.14171246,9.647799e-05,,
288,9,222,-0.8921254873275757,-0.004199438,1152,9.931821,4.5423548221588135,0.0,0.21848719,9.5810574e-05,,
320,10,232,-0.6729795932769775,-0.0026454022,1280,9.933404,5.119590520858765,0.0,0.13284644,4.7848145e-05,,
352,11,186,-1.3648021221160889,-0.0038604063,1408,9.93425,5.669638633728027,0.0,0.09723421,6.162912e-05,,
384,12,229,-0.25485503673553467,-0.0034862359,1536,9.932351,6.3564910888671875,0.0,0.16190137,7.334977e-05,,
416,13,229,-0.3981194496154785,-0.0031156496,1664,9.93063,6.914822578430176,0.0,0.16421166,5.5374592e-05,,
448,14,233,-1.3961269855499268,-0.0036942621,1792,9.930641,7.47422194480896,0.0,0.12490832,6.4066124e-05,,
480,15,256,-0.9256575107574463,-0.0042712684,1920,9.931426,8.024320363998413,0.0,0.19112475,0.0001020229,,
512,16,30,-0.44626688957214355,-0.0033895324,2048,9.931537,8.523799180984497,0.0,0.15187295,6.343819e-05,180.70240825000002,500.0
544,17,241,-0.338148832321167,-0.0029074566,2176,9.9309025,12.78665041923523,0.0,0.13352875,5.062225e-05,180.70240825000002,500.0
576,18,228,-0.24947476387023926,-0.0045302436,2304,9.928958,13.317567825317383,0.0,0.20403625,8.272605e-05,180.70240825000002,500.0
608,19,258,-0.0902395248413086,-0.006548491,2432,9.928768,13.879666090011597,0.0,0.13503507,0.00014038706,180.70240825000002,500.0
640,20,236,-2.840808868408203,-0.0024161914,2560,9.93171,14.375554323196411,0.0,0.14628388,9.100644e-05,180.70240825000002,500.0
672,21,223,-0.08004224300384521,-0.0040169526,2688,9.9339485,14.918650388717651,0.0,2.2549465,5.953197e-05,180.70240825000002,500.0
704,22,242,-1.903789758682251,-0.0034075282,2816,9.936029,15.49165153503418,0.0,0.20708275,6.521161e-05,180.70240825000002,500.0
736,23,252,-1.9975242614746094,-0.0023803678,2944,9.938014,16.02085828781128,0.0,0.08004641,5.566312e-05,180.70240825000002,500.0
768,24,242,-0.7240147590637207,-0.0027628755,3072,9.938188,16.52918577194214,0.0,0.08360416,4.6996265e-05,180.70240825000002,500.0
800,25,235,-3.056593894958496,-0.004444852,3200,9.938037,17.056605339050293,0.0,0.09719111,8.1107355e-05,180.70240825000002,500.0
832,26,252,-1.3780300617218018,-0.003153982,3328,9.937812,17.601886987686157,0.0,0.09189431,7.0331866e-05,180.70240825000002,500.0
864,27,225,-1.8370840549468994,-0.0029761547,3456,9.938025,18.11007046699524,0.0,0.090754576,7.697441e-05,180.70240825000002,500.0
896,28,250,-1.4996922016143799,-0.0027895547,3584,9.938099,18.677576065063477,0.0,0.10862099,4.2695683e-05,180.70240825000002,500.0
928,29,233,-1.6061902046203613,-0.0031626986,3712,9.93655,19.19004487991333,0.0,0.059624963,6.0342885e-05,180.70240825000002,500.0
960,30,240,-2.6348812580108643,-0.0031058763,3840,9.93507,19.73865270614624,0.0,0.058617633,6.287354e-05,180.70240825000002,500.0
992,31,261,-1.4971554279327393,-0.0034425631,3968,9.935004,20.27159595489502,0.0,0.06578139,7.887453e-05,180.70240825000002,500.0
1024,32,29,-0.16213452816009521,-0.003886746,4096,9.935069,20.761106252670288,0.0,0.1328358,7.4021125e-05,208.834963875,500.0
1056,33,246,-1.1345775127410889,-0.0029346016,4224,9.933882,25.124526262283325,0.0,0.054559745,5.797605e-05,208.834963875,500.0
1088,34,235,-1.2025928497314453,-0.0034642091,4352,9.93242,25.64412212371826,0.0,0.06674176,5.8430865e-05,208.834963875,500.0
1120,35,244,-1.367584466934204,-0.0030276137,4480,9.929763,26.1891450881958,0.0,0.10709473,5.4648044e-05,208.834963875,500.0
1152,36,224,-1.354022741317749,-0.0033131856,4608,9.929339,26.714030981063843,0.0,0.054737702,6.626904e-05,208.834963875,500.0
1184,37,247,-4.16915225982666,-0.002615363,4736,9.930103,27.284769296646118,0.0,0.045901567,4.250664e-05,208.834963875,500.0
1216,38,244,-3.31424617767334,-0.0044488935,4864,9.930812,27.8026921749115,0.0,0.047169663,8.3071616e-05,208.834963875,500.0
1248,39,243,-9.249160766601562,-0.0034481268,4992,9.930177,28.327112913131714,0.0,0.04076728,7.930393e-05,208.834963875,500.0
1280,40,243,-1.3906702995300293,-0.0039305333,5120,9.929612,28.853285551071167,0.0,0.06682999,8.998871e-05,208.834963875,500.0
1312,41,228,-1.2063641548156738,-0.0034018625,5248,9.928171,29.380171298980713,0.0,0.060385853,5.9847232e-05,208.834963875,500.0
