#{"env_id": "my_panda_free_space_traj", "t_start": 1585855200.0387723}
r,l,t
302.847217,500,14.892945
435.365961,500,26.391925
951.479297,500,37.480899
1542.357035,500,48.775336
2355.371942,500,60.041603
932.760626,500,71.690252
2095.397415,500,83.356498
1861.742279,500,95.241176
3377.395617,500,107.355225
3007.218435,500,119.184579
3149.712406,500,131.151965
5353.343065,500,142.673558
4335.126699,500,154.053805
4668.165822,500,165.916711
7513.14024,500,177.485477
10905.651551,500,188.916888
12372.280996,500,200.819772
14484.331757,500,212.502201
12268.923755,500,224.108686
15502.405411,500,235.711289
13149.690285,500,247.524931
17126.821365,500,259.195266
15322.570257,500,270.926368
15709.727742,500,283.183276
13270.884554,500,295.385041
17028.987703,500,306.923094
15278.851808,500,318.746854
17907.823599,500,330.430491
17914.62348,500,342.27634
14657.492259,500,354.305712
19721.339373,500,366.083699
24637.904935,500,378.079426
23377.462027,500,389.852868
23832.107062,500,401.564285
24095.09751,500,413.846787
27460.230249,500,424.94109
28784.440556,500,436.588908
31481.083504,500,448.01396
38942.357198,500,459.351842
34672.61764,500,470.652792
35233.672082,500,482.170914
40158.365387,500,493.681918
43262.003704,500,505.194718
46721.062042,500,516.191578
48412.149171,500,527.960877
47864.279121,500,539.051706
51214.058219,500,550.516571
50723.723335,500,562.185749
52912.787154,500,573.789372
49259.577451,500,584.847072
50768.889756,500,596.342574
54056.412294,500,607.422457
55468.049387,500,618.850898
51444.726461,500,630.280587
54926.277481,500,641.345479
57997.402313,500,652.820401
54629.781804,500,664.445431
53562.510559,500,676.069659
51999.024339,500,687.562981
57722.757974,500,699.12349
50358.079114,500,710.678471
46064.164564,500,722.405523
54437.248114,500,733.986598
58568.029267,500,745.76388
58276.088697,500,757.37466
58495.397114,500,769.121695
58838.521416,500,780.14413
56808.527808,500,791.725167
55677.756753,500,803.280016
58637.778074,500,814.655817
57923.819415,500,826.23412
59545.295632,500,837.459917
59937.235475,500,848.910112
58862.625194,500,860.513183
56595.499357,500,872.062686
56578.899138,500,883.83993
58093.477179,500,895.519706
58010.007373,500,906.795749
60233.822639,500,918.165431
57124.401977,500,929.713188
49667.490652,500,941.530331
56148.222497,500,953.493083
57660.144811,500,964.785311
58521.386796,500,975.950535
58489.992956,500,987.288419
56493.707252,500,998.389504
56911.771031,500,1009.73398
53938.323113,500,1020.798784
48635.293609,500,1031.87428
60048.56077,500,1043.267799
56870.939811,500,1054.308277
59151.002256,500,1065.711098
60143.152458,500,1077.246064
60002.323681,500,1088.0934
61161.498379,500,1099.167728
58065.154941,500,1110.279455
59654.306337,500,1121.485198
60414.665693,500,1133.01371
60349.437338,500,1144.080073
58940.673626,500,1155.572512
8979.718689,500,1166.900892
25438.510881,500,1178.074995
44528.082072,500,1189.649308
54654.898429,500,1200.83546
55988.027571,500,1212.138207
58565.377219,500,1223.544108
59546.272479,500,1234.534845
59285.881374,500,1246.044248
56734.652852,500,1257.435073
58000.994641,500,1268.478611
56027.343342,500,1280.069798
59523.748519,500,1291.176141
59838.877276,500,1302.642768
60562.355892,500,1313.285258
59657.151809,500,1324.123592
59005.365866,500,1336.053612
59773.841639,500,1347.192546
59292.541187,500,1358.182917
58590.82121,500,1369.647134
58237.000118,500,1380.549901
60553.839705,500,1392.160233
58089.601944,500,1403.56135
61186.62957,500,1415.043392
59570.441178,500,1426.61937
59806.007134,500,1437.906494
60901.078302,500,1449.421571
57611.004208,500,1460.399144
61339.67169,500,1471.798277
57487.945761,500,1483.558297
60712.699637,500,1494.579374
59855.142825,500,1505.66839
57022.626694,500,1517.472605
61339.266941,500,1528.927971
59747.482438,500,1540.551206
58998.581523,500,1551.733518
60874.159812,500,1563.113211
58605.128132,500,1574.668933
58689.825652,500,1585.994964
58324.825149,500,1597.625781
58441.948679,500,1608.71569
58919.262895,500,1619.783544
59438.98272,500,1631.2745
59674.278297,500,1642.610025
60216.630439,500,1654.121264
57206.776754,500,1665.487472
57925.687308,500,1677.128117
58947.888109,500,1688.636684
59767.142282,500,1699.909334
60518.160164,500,1711.458216
58942.381734,500,1723.186481
59801.436771,500,1734.366273
59113.410689,500,1746.154803
54199.694871,500,1757.457605
59870.236414,500,1768.737541
58409.571185,500,1780.35628
57760.232291,500,1791.511386
60055.102738,500,1802.75545
58423.998718,500,1814.063216
58498.095674,500,1825.388452
57531.60138,500,1837.241359
59071.020911,500,1848.324344
61559.322061,500,1859.297393
60849.258341,500,1870.530454
61049.242251,500,1881.780829
60457.820494,500,1892.986624
59768.337075,500,1904.068483
60445.829914,500,1915.113502
58591.115287,500,1926.468666
59514.705283,500,1937.580372
56807.242194,500,1948.396413
58863.689105,500,1959.949014
60208.574798,500,1970.932208
61035.616398,500,1982.270986
60746.657721,500,1993.090119
59537.020708,500,2003.932028
60077.287686,500,2015.101769
58560.904145,500,2026.230537
59968.010212,500,2037.056392
60463.124747,500,2048.670411
59748.842793,500,2059.714444
59945.863127,500,2072.10441
60908.272482,500,2083.247821
59007.83479,500,2094.121602
60648.902013,500,2105.77529
61473.674042,500,2116.488228
59359.039403,500,2127.977359
59933.776063,500,2139.02272
59587.884448,500,2150.235796
58691.022292,500,2162.260031
58448.050695,500,2173.889183
