value_loss,policy_entropy,explained_variance,approxkl,fps,n_updates,policy_loss,clipfrac,time_elapsed,serial_timesteps,total_timesteps,ep_reward_mean,ep_len_mean
1.5573766,9.93247,-0.025343775749206543,0.004098181,164,1,-0.025295699,0.044921875,3.5762786865234375e-06,32,128,,
0.07425278,9.934042,-0.5604357719421387,0.005421567,250,2,-0.03094539,0.076171875,0.7794137001037598,64,256,,
0.0580683,9.929846,-0.3921126127243042,0.0026882323,250,3,-0.018699089,0.021484375,1.290534257888794,96,384,,
0.22092284,9.928156,-0.40085911750793457,0.0045254873,248,4,-0.028640755,0.06640625,1.8025405406951904,128,512,,
0.15580224,9.93885,-0.5905345678329468,0.0054937257,283,5,-0.030031376,0.068359375,2.318011522293091,160,640,,
0.07800154,9.947994,-2.571680784225464,0.0053855004,269,6,-0.029538173,0.060546875,2.7697999477386475,192,768,,
0.06707605,9.939286,-0.7764284610748291,0.008714619,264,7,-0.03459827,0.12890625,3.2454910278320312,224,896,,
0.18424992,9.939663,-0.5223103761672974,0.0052454323,292,8,-0.026912127,0.064453125,3.7301344871520996,256,1024,,
0.04873214,9.947359,-9.555405616760254,0.003711868,260,9,-0.025478587,0.046875,4.168260097503662,288,1152,,
0.100756824,9.963459,-0.39123380184173584,0.006235908,260,10,-0.031227304,0.091796875,4.661062717437744,320,1280,,
0.055259056,9.980932,-0.46302151679992676,0.007548507,259,11,-0.03337935,0.107421875,5.152197360992432,352,1408,,
0.14083311,9.987634,-0.14423096179962158,0.008883349,240,12,-0.025405882,0.103515625,5.645674228668213,384,1536,,
0.0752316,9.987551,-1.2978663444519043,0.009077175,239,13,-0.029077932,0.14257812,6.178981065750122,416,1664,,
0.1302006,9.984758,-0.42732930183410645,0.005580555,251,14,-0.029748406,0.076171875,6.714620590209961,448,1792,,
0.06044265,9.980882,-0.383442759513855,0.0057180165,243,15,-0.02721642,0.087890625,7.223536968231201,480,1920,,
0.33695972,9.991831,-0.2743438482284546,0.007961982,33,16,-0.031832658,0.111328125,7.74877142906189,512,2048,265.42332550000003,500.0
0.03657844,9.991325,-0.8704632520675659,0.006449626,253,17,-0.029547751,0.09375,11.580475807189941,544,2176,265.42332550000003,500.0
0.029089931,9.9845085,-0.6167653799057007,0.004352038,261,18,-0.022985963,0.046875,12.086774349212646,576,2304,265.42332550000003,500.0
0.04516249,9.980711,-0.22810721397399902,0.0042542005,259,19,-0.023378348,0.05078125,12.576501846313477,608,2432,265.42332550000003,500.0
0.04108423,9.978213,-0.8743585348129272,0.005679421,239,20,-0.024565019,0.080078125,13.071192264556885,640,2560,265.42332550000003,500.0
0.07642013,9.971836,-0.6540238857269287,0.009193286,272,21,-0.029810784,0.12109375,13.605478286743164,672,2688,265.42332550000003,500.0
0.036021624,9.963635,-0.4569460153579712,0.008475883,245,22,-0.039252788,0.107421875,14.07663607597351,704,2816,265.42332550000003,500.0
0.055093173,9.960991,0.004524648189544678,0.012489809,241,23,-0.037396275,0.15039062,14.59898591041565,736,2944,265.42332550000003,500.0
0.095790125,9.96254,0.004966616630554199,0.006359132,257,24,-0.035466615,0.087890625,15.129497289657593,768,3072,265.42332550000003,500.0
0.057707973,9.958153,0.06821614503860474,0.008096984,256,25,-0.0326341,0.115234375,15.627581357955933,800,3200,265.42332550000003,500.0
0.03793391,9.957327,-0.2422252893447876,0.006970727,246,26,-0.031611785,0.099609375,16.12786030769348,832,3328,265.42332550000003,500.0
0.13200389,9.956782,-0.021846294403076172,0.005613413,249,27,-0.026774593,0.08203125,16.647618055343628,864,3456,265.42332550000003,500.0
0.16501245,9.945188,-0.2926483154296875,0.010256438,237,28,-0.039413244,0.11328125,17.161826133728027,896,3584,265.42332550000003,500.0
0.100769594,9.9478,-0.018814682960510254,0.012510664,233,29,-0.03782077,0.15820312,17.702021598815918,928,3712,265.42332550000003,500.0
0.06798091,9.950036,-0.24813556671142578,0.009780935,234,30,-0.035457026,0.15039062,18.249996185302734,960,3840,265.42332550000003,500.0
0.081413954,9.943704,-0.03314244747161865,0.0145983165,253,31,-0.029929072,0.19921875,18.79653811454773,992,3968,265.42332550000003,500.0
0.67039895,9.948405,-0.023280620574951172,0.006562878,30,32,-0.02275707,0.10546875,19.302558183670044,1024,4096,317.58478175000005,500.0
0.110133044,9.969355,0.0013090968132019043,0.0073982556,254,33,-0.02623806,0.10546875,23.48627209663391,1056,4224,317.58478175000005,500.0
0.064868405,9.984301,0.1251714825630188,0.012213079,262,34,-0.03480845,0.16796875,23.98984169960022,1088,4352,317.58478175000005,500.0
0.070158035,9.988198,-0.009699463844299316,0.011743251,270,35,-0.03439748,0.19140625,24.477462768554688,1120,4480,317.58478175000005,500.0
0.056787517,9.989963,0.11989802122116089,0.007417653,268,36,-0.027450338,0.111328125,24.950533866882324,1152,4608,317.58478175000005,500.0
0.09699049,9.988588,0.1035681962966919,0.011427979,274,37,-0.036708232,0.18164062,25.42745852470398,1184,4736,317.58478175000005,500.0
0.051608942,9.998081,0.11233758926391602,0.008287533,245,38,-0.02467378,0.08984375,25.89436960220337,1216,4864,317.58478175000005,500.0
0.046758004,9.991214,-0.567531943321228,0.013538508,261,39,-0.034235306,0.1796875,26.41584086418152,1248,4992,317.58478175000005,500.0
0.08132135,9.99275,-0.06571972370147705,0.0077574207,274,40,-0.022856858,0.10546875,26.905211210250854,1280,5120,317.58478175000005,500.0
0.059846748,9.9928875,-0.19688880443572998,0.01174796,232,41,-0.03270519,0.1328125,27.373132944107056,1312,5248,317.58478175000005,500.0
0.043797262,9.991279,0.13575702905654907,0.009633133,270,42,-0.026144113,0.125,27.924802780151367,1344,5376,317.58478175000005,500.0
0.051235955,9.992731,-0.03266346454620361,0.0077558737,258,43,-0.024008233,0.125,28.398640632629395,1376,5504,317.58478175000005,500.0
0.018772373,9.987929,-0.07549118995666504,0.010689278,248,44,-0.01849695,0.1640625,28.895172119140625,1408,5632,317.58478175000005,500.0
0.22103517,9.969038,0.029290318489074707,0.014893232,241,45,-0.026712565,0.19335938,29.410480737686157,1440,5760,317.58478175000005,500.0
0.032470047,9.949282,-0.16781985759735107,0.01419366,237,46,-0.04047692,0.17578125,29.942015409469604,1472,5888,317.58478175000005,500.0
1.756678,9.939544,-0.15042173862457275,0.0069844956,33,47,-0.014072729,0.095703125,30.482043743133545,1504,6016,523.7588810000001,500.0
0.028753106,9.948957,0.04914933443069458,0.009350583,276,48,-0.022118311,0.12695312,34.31073212623596,1536,6144,523.7588810000001,500.0
0.02910607,9.955121,-0.1442258358001709,0.006261966,287,49,-0.015439935,0.08984375,34.77437973022461,1568,6272,523.7588810000001,500.0
0.0068063056,9.956317,-0.41835594177246094,0.007516615,260,50,-0.024128176,0.103515625,35.22058320045471,1600,6400,523.7588810000001,500.0
0.019213935,9.960472,-0.031754136085510254,0.013722695,258,51,-0.024240706,0.20117188,35.71309518814087,1632,6528,523.7588810000001,500.0
0.031989433,9.958265,0.11368507146835327,0.011940504,263,52,-0.025063151,0.1796875,36.209158182144165,1664,6656,523.7588810000001,500.0
0.028997282,9.952503,0.32131052017211914,0.010318884,296,53,-0.031460613,0.16210938,36.6952543258667,1696,6784,523.7588810000001,500.0
0.019006178,9.950356,0.37549489736557007,0.012401913,285,54,-0.021358421,0.15039062,37.12690472602844,1728,6912,523.7588810000001,500.0
0.02040869,9.954714,0.4348645806312561,0.0119229285,259,55,-0.024543157,0.15820312,37.57514715194702,1760,7040,523.7588810000001,500.0
0.056522816,9.938048,0.16471493244171143,0.0053509274,273,56,-0.017122515,0.068359375,38.06872057914734,1792,7168,523.7588810000001,500.0
0.013707838,9.917655,-0.1028294563293457,0.008482828,267,57,-0.018263087,0.13085938,38.5384259223938,1824,7296,523.7588810000001,500.0
0.01687444,9.908829,-0.0975416898727417,0.013431406,243,58,-0.029787157,0.19726562,39.0169837474823,1856,7424,523.7588810000001,500.0
0.028081447,9.909135,-0.10239839553833008,0.01426594,266,59,-0.02859041,0.17578125,39.54444718360901,1888,7552,523.7588810000001,500.0
0.012266384,9.916081,-0.23297858238220215,0.01011354,226,60,-0.02556308,0.12109375,40.02609610557556,1920,7680,523.7588810000001,500.0
0.015831469,9.929733,0.10930448770523071,0.012857715,246,61,-0.025375342,0.18164062,40.59108376502991,1952,7808,523.7588810000001,500.0
0.085777774,9.945142,-0.03418934345245361,0.012689766,244,62,-0.029397456,0.19335938,41.110109090805054,1984,7936,523.7588810000001,500.0
