serial_timesteps,policy_entropy,policy_loss,explained_variance,time_elapsed,fps,total_timesteps,clipfrac,approxkl,value_loss,n_updates,ep_reward_mean,ep_len_mean
32,9.882411,-0.049020525,-0.28277480602264404,4.0531158447265625e-06,151,128,0.34375,0.034576695,0.80129373,1,,
64,9.819392,-0.046619307,-0.7903820276260376,0.8444986343383789,234,256,0.25976562,0.021693658,0.05831052,2,,
96,9.807548,-0.052959386,-0.537054181098938,1.3918757438659668,244,384,0.26757812,0.026671749,0.08275796,3,,
128,9.801484,-0.049159583,-0.12433826923370361,1.9155807495117188,263,512,0.36523438,0.049693644,0.09947224,4,,
160,9.802241,-0.035423256,-0.478145956993103,2.401193618774414,226,640,0.23828125,0.019842498,0.07941901,5,,
192,9.844781,-0.043081738,-0.31767916679382324,2.967252016067505,268,768,0.265625,0.02118231,0.18461767,6,,
224,9.871245,-0.056434356,0.06335127353668213,3.4442639350891113,302,896,0.40039062,0.043762453,0.053302214,7,,
256,9.881059,-0.050990473,-1.4257545471191406,3.8684518337249756,274,1024,0.33007812,0.02700706,0.020743331,8,,
288,9.897587,-0.041472677,-1.1423604488372803,4.3349175453186035,330,1152,0.31445312,0.035427563,0.030809205,9,,
320,9.931238,-0.045399122,-0.03754842281341553,4.722194671630859,256,1280,0.328125,0.03912096,0.09521595,10,,
352,10.003542,-0.038044717,-0.6263781785964966,5.221618890762329,245,1408,0.2734375,0.021422837,0.01929647,11,,
384,10.055033,-0.060387813,-0.24590671062469482,5.743175983428955,255,1536,0.375,0.038053475,0.03110616,12,,
416,10.058611,-0.039660037,-0.2237718105316162,6.244655132293701,255,1664,0.34179688,0.04432366,0.09062426,13,,
448,10.080035,-0.03965278,-0.31397998332977295,6.746233701705933,257,1792,0.3671875,0.03415428,0.00810948,14,,
480,10.068589,-0.040618304,-0.5090203285217285,7.243385314941406,253,1920,0.29492188,0.047699243,0.0141354725,15,,
512,10.044806,-0.049428135,-0.0303574800491333,7.749805927276611,33,2048,0.34179688,0.036466245,0.13560215,16,155.50378725,500.0
544,10.0486965,-0.053140357,-0.2047652006149292,11.594184398651123,252,2176,0.38867188,0.05346897,0.027302092,17,155.50378725,500.0
576,10.076209,-0.029755296,0.05268210172653198,12.10118556022644,271,2304,0.38867188,0.042068034,0.0764704,18,155.50378725,500.0
608,10.063317,-0.03892539,-0.5388034582138062,12.573453664779663,276,2432,0.28320312,0.027303435,0.022075702,19,155.50378725,500.0
640,10.051521,-0.04757909,0.017844080924987793,13.036751508712769,267,2560,0.40429688,0.06582558,0.042107556,20,155.50378725,500.0
672,10.042804,-0.04905448,0.019325971603393555,13.51596713066101,258,2688,0.40625,0.04669376,0.06809831,21,155.50378725,500.0
704,10.097102,-0.042028233,0.030888080596923828,14.01122522354126,254,2816,0.34375,0.044522673,0.046683542,22,155.50378725,500.0
736,10.171744,-0.04664625,-0.10007274150848389,14.514199018478394,257,2944,0.33398438,0.046247464,0.30201593,23,155.50378725,500.0
768,10.211191,-0.060918625,-0.299371600151062,15.012617349624634,273,3072,0.43164062,0.0532903,0.022295048,24,155.50378725,500.0
800,10.219351,-0.05767956,-0.6575466394424438,15.481641054153442,303,3200,0.4296875,0.07044482,0.01541974,25,155.50378725,500.0
832,10.238766,-0.046774026,-0.09154200553894043,15.904412031173706,281,3328,0.38085938,0.041271675,0.03681476,26,155.50378725,500.0
864,10.221615,-0.05469524,-0.032142043113708496,16.360506772994995,272,3456,0.4140625,0.0654866,0.30585608,27,155.50378725,500.0
896,10.206363,-0.041866526,-0.000811457633972168,16.830283403396606,255,3584,0.41015625,0.058195386,0.13194409,28,155.50378725,500.0
928,10.214469,-0.049890194,-0.10621774196624756,17.331241607666016,270,3712,0.390625,0.057100035,0.09860084,29,155.50378725,500.0
960,10.249136,-0.049170844,-0.1278822422027588,17.8050320148468,266,3840,0.41796875,0.0704675,0.035320807,30,155.50378725,500.0
992,10.239816,-0.045436345,-0.04229843616485596,18.28561305999756,254,3968,0.39453125,0.048185606,0.34303406,31,155.50378725,500.0
