#{"t_start": 1585852925.2016277, "env_id": "my_panda_free_space_traj"}
r,l,t
283.312815,500,14.148831
935.664494,500,24.366065
941.332594,500,34.633113
1002.882598,500,44.529607
1031.632659,500,54.643763
283.808002,500,64.781024
710.080569,500,75.121128
951.964028,500,85.066719
1254.126501,500,94.913898
1367.71366,500,104.946251
1562.164328,500,114.641271
658.44753,500,124.328542
746.970063,500,134.118483
481.233578,500,144.23646
1046.620998,500,154.08208
559.364763,500,163.762877
1276.578157,500,173.548907
1172.376986,500,183.490207
1180.105044,500,193.342366
1269.13366,500,202.974663
1366.347624,500,212.756894
940.610794,500,222.242006
1612.993753,500,231.88929
1073.376615,500,241.736817
1269.108639,500,251.302202
1276.804979,500,261.347169
1421.755734,500,270.971979
1188.458964,500,280.350911
879.802984,500,290.286919
1165.035265,500,299.870372
1475.525728,500,309.576084
1396.711246,500,319.172928
1518.67955,500,328.666853
1604.678536,500,338.096653
1480.571059,500,347.290241
1164.114051,500,356.831364
1426.638566,500,366.525959
1549.128379,500,375.912582
1373.016032,500,385.098977
993.902488,500,394.76032
1289.393413,500,404.254973
1064.649604,500,414.309741
1291.311874,500,424.094075
973.415182,500,433.685154
1204.176281,500,443.556478
1271.791001,500,453.103649
1384.0575,500,462.893478
1117.166447,500,472.509002
1477.184697,500,482.101791
1343.780558,500,491.833153
1266.726825,500,501.373606
1440.330423,500,510.884307
1184.03174,500,520.647254
1552.30868,500,530.292516
1436.311619,500,540.205448
1591.289766,500,549.807252
1500.160731,500,559.459709
1423.855145,500,569.124058
1226.221412,500,578.581854
1707.715493,500,588.521549
1413.123312,500,598.048951
1277.520743,500,607.439314
1632.723021,500,617.408848
1519.062782,500,627.16277
1350.240207,500,636.77077
1457.561457,500,646.898519
1402.51413,500,656.592438
1108.004764,500,666.495107
1125.494951,500,676.240769
1829.879434,500,685.814967
1127.704613,500,695.928504
1702.637683,500,705.514284
1828.736996,500,715.429878
1453.779314,500,725.317864
1152.244024,500,734.693936
1541.709338,500,744.701446
1181.981834,500,754.436738
1505.152349,500,764.470717
1261.690208,500,774.506109
1287.818935,500,783.851983
1377.787325,500,793.419411
1964.335503,500,803.075209
1192.220103,500,812.990737
1399.674278,500,822.946902
1670.213195,500,832.737068
1376.841974,500,842.805671
1094.981346,500,852.485209
961.693529,500,862.137077
1153.763114,500,872.178501
1129.885726,500,881.871524
1579.383887,500,891.439088
632.978608,500,901.044348
1908.856677,500,910.717689
1099.262722,500,920.572511
