#{"t_start": 1585848938.6958883, "env_id": "my_panda_free_space_traj"}
r,l,t
342.98334,500,14.705377
339.234496,500,25.444518
1312.607032,500,36.08211
2246.793698,500,46.74323
3677.52237,500,57.937686
5495.901166,500,69.040919
5985.809944,500,79.784195
5808.162183,500,90.84618
5454.28811,500,101.899616
7048.981616,500,112.996431
6580.574033,500,123.910766
7912.870068,500,134.927503
9406.989714,500,146.379504
10309.838642,500,157.725852
10688.063281,500,169.229398
12678.424902,500,180.636566
13510.349204,500,192.009492
14264.393797,500,203.539767
14445.749479,500,215.063053
13483.167358,500,226.256343
15235.528561,500,237.719471
15964.800789,500,249.107708
18506.263257,500,260.830897
19246.880161,500,272.252621
18595.913637,500,283.490944
25586.411414,500,294.971783
24650.57156,500,306.051003
24346.37464,500,317.249864
25478.606871,500,328.458411
28954.062711,500,339.383351
28441.279195,500,350.477698
31415.465784,500,361.350211
37124.16822,500,372.141236
37576.156205,500,383.462566
35242.634053,500,394.439886
39466.711923,500,405.30246
39123.185953,500,416.422027
37058.278024,500,427.373188
42691.03336,500,438.428329
41326.561977,500,449.26888
46383.98759,500,460.456867
45163.014163,500,471.819385
48766.869845,500,482.915263
47441.720008,500,494.51072
48834.033257,500,505.799368
50658.810124,500,517.435376
51530.990297,500,528.97863
51839.712551,500,540.181261
50569.984333,500,551.36115
51358.948446,500,562.791282
51782.983788,500,573.828161
42069.140827,500,585.230261
52769.914085,500,596.347932
55436.371603,500,607.525553
52263.212551,500,618.656399
55923.24697,500,629.684632
53892.200497,500,640.950055
52836.25252,500,652.125566
53314.722482,500,663.461507
55843.495062,500,675.044884
57307.04089,500,686.243364
58256.2809,500,697.571934
57345.877371,500,708.717648
59171.237462,500,719.942976
57212.601644,500,731.599823
58489.910922,500,742.70768
56787.214664,500,754.203515
58412.383304,500,765.6142
60237.051689,500,776.544002
60128.606015,500,787.731073
57920.428198,500,798.812942
57470.626264,500,809.806068
59156.319448,500,821.144234
57588.079286,500,832.146563
58481.870742,500,842.957842
59995.506941,500,854.121197
59904.940242,500,865.151556
59307.883509,500,876.366018
58750.617216,500,887.455825
57131.493803,500,898.776397
58344.589007,500,910.367457
57407.083624,500,921.775497
60150.492265,500,932.832594
59612.117814,500,944.431426
58992.975631,500,955.482786
59825.260636,500,966.649072
60513.190325,500,978.023135
59579.040153,500,989.398567
56868.015996,500,1000.832585
58231.087379,500,1012.055026
58411.19757,500,1023.330411
58401.016823,500,1034.292236
49920.041673,500,1045.459331
52724.581986,500,1056.493009
61247.596306,500,1067.410102
58932.097551,500,1078.125949
59987.586323,500,1089.421042
60373.153481,500,1100.161705
60256.451298,500,1111.14958
60432.761032,500,1121.985686
58438.141859,500,1133.058691
60053.706212,500,1144.138669
58474.433276,500,1155.259614
59276.309842,500,1166.067495
61423.129785,500,1177.378049
59078.677581,500,1188.215625
58363.05367,500,1199.289467
60291.231539,500,1210.30496
60392.059023,500,1221.313295
60232.192005,500,1232.381712
59529.170692,500,1243.258673
59831.319962,500,1254.16997
59893.63554,500,1265.085053
59378.964162,500,1276.180819
61064.641111,500,1287.825835
61749.616058,500,1299.247269
61267.375482,500,1310.478013
61177.636321,500,1321.776783
59058.7779,500,1333.075045
60956.152595,500,1344.448287
57254.733573,500,1355.450169
60726.333146,500,1366.229905
58817.490403,500,1377.39889
56873.633111,500,1388.197695
57622.616122,500,1399.747967
61434.576737,500,1410.532041
60378.41029,500,1421.33715
60656.476065,500,1432.153675
60277.805641,500,1443.062826
