fps,approxkl,serial_timesteps,total_timesteps,policy_entropy,explained_variance,value_loss,time_elapsed,policy_loss,n_updates,clipfrac,ep_reward_mean,ep_len_mean
167,0.0028101308,32,128,9.928772,-0.14581561088562012,2.507652,4.0531158447265625e-06,-0.02540469,1,0.037109375,,
267,0.0013241566,64,256,9.927186,-1.7911784648895264,0.23515755,0.7650127410888672,-0.015217695,2,0.0078125,,
254,0.0013641572,96,384,9.930068,-0.10193884372711182,0.33929816,1.2438898086547852,-0.018692797,3,0.01171875,,
266,0.002495839,128,512,9.923894,-0.5046550035476685,0.28715053,1.7482850551605225,-0.023360347,4,0.025390625,,
268,0.0022409097,160,640,9.917247,0.015141129493713379,0.8591569,2.2290852069854736,-0.017804945,5,0.01953125,,
274,0.0022138832,192,768,9.913447,-2.7121927738189697,0.15647534,2.7055253982543945,-0.022791188,6,0.017578125,,
262,0.0022252637,224,896,9.912967,-3.273620128631592,0.10119733,3.172759532928467,-0.021852069,7,0.02734375,,
279,0.0014206818,256,1024,9.909856,-0.35951292514801025,0.13741434,3.6609489917755127,-0.015874831,8,0.005859375,,
261,0.0014033797,288,1152,9.913845,-2.523428201675415,0.10873837,4.119729995727539,-0.016990991,9,0.00390625,,
251,0.0019244998,320,1280,9.9211445,-4.480380058288574,0.07104374,4.609726428985596,-0.019484408,10,0.01171875,,
259,0.0023610976,352,1408,9.920156,-1.6410446166992188,0.07432513,5.1190831661224365,-0.017890789,11,0.01953125,,
241,0.0037880396,384,1536,9.92374,-2.0976014137268066,0.0673231,5.613666772842407,-0.03091257,12,0.052734375,,
246,0.0035406668,416,1664,9.918248,-3.0483875274658203,0.06971224,6.143513917922974,-0.025064297,13,0.041015625,,
241,0.0036838497,448,1792,9.9166,-3.9442100524902344,0.056321632,6.663119792938232,-0.01911887,14,0.046875,,
250,0.002629341,480,1920,9.914262,-0.4889603853225708,0.11748731,7.19429349899292,-0.019258166,15,0.03125,,
33,0.003465143,512,2048,9.912333,-0.1803879737854004,0.23726535,7.706278085708618,-0.022521805,16,0.046875,307.69355925,500.0
255,0.004158635,544,2176,9.919715,0.17037510871887207,0.05548414,11.519384860992432,-0.028076822,17,0.04296875,307.69355925,500.0
269,0.0032406643,576,2304,9.921731,-1.2247867584228516,0.03734113,12.02133822441101,-0.02100426,18,0.0390625,307.69355925,500.0
285,0.004546306,608,2432,9.917531,-0.6721123456954956,0.05467684,12.496329307556152,-0.024435814,19,0.06640625,307.69355925,500.0
278,0.0037415517,640,2560,9.912116,-0.14023184776306152,0.057075966,12.945204496383667,-0.022290345,20,0.041015625,307.69355925,500.0
281,0.006096962,672,2688,9.915404,-0.19715237617492676,0.05508441,13.408938884735107,-0.02784966,21,0.068359375,307.69355925,500.0
251,0.0050872895,704,2816,9.907987,-0.44588935375213623,0.0943981,13.864675521850586,-0.02505752,22,0.064453125,307.69355925,500.0
274,0.004985772,736,2944,9.8989,0.08460718393325806,0.07292864,14.374768733978271,-0.02000152,23,0.0625,307.69355925,500.0
284,0.0039808275,768,3072,9.896017,-0.1440509557723999,0.08975786,14.842676639556885,-0.022433963,24,0.046875,307.69355925,500.0
276,0.0052853813,800,3200,9.896067,-4.165576934814453,0.036899872,15.293580293655396,-0.02813473,25,0.060546875,307.69355925,500.0
241,0.007528469,832,3328,9.890524,0.09347856044769287,0.11436168,15.757395029067993,-0.027236437,26,0.103515625,307.69355925,500.0
273,0.0027467636,864,3456,9.876769,-0.05281245708465576,0.041174583,16.28714919090271,-0.0122982245,27,0.0234375,307.69355925,500.0
275,0.005610483,896,3584,9.868399,-0.25104081630706787,0.057299193,16.755493879318237,-0.025078064,28,0.08203125,307.69355925,500.0
262,0.0062729996,928,3712,9.8653965,-0.1937786340713501,0.03960647,17.222185850143433,-0.028780995,29,0.078125,307.69355925,500.0
283,0.0055612386,960,3840,9.853142,-0.41266560554504395,0.09802283,17.71229648590088,-0.029723432,30,0.0546875,307.69355925,500.0
283,0.0038330911,992,3968,9.841372,-0.17163348197937012,0.5010987,18.165348529815674,-0.01809016,31,0.048828125,307.69355925,500.0
32,0.008789534,1024,4096,9.833739,-0.09615528583526611,0.7788583,18.617748737335205,-0.029876612,32,0.1328125,380.35948087500003,500.0
276,0.005479821,1056,4224,9.828963,-0.0754479169845581,0.14627326,22.61280059814453,-0.022645477,33,0.07421875,380.35948087500003,500.0
264,0.0041261627,1088,4352,9.824589,-0.4321712255477905,0.12503143,23.075588703155518,-0.01758117,34,0.046875,380.35948087500003,500.0
272,0.0069512855,1120,4480,9.820149,-0.06515634059906006,0.13203631,23.560810089111328,-0.018839372,35,0.080078125,380.35948087500003,500.0
286,0.007930346,1152,4608,9.809471,0.04270350933074951,0.08059703,24.031829595565796,-0.026922768,36,0.115234375,380.35948087500003,500.0
293,0.004933699,1184,4736,9.802542,-0.1390773057937622,0.12106315,24.47989535331726,-0.021663217,37,0.072265625,380.35948087500003,500.0
