#{"env_id": "my_panda_free_space_traj", "t_start": 1585848918.021983}
r,l,t
261.489842,500,14.529479
558.34732,500,25.852169
909.402929,500,37.085818
2231.676117,500,48.138992
1537.658512,500,59.417933
3352.206254,500,70.859038
3049.084982,500,82.020672
7362.316646,500,93.463908
11567.728597,500,104.959105
10512.505553,500,116.352296
9604.06053,500,127.65079
10347.605146,500,139.019063
6382.113032,500,150.30476
10230.813869,500,161.575804
10409.755743,500,173.337741
11471.527212,500,185.161808
12977.403832,500,196.826482
9810.247302,500,209.069571
9092.422373,500,220.821249
13432.59649,500,232.335316
5823.468713,500,243.808256
377.542757,500,254.874584
280.493616,500,266.200243
824.542097,500,276.682316
688.81617,500,288.303628
1054.370955,500,299.214581
2208.268652,500,310.33996
3709.49438,500,321.918692
3898.591795,500,333.382952
5532.938225,500,345.054138
5196.617482,500,357.339771
6545.268586,500,369.757617
6940.718844,500,382.108281
6049.408954,500,394.506689
6957.480268,500,406.889933
7306.764926,500,419.398287
6378.731769,500,431.640979
6080.892379,500,444.043481
8226.101081,500,456.820879
7413.562245,500,469.159805
7234.593728,500,481.450012
5330.568865,500,493.878479
4642.318215,500,505.875624
5476.544673,500,518.218654
7105.461151,500,530.431706
8734.754369,500,542.232429
7839.057766,500,554.412124
6834.559768,500,565.92919
8496.871798,500,577.471681
10351.180348,500,588.824588
9631.690438,500,600.138033
10395.99433,500,611.716466
10490.840723,500,622.914515
9797.317768,500,634.145022
10319.143919,500,645.90998
11434.675903,500,657.397133
9089.755267,500,669.104352
11165.55374,500,680.498371
10151.80061,500,691.775495
7739.326192,500,703.686906
10067.400097,500,715.230714
11263.482741,500,726.793936
10025.726058,500,738.860384
7138.769071,500,750.540002
9498.612918,500,762.813795
9538.080484,500,774.716259
11399.781462,500,786.325186
8101.993724,500,798.089749
11162.893677,500,809.658201
10510.827861,500,821.511074
12320.28412,500,833.185618
10247.422098,500,844.733395
11903.242471,500,856.553675
12884.158158,500,868.08499
10503.796829,500,879.498654
7910.442757,500,891.611869
8084.883048,500,903.238089
9469.517945,500,914.725374
7851.816557,500,926.658212
10018.424009,500,938.593318
8906.639952,500,950.756914
10119.400972,500,962.79136
10833.971969,500,974.634605
9104.607278,500,986.738282
10099.86535,500,998.455993
8936.830479,500,1010.161786
10963.896186,500,1021.559033
11257.155159,500,1032.811829
