#{"env_id": "my_panda_free_space_traj", "t_start": 1586354716.4204993}
r,l,t
213.130669,500,14.909369
265.659228,500,25.790221
433.024167,500,36.864578
789.878308,500,47.584396
2376.417149,500,58.660636
3024.631456,500,69.639898
3508.091058,500,80.764837
1081.431358,500,92.14514
3728.923779,500,103.303365
2762.222939,500,114.385514
2932.17028,500,125.475107
3659.935086,500,136.480683
4847.737651,500,148.130409
4741.028882,500,159.40969
4259.733838,500,170.4766
5314.31451,500,181.835582
6834.339081,500,193.070712
7552.527849,500,204.10665
8213.166071,500,215.376171
7373.751023,500,226.622976
8938.576105,500,237.840593
14067.257935,500,248.731453
15708.722719,500,259.853308
13862.177401,500,271.230349
15723.170672,500,282.302088
13948.400989,500,293.99637
18569.784916,500,305.012401
17054.181334,500,316.043312
17815.138915,500,327.276546
19168.498773,500,338.378816
21982.50195,500,349.350505
21305.612644,500,360.505085
25518.388521,500,371.642507
27960.533848,500,382.885622
32635.643014,500,393.8462
29655.525658,500,404.820346
27410.310776,500,416.065256
33398.846241,500,427.229492
35843.002527,500,438.762522
31823.245393,500,449.46276
43082.106126,500,460.21221
7080.495444,500,471.77132
41764.201056,500,482.700994
42285.280588,500,493.886077
42986.18098,500,505.218999
44406.153008,500,516.094572
35069.010049,500,527.034302
47625.222603,500,537.803118
52326.671118,500,548.4963
52268.698592,500,559.526335
54864.47387,500,570.42443
54804.613075,500,581.048794
54103.298429,500,591.924769
56022.336759,500,602.562258
57058.269696,500,613.457334
56012.027287,500,624.524049
59532.07461,500,635.220062
58464.778697,500,646.414731
56531.485205,500,657.075942
57621.547497,500,668.070972
57882.378814,500,678.871535
59253.748195,500,689.537102
59001.240645,500,700.388405
57283.211614,500,711.079038
51719.017672,500,722.146819
56762.127183,500,733.275522
59814.722593,500,744.089401
57532.516766,500,755.283503
58234.068072,500,766.151427
55342.720602,500,776.924263
56448.101468,500,788.185398
59234.022587,500,799.071887
61036.162007,500,809.984852
60083.592956,500,820.704551
58063.933818,500,831.608733
57038.162814,500,842.702693
56946.159844,500,853.500731
56947.703913,500,864.327688
53763.676062,500,875.197368
58219.079662,500,885.997778
58101.812137,500,897.154185
59259.819451,500,907.750008
48107.017188,500,918.58327
58993.140267,500,929.597236
58284.547717,500,940.553778
61721.000458,500,951.786774
60776.66376,500,962.591681
61068.128909,500,973.173018
60141.487372,500,984.104394
60208.887753,500,995.157851
59856.328719,500,1006.04371
57712.649231,500,1017.067441
51551.702919,500,1028.045922
61238.382707,500,1039.223219
60591.146433,500,1049.961033
60151.135073,500,1060.686949
61392.14482,500,1071.622938
59421.512644,500,1082.514332
60027.894905,500,1093.366668
