#{"t_start": 1586357057.2359369, "env_id": "my_panda_free_space_traj"}
r,l,t
242.169055,500,14.850869
171.440321,500,25.763253
246.789083,500,36.422804
348.124126,500,47.550008
158.113,500,58.611423
299.694382,500,69.936887
146.586309,500,81.827632
266.334127,500,93.874212
291.942926,500,106.034247
331.978207,500,118.840538
341.598609,500,130.418587
384.763496,500,141.68209
452.904881,500,152.515843
606.087022,500,163.632127
616.112625,500,174.87005
493.901153,500,185.841946
691.742393,500,197.286727
750.060958,500,208.444571
706.441106,500,219.503253
769.601649,500,230.885372
924.705468,500,242.283735
879.561394,500,253.711913
1022.576096,500,264.938613
1048.658116,500,276.330035
944.350111,500,288.210135
1007.488316,500,299.672501
1160.219292,500,310.895159
1433.560556,500,322.955167
1500.779872,500,334.823627
1710.192408,500,346.296716
1935.81885,500,357.680528
1911.812421,500,368.923096
2160.19792,500,380.015079
2160.07628,500,391.131176
2294.45809,500,402.37167
2258.238998,500,413.287966
2330.541995,500,424.073849
2214.629347,500,435.023158
2313.157799,500,445.675148
2372.157092,500,456.469912
2350.643835,500,467.143815
2346.777975,500,477.834505
2237.857955,500,488.608056
2394.901628,500,499.453162
2341.34657,500,510.228116
2371.68224,500,521.02425
2441.482135,500,531.709815
2429.18268,500,542.656545
2442.827705,500,553.360167
2400.570471,500,563.990083
2420.687162,500,574.760517
2469.949217,500,585.421824
2358.305068,500,596.058025
2500.93653,500,607.240338
2367.03532,500,618.180193
2400.426466,500,629.829168
2331.931255,500,640.913093
2382.629219,500,651.945446
2489.164552,500,663.497227
2481.447328,500,675.498216
2418.534235,500,686.669409
2474.951506,500,697.406792
2673.286727,500,708.192881
2476.267455,500,719.070621
2532.357482,500,729.70856
2596.835812,500,740.261766
2527.446137,500,750.917233
2542.453811,500,761.681128
2534.858404,500,772.539099
2505.857288,500,783.28625
2481.142146,500,793.766013
2526.913563,500,804.588601
2551.596422,500,815.130057
2562.374645,500,825.77339
2526.855922,500,836.510216
2649.23876,500,847.203812
2492.169418,500,858.713512
2500.255031,500,869.492482
2541.073637,500,880.249571
2554.083866,500,891.072189
2496.257545,500,901.807196
2560.138617,500,912.601823
2539.138434,500,923.229929
2500.599877,500,933.836859
2543.051968,500,944.734956
2564.783471,500,955.349013
2644.556685,500,966.194011
2560.027074,500,976.854822
2550.177822,500,987.477391
2536.315155,500,998.513707
2531.206193,500,1009.256789
2506.07251,500,1019.982213
2571.426311,500,1030.759428
2539.622385,500,1041.671874
2536.669137,500,1052.591217
2532.933199,500,1063.241965
2580.273605,500,1074.037969
2571.673497,500,1085.053241
2594.710887,500,1095.791717
