#{"t_start": 1586728430.0894425, "env_id": "my_panda_free_space_traj"}
r,l,t
266.372942,500,15.203151
211.175441,500,26.163506
173.707833,500,37.306253
343.042311,500,48.461667
543.731154,500,60.208799
752.959848,500,72.318143
815.583151,500,84.916358
818.766727,500,97.667514
745.416106,500,110.434754
923.795781,500,122.993162
974.230853,500,135.858477
833.730897,500,148.263015
836.28702,500,160.384042
902.508363,500,172.107822
875.833428,500,183.835201
1050.00601,500,195.772722
1097.552029,500,207.536602
1154.672633,500,219.01913
1306.76677,500,230.792908
1004.205774,500,242.635515
1590.448611,500,254.54362
1526.602782,500,266.103411
1660.099334,500,277.701528
1598.108761,500,289.653182
1477.750314,500,301.297072
1176.041818,500,312.984233
1205.60195,500,324.643105
1513.754446,500,336.485213
1440.571356,500,348.517263
1412.086008,500,360.429717
1301.064073,500,372.563085
1213.660026,500,384.468508
1419.583375,500,396.085474
1571.162868,500,408.214549
1469.232754,500,419.794841
1434.036198,500,431.404159
1690.60658,500,443.364589
1408.479839,500,455.109515
1668.668684,500,466.998373
1383.69271,500,478.818385
1631.058336,500,490.64555
1497.153308,500,502.732007
1480.222137,500,515.104223
1626.789262,500,526.90755
1832.878393,500,538.740801
109.733271,500,551.001238
1660.804667,500,562.786228
1678.811473,500,574.425424
1997.373537,500,586.106142
1564.272948,500,598.280769
1621.200576,500,609.892773
1754.622322,500,621.581381
1567.384186,500,633.620169
1868.523745,500,645.054442
1704.91918,500,656.878275
1615.75809,500,668.455872
1866.250812,500,680.253312
1799.285078,500,692.209527
1704.025699,500,704.0334
1710.343287,500,716.001667
1449.923473,500,727.86654
1611.676784,500,739.595098
1661.19092,500,751.442081
1601.497241,500,763.163229
1734.372813,500,774.804296
1537.775075,500,786.528075
1773.456843,500,797.867164
1722.900614,500,809.687271
1464.843258,500,821.274275
1596.839155,500,832.68439
1492.209395,500,844.278763
1869.937033,500,855.683871
1528.791613,500,867.150963
1628.604741,500,878.377379
1634.776754,500,889.482941
1721.300008,500,901.14576
1744.897356,500,912.425534
1669.688524,500,923.966951
1576.761557,500,935.745956
1730.843999,500,947.111716
968.55798,500,959.193634
1917.602528,500,970.375347
1640.988986,500,981.558915
2024.384834,500,993.088719
1729.234959,500,1004.451106
1796.573609,500,1016.09232
1653.026242,500,1027.527249
1631.312447,500,1039.001833
1876.778779,500,1050.739464
1695.700797,500,1062.179284
1778.123703,500,1073.616241
1963.395708,500,1085.529164
1653.180973,500,1097.051971
1833.159499,500,1108.650177
1931.88938,500,1119.948086
1696.304598,500,1131.059316
1878.945834,500,1142.767789
1917.006844,500,1154.437284
1903.389589,500,1165.750062
