#{"env_id": "my_panda_free_space_traj", "t_start": 1586730602.54503}
r,l,t
155.480183,500,14.801865
256.098515,500,25.762979
391.863117,500,36.668761
680.233462,500,47.509964
721.71589,500,58.318384
1001.797471,500,69.062062
1887.021987,500,80.024825
2149.891729,500,91.357841
2774.005469,500,102.988531
3532.793512,500,114.818499
6651.128049,500,126.453103
6147.309328,500,138.128908
5524.725186,500,150.220639
5351.501138,500,162.173167
9004.163417,500,174.231299
11664.935969,500,186.266626
14631.41945,500,198.223384
14314.691483,500,210.416615
20894.069517,500,222.165447
19392.21238,500,234.167809
31603.589295,500,246.167179
24970.253216,500,257.848042
27726.356041,500,269.630964
34559.321862,500,281.250231
33126.741772,500,293.388725
28611.987576,500,305.72055
39591.809606,500,317.470182
37148.293799,500,329.638819
33238.40351,500,341.72799
42092.718366,500,353.920007
37932.689548,500,366.240828
41941.892379,500,377.894438
47275.80305,500,389.690556
39080.331108,500,401.794225
49504.076996,500,413.44547
49414.898101,500,425.44504
45598.466884,500,437.17029
53856.813575,500,448.787209
46436.282673,500,460.971674
56268.790875,500,473.008781
53781.562483,500,485.00151
54832.613979,500,497.224482
54092.142313,500,508.925923
56430.202152,500,521.121785
54649.48554,500,532.758145
51227.520504,500,544.119195
54570.463506,500,555.696428
53311.213809,500,567.385632
57168.852245,500,579.384198
53357.532129,500,591.248435
58523.613757,500,602.552855
56923.152518,500,614.169854
55084.783968,500,625.628359
54155.704685,500,636.639379
54574.452898,500,647.81173
55151.350305,500,658.575992
54325.657193,500,669.789578
51223.917645,500,680.710898
48796.788758,500,692.092958
52657.38403,500,703.766451
53212.237176,500,715.119413
52899.337618,500,726.3241
54332.732026,500,737.212942
45250.044122,500,748.006186
40887.965461,500,759.057912
46213.860948,500,769.935614
45956.84332,500,780.776852
44037.572143,500,791.613165
54925.218163,500,802.449229
51604.000174,500,813.591087
54901.458046,500,824.982185
55834.485097,500,836.15064
56495.040193,500,847.793046
55876.566105,500,858.834196
55609.451136,500,869.706482
56986.25571,500,880.623463
56485.919542,500,891.350049
53727.456064,500,902.232146
56633.576687,500,913.078374
55472.2869,500,923.934589
53135.244998,500,935.149423
54863.268469,500,946.164948
55845.768556,500,957.182402
50862.665841,500,967.965195
45996.00149,500,978.754319
55168.443762,500,990.553539
56135.027108,500,1001.521993
55302.894482,500,1012.758712
31549.915069,500,1023.762319
57380.349585,500,1034.765807
58121.921047,500,1045.794897
57687.291648,500,1056.770783
54958.701692,500,1067.832338
55955.283356,500,1079.089622
57699.005998,500,1089.967405
54592.16772,500,1100.969935
56501.536414,500,1111.792601
58323.630094,500,1122.409316
58630.900349,500,1133.214873
