#{"t_start": 1586921637.187883, "env_id": "my_panda_free_space_traj"}
r,l,t
202.226205,500,14.678911
187.555677,500,25.802589
386.739577,500,36.742761
355.166741,500,48.221633
292.698896,500,59.461193
309.40555,500,70.806583
301.368519,500,82.74927
309.848123,500,94.519582
367.575494,500,106.546201
639.496986,500,118.854608
898.986973,500,130.798667
1071.104797,500,142.829775
1049.854696,500,154.265639
1102.382846,500,165.848423
1152.932271,500,177.695815
1120.545175,500,189.149119
1210.431679,500,200.891077
1234.914987,500,212.778795
1280.520338,500,224.325615
1449.777813,500,235.926786
1505.102239,500,247.328349
1638.099432,500,258.524086
1870.466891,500,270.115073
1947.55394,500,281.200264
1842.906648,500,292.712426
2242.993785,500,304.12815
2179.265838,500,315.39081
2239.109099,500,326.83741
2351.848357,500,338.108044
2414.010379,500,349.276284
2446.605803,500,360.755224
2591.264166,500,371.989437
2640.650042,500,383.461109
2645.467647,500,394.578196
2955.016166,500,405.500958
2788.108093,500,416.713803
2999.179734,500,427.734418
3004.571332,500,438.960584
3104.990305,500,449.875129
3177.270693,500,460.785039
3042.57862,500,472.036514
3322.427537,500,482.923591
3346.265818,500,493.788974
3258.404884,500,504.895271
3390.259165,500,515.969828
3334.72848,500,527.001992
3555.18418,500,537.850717
3527.663553,500,548.641082
3618.634444,500,559.728417
3695.540077,500,570.545647
3892.7214,500,581.447093
3823.913814,500,592.534095
3872.630365,500,603.452306
3897.670923,500,614.55491
3974.31649,500,625.385365
4032.135034,500,636.156465
4111.882503,500,647.420865
4095.680753,500,658.319628
4206.670128,500,669.233483
4163.110844,500,680.188868
4246.004883,500,690.89014
4311.727761,500,701.833256
4259.981502,500,712.671369
4362.933262,500,723.598424
4373.35479,500,734.789471
4411.969965,500,745.572054
4342.822317,500,756.60961
4425.488076,500,767.367746
4406.064591,500,778.174442
4451.13068,500,789.132271
4369.729311,500,800.005233
4443.422683,500,810.989703
4197.297343,500,821.870229
4437.396841,500,832.642604
4431.708611,500,843.713025
4488.954834,500,854.45553
4485.564027,500,865.464388
4449.577772,500,876.188984
4445.257147,500,886.948407
4395.927938,500,897.850718
4284.717959,500,908.711757
4460.781493,500,919.528699
4471.643841,500,930.453374
4511.465518,500,941.120195
4513.054012,500,952.110336
4513.751698,500,962.825407
4331.454055,500,973.587173
4489.491419,500,984.449855
4470.377338,500,995.229479
4413.823737,500,1005.90285
4480.225799,500,1016.866167
4498.489916,500,1027.606426
4438.780085,500,1038.673243
4550.725897,500,1049.320558
4515.140891,500,1060.153528
4433.338586,500,1071.117894
4460.558166,500,1081.885936
4493.831838,500,1092.67024
4479.185248,500,1103.548994
4444.549697,500,1114.174165
4515.678006,500,1125.241245
4509.327948,500,1135.904467
4340.290496,500,1146.695095
4452.044856,500,1157.605641
4441.407258,500,1168.335898
4432.101466,500,1179.478742
4463.18966,500,1190.199991
4336.02138,500,1201.433641
4427.754429,500,1212.525538
4459.459201,500,1223.197501
4018.280276,500,1234.130895
4115.304285,500,1245.214357
4444.560265,500,1255.960118
4470.140577,500,1267.347511
4411.440063,500,1278.830098
4031.769679,500,1289.757704
4401.866825,500,1300.680598
4455.641115,500,1311.388701
4352.174488,500,1322.499862
4095.909918,500,1333.28203
4261.472951,500,1344.119464
4350.019564,500,1355.169188
4374.835438,500,1365.979262
4469.777612,500,1376.972114
4470.754872,500,1387.730877
4524.487761,500,1398.525015
4407.605789,500,1409.495112
4425.805263,500,1420.587439
4355.616567,500,1431.505168
4483.081513,500,1442.461519
4521.3354,500,1453.415964
4453.376746,500,1464.448034
4499.864978,500,1475.224283
4554.203047,500,1486.041954
4546.975336,500,1497.075396
4537.161352,500,1507.83023
4547.51735,500,1518.837083
4540.573938,500,1529.8003
4519.353244,500,1540.483778
4491.342717,500,1551.458189
4471.256867,500,1562.332356
4500.121049,500,1573.0397
2145.812377,500,1584.53788
4412.391161,500,1595.339914
4549.984013,500,1607.719985
1598.475518,500,1619.480376
3656.265322,500,1630.35937
3889.068652,500,1641.865387
4250.822431,500,1652.744563
4444.432443,500,1663.746
4183.176474,500,1675.182559
3799.628785,500,1686.196984
3888.285437,500,1697.273849
4321.70707,500,1707.989325
1460.913111,500,1719.218464
3520.084194,500,1730.826195
3779.565496,500,1741.632612
4399.500195,500,1752.296483
4463.937446,500,1763.972852
4042.229487,500,1774.763377
4215.856549,500,1785.82502
4231.288119,500,1796.659312
4438.832579,500,1807.357307
825.225911,500,1820.068512
4129.732325,500,1831.301523
4276.485962,500,1842.543753
4127.512481,500,1853.820931
4349.703181,500,1864.637363
4151.444886,500,1875.780939
4439.166019,500,1886.717658
4505.453397,500,1897.665642
4496.00511,500,1908.470091
4501.894357,500,1919.357908
4514.500055,500,1930.302434
4510.354344,500,1941.25478
3247.136731,500,1952.191844
4444.743369,500,1963.114924
4412.932275,500,1973.91396
3786.458159,500,1985.039603
4482.112371,500,1995.952166
4511.219624,500,2006.830645
4487.443674,500,2017.771559
3985.391592,500,2028.632208
2907.269187,500,2039.732344
4426.897021,500,2050.838198
4394.189546,500,2061.957891
4500.80948,500,2072.920806
4508.805724,500,2083.727138
4527.659302,500,2094.507899
4507.480599,500,2105.477895
4318.910822,500,2116.679212
3086.16581,500,2127.704745
4377.820676,500,2138.773669
4527.053252,500,2149.478808
4325.604203,500,2160.47085
4488.336689,500,2171.303533
4474.756227,500,2182.291866
4503.710216,500,2193.270971
4484.742812,500,2204.044679
4537.385972,500,2215.073034
