#{"env_id": "my_panda_free_space_traj", "t_start": 1586928055.968304}
r,l,t
298.082703,500,15.237618
1009.091966,500,26.562132
1360.16959,500,39.059591
1220.324565,500,51.494969
1187.850392,500,63.809509
1281.053232,500,75.951858
1343.171395,500,87.870905
1398.137203,500,100.081036
1411.850301,500,112.068283
1391.502874,500,123.994056
1515.342859,500,136.007234
1519.268439,500,147.805564
1660.575276,500,159.802161
1587.791521,500,171.123932
1731.467239,500,182.718039
1583.821572,500,194.658548
1921.470464,500,206.457503
1968.493183,500,218.108033
2038.021309,500,230.176156
2259.933002,500,241.869876
2545.557005,500,253.524029
2746.947464,500,264.817418
2459.29614,500,276.535945
2772.278857,500,288.184249
2748.512599,500,299.751772
2728.137446,500,311.706944
2395.533923,500,323.545495
2905.422301,500,335.007267
2561.195955,500,347.044159
2778.586045,500,358.818058
2936.534614,500,370.56862
3065.307847,500,382.351441
3068.390921,500,394.179917
2934.251283,500,406.1062
3207.251828,500,417.443389
2996.263178,500,428.771491
3310.788649,500,440.702666
3020.141201,500,452.098921
3438.613998,500,463.687367
2879.8226,500,475.10012
3412.260192,500,486.682484
3333.534433,500,498.375628
18.222503,500,511.314961
3185.994857,500,523.202819
3440.948326,500,535.271094
3359.114246,500,546.85177
3369.056409,500,558.467449
3561.138679,500,569.702376
3198.533167,500,580.756466
3243.528239,500,592.229743
3212.988165,500,603.629115
3169.430775,500,615.171616
3298.393942,500,627.001842
3196.138385,500,638.481153
3329.749253,500,649.994944
3350.067998,500,661.344443
3489.702633,500,673.023852
3542.810518,500,684.566333
3430.960451,500,695.953804
3618.834767,500,707.765847
3500.678316,500,719.041787
3657.840913,500,730.497357
3556.715146,500,742.065681
3508.614493,500,752.996147
3463.42772,500,764.170847
3541.15514,500,775.568354
3747.139504,500,786.665837
3565.793919,500,798.157004
3644.396112,500,809.512952
3402.497463,500,820.878666
3420.393377,500,831.976093
3552.871315,500,843.072596
3735.787759,500,854.599756
3708.300419,500,865.800269
3683.816055,500,876.598779
3636.140954,500,888.111441
3049.321296,500,899.529756
3315.319256,500,910.828575
3471.11035,500,922.271539
3680.844251,500,933.404408
3630.295943,500,944.7344
3660.971935,500,955.7828
3847.904416,500,966.955705
3592.767134,500,978.378875
3475.388128,500,989.490347
3701.537447,500,1001.120172
3788.698788,500,1012.644966
3955.321369,500,1023.894446
3965.662811,500,1035.259292
3791.695633,500,1046.113269
3325.260965,500,1056.872225
3510.421994,500,1068.291602
3852.8139,500,1079.149785
4255.01224,500,1090.447283
3867.274349,500,1101.705957
3847.298018,500,1113.15041
4050.607497,500,1125.176904
3896.833985,500,1136.795471
3847.866797,500,1149.033856
3890.549324,500,1161.115187
3391.610721,500,1172.912398
3845.244059,500,1184.033487
4047.453276,500,1195.41432
3838.004525,500,1206.942406
3875.030989,500,1218.585541
3855.561376,500,1230.226521
3893.81622,500,1242.082329
4112.056828,500,1253.873646
4130.472051,500,1265.635884
4037.091272,500,1277.388976
3831.932075,500,1288.930496
4105.775378,500,1300.704149
3951.516664,500,1312.668344
2129.54459,500,1325.159065
4086.280213,500,1337.853226
1721.4871,500,1350.531095
3840.199845,500,1362.847898
4030.345008,500,1374.947331
4129.652262,500,1386.726067
3965.568717,500,1399.050171
3183.048953,500,1411.241827
3681.069529,500,1423.442606
3750.266674,500,1435.669351
4040.290489,500,1447.734582
4289.571471,500,1459.722459
3847.915009,500,1472.191687
4012.374798,500,1484.526364
4051.039351,500,1496.668104
4080.918222,500,1507.96129
4256.394568,500,1519.336072
4222.890297,500,1531.018121
4180.857082,500,1542.106573
4178.361422,500,1553.554592
4164.134074,500,1565.077312
4287.848315,500,1576.685335
4250.817957,500,1588.716314
4238.712216,500,1600.398704
4198.574207,500,1611.951026
4165.079672,500,1623.618071
4258.441957,500,1635.326371
4388.619464,500,1647.187513
4359.938811,500,1658.650108
4063.947799,500,1670.438337
3506.50665,500,1682.349725
4104.354542,500,1693.832024
3930.837023,500,1705.198054
4226.229864,500,1717.100483
4263.496495,500,1728.967571
4284.487264,500,1741.156703
4412.038725,500,1753.102134
4285.430919,500,1764.828382
4379.816212,500,1777.001729
4373.728966,500,1789.236059
3872.93308,500,1802.01179
4205.787104,500,1814.137868
4416.432201,500,1826.406137
4296.045181,500,1838.652998
4346.945497,500,1850.787404
4322.74588,500,1863.029179
4128.599379,500,1875.327895
4175.624775,500,1887.465642
4233.856543,500,1900.231982
4326.786527,500,1912.268062
4438.931322,500,1924.592787
4386.470315,500,1937.040566
4445.060796,500,1949.101558
4476.465546,500,1961.677171
3876.557021,500,1974.13814
4448.591467,500,1986.781942
3178.838265,500,1999.948519
4167.261538,500,2012.673188
4156.637334,500,2025.160476
4386.797799,500,2037.749924
3859.520575,500,2050.131264
4175.69432,500,2063.141842
3305.22097,500,2075.914771
3896.975224,500,2088.34296
3920.553929,500,2100.940735
4143.751385,500,2113.222169
4468.55298,500,2125.437498
3941.521283,500,2137.475097
4443.576449,500,2149.452705
4401.463014,500,2161.787355
4394.519615,500,2174.122278
4525.358738,500,2186.28745
4469.829404,500,2198.660975
4340.194191,500,2210.652684
4270.897208,500,2223.022581
4239.099672,500,2235.114319
4193.780439,500,2247.286428
4230.112048,500,2259.932984
4266.699339,500,2272.198102
4313.4682,500,2284.592327
4334.46567,500,2296.990793
3642.684965,500,2309.251493
4037.834648,500,2321.978982
3249.336387,500,2334.262989
4361.650686,500,2346.246971
4547.677312,500,2358.811698
4412.187612,500,2371.232298
