#{"env_id": "my_panda_free_space_traj", "t_start": 1586313016.2777712}
r,l,t
167.683258,500,14.903149
715.612298,500,25.462511
1229.243182,500,35.976439
921.562026,500,46.237784
1225.096553,500,56.804121
1191.056766,500,67.03004
1426.37376,500,77.104281
1356.384666,500,87.266244
1663.42107,500,97.48066
1731.681748,500,107.791554
1864.003961,500,118.456363
2690.668665,500,128.846057
2659.888256,500,139.299353
2486.010205,500,149.561731
4321.292801,500,159.847471
4101.531523,500,170.587137
5668.547748,500,181.411256
7298.730926,500,192.261625
6693.997467,500,203.300883
6931.55786,500,214.606369
8133.646197,500,226.118291
7942.121746,500,237.357156
12876.537794,500,248.776867
14968.271567,500,260.270268
15332.851013,500,271.556739
15839.486502,500,282.94918
15136.485736,500,293.90843
21600.760077,500,304.721165
20719.291761,500,315.871288
21187.080537,500,326.72913
28514.646109,500,337.586144
28127.007433,500,348.685134
28716.948771,500,359.465391
25972.265387,500,370.501894
27794.484043,500,381.291441
24107.135801,500,392.26382
26324.788608,500,403.22758
28032.66044,500,414.056959
26946.065581,500,425.426393
31491.400167,500,436.121428
31369.776549,500,446.91771
33273.544964,500,458.048359
30976.583044,500,468.987579
34173.894476,500,479.828181
36680.398018,500,490.786476
39145.310605,500,501.430535
43807.062538,500,512.496869
45722.163995,500,523.325399
47150.287405,500,534.294485
