#{"t_start": 1585907273.867669, "env_id": "my_panda_free_space_traj"}
r,l,t
212.536287,500,14.642152
649.664084,500,25.24974
1129.432388,500,35.328626
1030.146494,500,45.811857
1451.234782,500,56.605592
1246.740881,500,67.628656
1517.818456,500,79.155487
1131.781589,500,90.219463
2144.565833,500,101.314514
2594.072016,500,112.766208
1874.420626,500,124.115768
3642.634645,500,135.930727
4707.140983,500,147.423186
5241.132657,500,158.617452
11193.569521,500,170.029521
13621.031439,500,181.268207
15676.699535,500,192.587443
18115.923598,500,204.100822
18468.559635,500,215.583884
21158.995114,500,227.149083
19031.284366,500,238.378849
24945.348839,500,249.67794
28658.436583,500,260.911433
30742.529384,500,271.979969
29395.152043,500,283.339453
34817.877803,500,294.489204
34625.769512,500,305.314693
32593.924941,500,316.385303
37344.356899,500,327.497169
41774.284362,500,338.417296
43708.203917,500,349.942125
48108.930415,500,361.040988
45228.641874,500,372.043331
47066.975372,500,383.081665
50141.657692,500,393.939837
54021.252503,500,405.133883
49735.700545,500,416.458175
47364.942708,500,427.821042
56822.015135,500,438.659597
56220.121462,500,449.661914
58180.379529,500,460.982945
57485.227552,500,472.149913
55618.235424,500,483.100826
56862.221968,500,494.531646
50622.330325,500,505.592977
55458.965862,500,516.933071
57352.127672,500,528.153835
60262.148374,500,538.827427
57052.519932,500,549.713223
56653.320968,500,560.582392
56128.526461,500,571.831364
58249.178132,500,583.013047
58414.682706,500,593.868596
59497.217866,500,604.860769
54100.228229,500,616.20138
60449.241889,500,627.04581
60241.708791,500,638.12905
61022.901662,500,649.267674
58228.45772,500,660.434272
60210.069426,500,671.702773
60307.967893,500,682.611796
59043.363597,500,693.700866
54740.230371,500,705.150504
60269.363336,500,716.350874
60442.585777,500,727.735834
57065.603696,500,738.825234
61142.534212,500,749.961312
59790.535831,500,761.321415
59162.84663,500,772.323109
58884.821417,500,783.678262
57340.013292,500,794.86158
53079.053837,500,805.879678
58415.623814,500,816.810731
52039.105115,500,827.875435
59975.011674,500,839.772557
55335.11648,500,851.876402
59821.733095,500,863.306993
60718.847898,500,874.27688
58839.344648,500,885.166996
56594.189505,500,896.427916
60941.395011,500,907.358402
44274.4073,500,918.646824
59993.201646,500,930.007442
58757.151438,500,941.230957
55987.050737,500,952.868821
53444.27274,500,964.241905
59962.040436,500,975.342774
56907.832229,500,986.629759
52491.478852,500,997.412401
59428.232081,500,1008.596987
62416.799917,500,1020.068265
61545.35698,500,1031.102898
59543.318669,500,1042.09243
56995.192658,500,1053.25618
61729.167112,500,1064.538907
61271.575262,500,1075.598283
61084.903819,500,1086.461903
62275.702339,500,1097.279991
61401.193933,500,1108.449669
59779.593834,500,1119.483748
61236.577651,500,1131.110916
59363.902414,500,1142.308264
60639.988854,500,1153.362323
61786.506234,500,1164.441056
59932.940845,500,1175.250844
57191.279246,500,1186.820843
60328.211415,500,1198.012725
60642.636408,500,1208.837689
61211.742208,500,1220.057906
58365.996168,500,1230.995155
61583.173933,500,1241.998341
62315.288225,500,1253.078842
61124.801609,500,1263.986119
60862.491353,500,1274.95547
61225.111974,500,1285.977964
60284.562857,500,1297.175728
60574.200489,500,1308.220692
59311.886461,500,1319.276448
60490.535631,500,1330.524364
56405.274409,500,1341.304285
59226.20993,500,1352.189173
57572.900844,500,1363.174658
61942.364483,500,1373.958475
56942.748441,500,1385.138912
