#{"t_start": 1586047826.330988, "env_id": "my_panda_free_space_traj"}
r,l,t
192.904755,500,14.705455
393.526921,500,25.287955
782.175228,500,35.497729
1676.157815,500,45.552835
2228.971,500,55.868402
1726.567952,500,65.608256
2239.704035,500,75.317472
2465.500559,500,85.15478
3432.922545,500,94.713945
3981.13232,500,104.306881
5119.99088,500,114.203551
6199.241737,500,123.888012
6487.225359,500,133.703156
6552.513448,500,143.341306
6533.6425,500,152.982994
6603.073123,500,162.828373
6936.676772,500,172.412319
6776.230489,500,182.030792
7094.788842,500,191.828355
7106.965508,500,201.485871
6935.201824,500,211.423858
7313.967125,500,221.375807
7309.330315,500,231.253041
7303.964418,500,241.187363
7381.576662,500,250.720928
7466.555522,500,260.578993
7351.282118,500,270.334982
7310.377834,500,279.965167
7567.585904,500,289.85756
7466.503739,500,299.477507
7492.087433,500,309.088171
7584.263878,500,319.020642
7559.665967,500,328.592903
7543.785226,500,338.571386
7516.081245,500,348.244692
7689.485829,500,357.983726
7585.423471,500,367.824021
7517.563564,500,377.568619
7542.524661,500,387.401722
7391.083397,500,396.854769
7687.97557,500,406.558298
7586.9163,500,416.529726
7572.595985,500,426.191151
7705.964625,500,435.979422
7529.962519,500,446.00467
7616.425386,500,455.521158
7646.133601,500,465.355611
7532.315785,500,474.891745
7680.566099,500,484.520174
7671.90261,500,494.627776
7688.270635,500,504.492774
7488.179383,500,514.103463
7416.387261,500,523.881987
7591.518874,500,533.357292
7563.462766,500,543.114349
7556.652582,500,552.641487
7480.933788,500,562.289667
7738.196341,500,572.105288
7667.20104,500,581.728472
7383.566343,500,591.52135
7550.13061,500,601.216085
7489.362867,500,610.697052
7502.81953,500,620.543127
7307.031577,500,630.270752
7493.037252,500,639.839182
7575.992421,500,649.630728
7449.1783,500,659.297763
7708.69572,500,669.156126
7723.188571,500,679.040098
7642.20711,500,688.67595
7561.508497,500,698.719683
7508.500422,500,708.211473
7699.831398,500,718.04303
7728.253017,500,727.632209
7633.898047,500,737.330842
7461.469622,500,747.209285
7545.208957,500,756.789921
7704.571015,500,766.315444
7619.581262,500,776.205164
7686.561453,500,785.766016
7586.263675,500,795.86235
7636.399529,500,805.830932
7695.798283,500,815.780844
7720.14208,500,825.906417
7660.306805,500,835.79165
7557.213254,500,845.591899
7468.359135,500,855.219841
7576.179321,500,864.739171
7696.005218,500,874.465887
7732.501841,500,884.080132
7697.827237,500,893.618742
7528.981112,500,903.580091
7745.189246,500,913.291172
7677.743252,500,923.12068
7744.1739,500,932.66733
7625.443617,500,942.185728
7636.320234,500,952.15746
7620.024721,500,961.97815
7472.186903,500,971.656284
7459.439891,500,981.671868
7560.17849,500,991.552506
7527.576248,500,1001.312543
7716.135023,500,1010.91015
7542.287138,500,1020.474125
7546.166734,500,1030.533004
7771.197911,500,1040.206533
7831.359982,500,1049.90928
7802.08327,500,1059.565577
7791.856315,500,1069.187724
7835.650656,500,1079.145664
7839.770202,500,1089.106859
7702.233216,500,1098.928285
7690.563764,500,1109.002609
7656.980915,500,1118.72409
7650.627078,500,1128.566862
7764.316145,500,1138.296203
7738.961,500,1147.735494
7750.180833,500,1157.429951
7732.220988,500,1167.041034
7627.029092,500,1177.842119
7668.865917,500,1187.738253
7668.198441,500,1197.369468
7698.565462,500,1207.183934
7714.741084,500,1216.87281
