#{"env_id": "my_panda_free_space_traj", "t_start": 1586047826.0749047}
r,l,t
137.535866,500,14.207972
388.197427,500,25.037142
1095.186981,500,35.161379
2900.866125,500,46.071604
2783.121451,500,57.28864
4183.820612,500,69.054432
5469.898155,500,80.980225
7482.378804,500,92.33178
5914.173358,500,103.401577
6064.00151,500,114.979522
6721.887053,500,126.04113
6921.641776,500,137.23444
9894.234007,500,148.430155
8167.299387,500,159.687281
7552.390693,500,170.864988
8215.917776,500,181.947802
7968.74544,500,193.103625
8192.62973,500,204.308064
8618.84498,500,215.507118
8199.312905,500,226.526061
9558.322249,500,237.515179
8989.653297,500,248.276171
9497.769742,500,259.591808
10222.708917,500,270.599657
10379.030971,500,281.712692
10391.971526,500,292.664839
7978.109265,500,303.777419
11000.149456,500,315.009826
10815.104884,500,325.98514
37555.586427,500,337.057597
12760.545913,500,348.335229
11324.850345,500,359.311055
9612.970692,500,370.599234
11088.857164,500,381.494224
12060.574584,500,392.255046
37879.206691,500,403.532898
9890.471377,500,414.516499
11276.036463,500,425.679392
11217.479981,500,436.495909
11710.764763,500,447.413573
10864.866084,500,458.633897
12373.149048,500,469.819269
46255.150692,500,481.959197
9696.217633,500,493.088492
14104.756197,500,503.970477
10678.836335,500,515.685662
18319.86729,500,526.588853
33.13633,500,538.284128
37928.947319,500,549.556728
49736.622856,500,560.515587
13757.345885,500,571.406738
13032.233424,500,583.33378
12309.730909,500,594.286664
14454.064707,500,605.439738
12538.064788,500,616.243219
14059.735506,500,627.015788
26330.271912,500,638.200919
11220.512514,500,649.16568
43990.129919,500,660.119055
16522.596767,500,671.13894
16646.16284,500,681.916234
16602.021629,500,692.890466
11631.624583,500,703.747499
16508.822294,500,714.599236
17923.948298,500,725.593704
15278.945832,500,736.546089
18429.364058,500,747.610946
9000.960868,500,758.566116
40079.158565,500,769.397544
17090.382048,500,780.21986
42166.32516,500,791.032979
47770.411877,500,802.203151
13709.630243,500,813.120788
9274.632376,500,823.985407
17781.818377,500,834.960187
15758.541548,500,845.850482
19118.124536,500,857.002489
58741.416387,500,867.72945
21970.068258,500,878.605798
22409.442856,500,889.608191
49460.27353,500,900.41003
18747.900444,500,911.290631
20676.424493,500,922.467932
18262.966201,500,933.335521
15644.642059,500,944.453696
33094.848179,500,956.074104
19077.10412,500,967.305042
44285.804878,500,978.590288
53523.001684,500,990.334146
8895.985722,500,1001.176327
13162.810913,500,1013.338565
40826.892711,500,1024.948354
19457.91102,500,1036.686898
13012.694647,500,1047.517301
35573.610844,500,1059.000388
53479.068947,500,1071.088624
37509.873592,500,1082.814523
11628.751034,500,1095.507492
17607.675228,500,1106.841845
34418.937276,500,1117.983163
50515.911745,500,1130.494508
19002.019765,500,1142.433075
41751.027745,500,1153.663593
26536.555853,500,1165.501133
48013.322522,500,1176.717279
6357.257138,500,1188.594863
7955.654563,500,1199.788035
8940.112736,500,1211.022822
28497.945015,500,1222.478789
32273.710979,500,1234.715313
27775.172503,500,1246.576108
46815.697292,500,1258.617205
9038.48908,500,1270.339986
51145.393445,500,1282.146239
48976.743409,500,1294.219943
48771.225513,500,1305.861041
56486.291906,500,1318.537271
9.851257,500,1330.430684
13872.542138,500,1341.571841
22859.413076,500,1352.6251
58987.833881,500,1363.969603
25099.162775,500,1375.102102
18453.184331,500,1386.561064
54521.218428,500,1397.714366
