#{"t_start": 1586715348.7254314, "env_id": "my_panda_free_space_traj"}
r,l,t
242.331498,500,14.834816
181.364039,500,26.09166
209.786834,500,37.14756
190.455737,500,48.781541
211.348307,500,60.523494
282.324929,500,71.940792
346.575634,500,84.394948
426.084679,500,96.532113
529.209284,500,108.687816
638.172016,500,121.009051
683.043214,500,132.967192
803.938446,500,145.297638
848.524708,500,156.920453
832.806212,500,168.433353
760.374817,500,180.372567
945.518597,500,191.864302
1170.042171,500,203.240491
1386.861186,500,214.692086
1507.809089,500,225.756316
1282.631397,500,237.310778
1897.31541,500,248.478536
2144.306196,500,258.946533
3058.828521,500,269.737814
3182.674088,500,280.276095
3689.643875,500,290.929958
4586.670103,500,301.352489
2916.381798,500,312.20665
3202.50714,500,323.060569
3972.515386,500,333.464916
4437.651981,500,343.878076
3514.477136,500,354.622393
5021.62275,500,364.996656
4842.257941,500,375.639844
4596.796219,500,385.902475
4946.660574,500,396.412774
5532.869237,500,406.93937
6523.980442,500,417.198448
5854.344893,500,427.521531
7848.567434,500,438.248726
8832.643209,500,448.959423
8192.575022,500,459.700764
8170.310838,500,469.904085
8249.692263,500,480.052747
11952.164047,500,490.410855
13563.954362,500,500.705221
11450.058228,500,511.197747
15205.040045,500,521.241005
14740.399114,500,531.403662
15575.060128,500,541.816667
17138.968643,500,552.023489
23782.845493,500,562.246568
21813.980287,500,572.56542
25326.815134,500,582.688288
30051.457322,500,593.171639
31253.746661,500,603.641027
32783.919635,500,614.081352
38844.769743,500,624.552913
41890.947381,500,634.713866
47046.392063,500,645.332208
42278.105561,500,655.760562
46764.447444,500,666.192172
42526.199296,500,676.532341
48726.49063,500,686.898113
53684.140827,500,697.222781
52054.363438,500,707.637526
50954.99322,500,717.679744
56313.880459,500,728.103251
55056.279833,500,738.053791
52688.830729,500,748.039886
51245.982366,500,758.43584
52646.657965,500,768.621857
44270.480276,500,778.866787
50280.252447,500,788.959942
56911.372007,500,799.133232
52495.922244,500,809.443432
56715.744119,500,819.479552
48494.905817,500,829.989363
52821.593778,500,840.114177
41781.13706,500,850.123806
55150.059986,500,860.527327
57099.769355,500,870.705765
51945.423553,500,880.799145
43371.328707,500,891.08607
56494.043606,500,901.349316
57314.06326,500,911.935753
58907.123512,500,922.104786
49418.30223,500,932.265816
54714.962645,500,942.623139
55580.727082,500,952.642472
57916.931428,500,962.923644
56164.750595,500,973.211808
54974.79294,500,983.462024
50717.220452,500,994.018119
46383.033936,500,1004.4988
21691.607084,500,1015.122332
47916.606049,500,1025.645015
54211.861049,500,1035.716717
54223.097724,500,1045.781055
51750.397046,500,1056.32884
58425.325558,500,1066.474196
59214.637892,500,1077.068262
59909.195804,500,1087.215847
57684.739699,500,1097.512042
52689.273606,500,1108.105252
57699.29398,500,1118.167965
52200.638052,500,1128.636395
46693.592862,500,1138.935146
52453.572096,500,1149.423745
52138.747028,500,1159.79175
57628.718374,500,1169.975088
26021.708972,500,1180.187665
58078.330595,500,1190.428066
57042.449812,500,1200.676234
59940.91053,500,1211.088398
55469.387208,500,1221.440797
52066.575554,500,1231.600549
55314.143482,500,1242.172817
41520.986357,500,1252.724572
21877.799689,500,1263.196466
21685.513219,500,1273.332323
23838.316515,500,1283.59066
41760.383303,500,1294.040657
42473.31315,500,1304.161029
45002.165867,500,1314.521635
