#{"env_id": "my_panda_free_space_traj", "t_start": 1586876377.0300264}
r,l,t
363.838581,500,15.193363
558.935777,500,26.451361
692.518208,500,37.696701
725.547963,500,49.301019
849.265062,500,60.459282
967.113143,500,71.4635
897.042258,500,82.85788
994.183987,500,93.834385
1099.455441,500,105.050627
1062.921375,500,115.966198
1303.886468,500,127.13663
1256.322426,500,138.262233
1265.899185,500,149.299609
1359.417831,500,160.371129
1287.917298,500,171.39829
1552.760522,500,182.413004
2169.471673,500,193.550959
2243.967176,500,204.565675
2343.868331,500,215.808853
2700.025438,500,227.02397
2860.667758,500,238.171767
2756.358865,500,249.445875
2829.73029,500,260.322628
3006.714815,500,271.515543
3361.122468,500,282.324897
3465.249581,500,293.145177
3514.890525,500,304.187707
3675.113212,500,315.022834
3639.637825,500,325.896992
3719.396037,500,336.9571
3567.251466,500,347.793301
3650.154214,500,362.341135
3882.541005,500,373.027737
3936.939629,500,383.711684
3959.043222,500,394.608263
4157.023667,500,405.406929
4133.691084,500,416.095402
4242.233016,500,426.901442
4247.870356,500,437.813825
4241.705922,500,448.921506
4166.711911,500,459.89355
4258.353663,500,470.803212
4356.236884,500,481.923987
4290.524187,500,492.908118
4339.075741,500,504.029841
4368.165815,500,514.893543
4421.791661,500,525.631044
4379.332498,500,536.609263
4526.041078,500,547.486123
4341.30254,500,558.166738
4474.464072,500,569.231223
4443.028864,500,580.036215
4468.590571,500,591.021221
4608.080632,500,601.787194
4544.990866,500,612.52501
4616.170669,500,623.526033
4668.722635,500,634.344944
4253.791696,500,645.347239
4704.579116,500,656.022983
4248.025938,500,666.941434
3091.491269,500,678.066045
4849.457065,500,688.931149
3836.267636,500,699.499532
3893.623204,500,710.390005
4357.919949,500,721.130384
4521.069389,500,732.208884
4874.191474,500,742.770795
4071.111317,500,753.419496
3674.408618,500,764.301909
4431.991486,500,775.048736
4718.126372,500,786.025194
4764.430205,500,796.683193
4583.354419,500,807.312512
4738.02709,500,818.179909
4940.667415,500,828.765727
4561.591624,500,839.54657
4913.770684,500,850.474627
4858.161144,500,860.981963
5413.644118,500,871.777467
5529.919256,500,882.260975
5403.111596,500,892.726533
6458.786751,500,903.472419
7154.860973,500,913.886867
8005.79615,500,924.544148
7741.657455,500,935.288954
8498.267094,500,945.689441
7413.468313,500,956.373062
6855.47596,500,966.713857
8110.961518,500,977.072195
9198.387866,500,987.537357
7869.654852,500,997.849366
7051.493805,500,1008.437978
7489.535595,500,1018.971925
8837.413554,500,1029.288582
10013.885,500,1040.113309
8643.242725,500,1050.771583
9537.107017,500,1061.16776
8425.465259,500,1071.855673
10401.07494,500,1082.143743
