#{"t_start": 1586899374.4512558, "env_id": "my_panda_free_space_traj"}
r,l,t
268.554461,500,15.256446
180.929856,500,26.059321
314.34362,500,37.62488
616.528332,500,48.976761
1274.212726,500,60.577458
1236.977011,500,72.047214
1401.797379,500,83.851726
1607.724448,500,95.339769
1702.972162,500,106.862605
1665.520828,500,118.491881
1935.828201,500,129.909799
2074.003979,500,140.988692
2587.940072,500,152.358675
2356.072996,500,163.35205
2750.049972,500,174.693034
2581.3287,500,185.94136
2678.762501,500,196.834604
2777.389021,500,207.72864
2768.646409,500,218.745056
2741.0321,500,229.862001
3217.563668,500,240.924003
3186.258555,500,251.810452
3345.090338,500,262.625987
3175.271176,500,273.681093
3417.447127,500,284.583337
3175.358699,500,295.37939
3315.620071,500,306.663486
3542.646712,500,317.476396
3367.443223,500,328.644683
3403.499497,500,339.668577
3444.360921,500,350.663492
3594.567996,500,361.812614
3647.701292,500,372.901691
3652.53551,500,384.174455
3760.391736,500,395.091125
3819.466856,500,405.924485
3892.663773,500,416.930589
3852.655502,500,427.768403
3704.575971,500,438.837349
3922.627202,500,449.998305
3932.684286,500,460.945343
4029.873419,500,472.141243
4083.629648,500,482.976631
4131.791864,500,493.776674
4075.228881,500,504.820876
4148.539709,500,515.557268
4020.854461,500,526.706455
4131.241346,500,537.52872
4087.053092,500,548.575182
4245.00934,500,559.691856
4239.172525,500,570.432819
4170.038593,500,581.38814
4171.960323,500,592.27781
4266.006579,500,602.98244
4362.193392,500,613.955898
4203.105535,500,624.697349
4345.381998,500,635.493766
4360.369244,500,646.444404
4348.005499,500,657.091577
4422.11643,500,668.211254
4273.619543,500,679.047555
4268.458694,500,689.953304
4243.159329,500,700.840368
4379.728171,500,711.525914
4036.723371,500,722.46473
4470.124287,500,733.41207
4446.578862,500,744.087462
4328.915544,500,755.022404
4300.2147,500,765.821219
4315.338926,500,776.749781
4392.858227,500,787.819784
37.840795,500,799.03482
4443.071687,500,809.840657
4431.130988,500,820.918289
4272.672716,500,831.752456
4165.452935,500,842.852195
4372.333825,500,853.793379
3714.903872,500,864.690755
4280.274853,500,875.655168
4283.765213,500,886.364738
4128.620227,500,897.587339
4229.436622,500,908.541464
4431.934791,500,919.468951
4410.875195,500,930.697292
4357.576753,500,941.533723
4370.220518,500,952.337309
4323.456227,500,963.410687
4505.346525,500,974.137802
4535.150316,500,985.153676
4414.084208,500,995.875153
4292.114347,500,1006.520603
4330.104092,500,1017.533782
4389.691188,500,1028.253005
4545.402141,500,1039.176635
4119.55368,500,1049.949189
4348.047613,500,1060.900084
4446.768045,500,1071.905732
4540.441875,500,1082.541139
4530.023528,500,1093.160585
4362.467344,500,1104.179479
4448.56078,500,1115.205431
4526.881453,500,1125.986649
4504.931939,500,1136.577702
4252.882445,500,1147.369162
4129.545803,500,1158.250798
4141.499422,500,1169.065267
4507.229405,500,1180.052067
4441.338505,500,1190.781252
4279.181121,500,1201.662498
4152.51164,500,1212.696543
4203.344022,500,1223.643219
4280.975447,500,1234.466242
4498.147777,500,1245.462305
4416.80963,500,1256.089747
4330.85227,500,1266.929348
4302.627476,500,1277.66655
4362.866229,500,1288.410562
4473.070785,500,1299.351989
4501.47545,500,1310.112496
4469.536758,500,1320.998899
4496.368192,500,1332.047524
4486.120274,500,1342.68513
4351.144307,500,1353.730494
4487.805501,500,1364.515339
4536.171948,500,1375.353927
4046.073225,500,1386.640561
4223.381743,500,1397.298064
4026.799933,500,1408.328915
3568.204679,500,1419.33068
4008.237334,500,1430.24822
78.870139,500,1441.992076
4280.207332,500,1452.838868
4107.084403,500,1463.683304
4105.733807,500,1474.54144
4503.398467,500,1485.286264
4450.477164,500,1496.258162
4379.803585,500,1507.162198
4479.090128,500,1517.930067
4467.763061,500,1528.810048
4367.775746,500,1539.543123
4371.980779,500,1550.668503
4492.030749,500,1561.368244
4474.506456,500,1572.146472
3552.208752,500,1583.892969
4159.796892,500,1594.886654
4515.635236,500,1605.710618
4451.008429,500,1616.731701
4491.370564,500,1627.418503
4055.253707,500,1638.328315
4262.244879,500,1649.03139
4371.769429,500,1659.761028
4478.225696,500,1670.596845
4327.331251,500,1681.613651
4349.355339,500,1693.024753
4222.831807,500,1703.783581
4088.998187,500,1714.719515
4381.543915,500,1725.774439
4440.117961,500,1736.604017
4395.618645,500,1747.661894
4431.585478,500,1758.582869
4489.19072,500,1769.381377
4517.355382,500,1780.362555
4492.578466,500,1791.171774
4398.119063,500,1802.080019
4403.462333,500,1813.081509
4514.023816,500,1823.783554
4296.640177,500,1834.59704
4409.325466,500,1845.612494
4355.392611,500,1856.386328
4548.931137,500,1867.474111
4333.685613,500,1878.155329
4437.681392,500,1888.862196
4527.596174,500,1899.787454
4557.388402,500,1910.452852
4518.251416,500,1921.404706
4453.295147,500,1932.171253
4419.433919,500,1943.156329
4448.129421,500,1954.241767
4542.775806,500,1964.880377
4539.66045,500,1975.632866
4550.573514,500,1986.709627
4551.55224,500,1997.521785
4498.933075,500,2008.601734
4389.295897,500,2019.520304
4297.166203,500,2030.298709
4530.193111,500,2041.209081
4530.677284,500,2052.073419
4329.645505,500,2063.484799
4487.873765,500,2074.197157
4516.697566,500,2084.835509
4450.889431,500,2095.694399
4562.701934,500,2106.333371
4520.591944,500,2117.077153
4542.803407,500,2128.019748
4544.307385,500,2138.794292
4565.969231,500,2149.748435
4351.165517,500,2160.561128
4385.24957,500,2171.310167
4480.630548,500,2182.311096
4506.538144,500,2192.892227
