#{"env_id": "my_panda_free_space_traj", "t_start": 1586914640.609324}
r,l,t
281.941985,500,14.817492
248.283364,500,25.674458
423.827452,500,36.512064
669.164518,500,48.0293
820.324173,500,60.121818
851.317133,500,71.752701
952.124451,500,83.163453
1059.19993,500,94.508658
996.924838,500,105.748908
929.464542,500,117.198304
826.921755,500,128.769715
921.639647,500,139.601348
894.265141,500,150.624054
1169.156854,500,161.370775
1147.549151,500,172.611101
1074.087823,500,183.20545
1430.525217,500,194.125894
1775.876989,500,205.355686
1545.93961,500,215.929305
1563.87466,500,226.683784
1986.277314,500,237.609929
2048.17084,500,248.323792
1874.662904,500,259.482009
2259.389867,500,270.296088
2454.519193,500,281.11635
2034.287552,500,292.107826
2589.514221,500,302.938957
2904.210982,500,313.742992
2851.557271,500,324.608215
3162.705442,500,335.237925
3453.299195,500,346.329844
4064.549602,500,356.993142
4766.237998,500,367.569839
4385.662992,500,378.520698
3412.382855,500,389.204295
4851.344872,500,400.168438
4724.773567,500,411.245478
5545.617686,500,422.192542
5646.490218,500,433.161131
7642.96259,500,443.815091
5336.424693,500,454.500534
6376.715461,500,465.271338
7264.948958,500,476.052708
6257.836376,500,487.002371
5612.855488,500,497.778687
7786.116352,500,508.486896
8090.380777,500,519.558078
7496.153481,500,530.231119
7697.416914,500,541.312567
9837.75213,500,552.205321
11653.55372,500,563.262912
12107.670104,500,574.411659
13229.885666,500,585.312407
10822.858995,500,596.547483
13015.638816,500,607.736656
14338.191051,500,618.756868
12975.91736,500,629.727251
14281.265921,500,640.559216
18004.780031,500,651.542622
17782.411644,500,662.587331
24072.429241,500,673.119731
21914.309541,500,683.967409
23116.99192,500,694.766121
21190.217786,500,705.621475
27135.476735,500,716.556059
32693.229773,500,727.372164
29633.257679,500,738.080764
37999.711254,500,748.985893
40653.296819,500,759.725658
42826.269455,500,770.764797
33470.967767,500,781.543224
34822.810641,500,792.524195
42720.959437,500,803.590302
47030.240484,500,814.241886
51080.960721,500,825.249085
34165.304043,500,835.980404
46885.716686,500,846.861623
47609.224832,500,857.868286
35465.688095,500,868.699248
43849.433318,500,879.485354
49596.632048,500,890.557964
49660.332274,500,901.341834
50074.010998,500,912.414277
53399.576735,500,923.132752
52702.159656,500,934.210594
54430.402384,500,945.448852
52975.395156,500,956.276323
51062.030775,500,967.117327
52730.737824,500,978.175717
56849.327737,500,989.006361
56508.134727,500,999.78804
58321.03897,500,1010.31925
54814.368112,500,1021.202044
49807.323308,500,1032.256069
21818.714498,500,1043.019533
8434.55679,500,1053.755328
3244.684597,500,1064.4854
7264.413391,500,1075.247407
22180.232659,500,1086.178399
31043.603339,500,1097.079224
47351.707636,500,1107.957713
22194.49979,500,1118.757882
42728.198757,500,1129.471721
48612.170855,500,1140.349654
53266.866272,500,1150.95752
54458.624973,500,1161.700065
37279.59108,500,1172.497575
47445.760766,500,1183.26992
10004.265914,500,1194.441094
40143.728292,500,1205.450575
7174.694872,500,1216.750891
37111.08995,500,1227.858793
4999.172156,500,1239.236119
6668.010243,500,1250.201861
10222.524494,500,1261.603295
16179.110404,500,1272.729073
34723.597205,500,1284.200616
43915.939368,500,1294.868037
42431.484235,500,1305.683021
27726.764314,500,1316.574679
42452.623124,500,1327.205589
44456.922601,500,1338.022806
47287.719774,500,1348.680038
42725.63433,500,1359.634157
49644.86293,500,1370.640404
49304.051172,500,1381.459076
50955.398694,500,1392.14738
56474.018191,500,1402.919883
13378.508972,500,1413.836758
47940.716541,500,1424.825298
52245.930963,500,1435.577028
53549.913447,500,1446.241038
54900.238563,500,1457.12728
52662.42814,500,1467.772378
59131.757879,500,1478.532372
51394.951278,500,1489.498806
15638.530228,500,1500.653548
9372.291028,500,1511.399515
44097.66832,500,1521.944454
48200.499656,500,1532.815884
54808.831715,500,1544.166431
42322.954569,500,1555.192141
53951.1602,500,1566.316236
51451.914453,500,1577.114263
21165.578632,500,1588.429835
42160.569145,500,1599.590246
31556.029334,500,1610.471803
40258.144938,500,1621.520444
36933.732396,500,1632.566362
33307.621255,500,1643.297936
52786.385081,500,1654.634565
57578.111089,500,1665.218872
52361.460112,500,1675.944141
50436.600657,500,1686.774972
52983.858696,500,1697.494832
55938.074057,500,1708.656753
54093.050452,500,1719.469289
45993.914439,500,1730.121675
57501.909592,500,1741.015496
56290.980128,500,1751.74155
48908.625368,500,1762.345512
53867.199892,500,1773.258008
58139.434911,500,1783.91663
45040.710624,500,1795.064801
53811.659665,500,1806.074022
54419.211473,500,1816.824481
53770.46309,500,1827.750529
57928.086364,500,1838.268495
51022.757643,500,1849.178724
54653.071084,500,1859.944106
35306.872917,500,1870.571684
54926.332352,500,1881.519902
53310.376968,500,1892.435213
57221.617602,500,1903.06452
57000.938245,500,1914.122929
35922.033721,500,1925.021928
54911.188512,500,1936.276704
53698.926201,500,1947.094136
51336.80118,500,1957.844148
52166.314445,500,1969.02131
51684.363028,500,1980.045326
47667.45577,500,1990.905867
55334.548286,500,2001.662368
58323.061614,500,2012.448307
41528.670965,500,2023.312118
46441.837514,500,2033.942863
51545.720557,500,2044.724999
55582.988462,500,2055.799747
51126.879068,500,2066.602782
55764.081275,500,2077.635139
54773.181139,500,2088.209894
59678.735929,500,2099.008213
49393.008071,500,2109.867374
54732.198485,500,2120.497695
55678.436079,500,2131.117707
30120.483836,500,2142.07277
50183.777193,500,2152.921589
54466.414816,500,2163.908248
46639.219832,500,2174.744356
46573.856596,500,2185.677375
