#{"t_start": 1586281262.584323, "env_id": "my_panda_free_space_traj"}
r,l,t
206.131447,500,14.408956
270.18968,500,25.196046
253.000099,500,36.270999
233.340944,500,46.981673
265.696144,500,57.799977
98.158361,500,68.408609
184.364786,500,79.173424
171.409913,500,89.971391
539.256655,500,100.434703
769.946683,500,111.023055
1544.068856,500,121.951441
2351.578461,500,133.00193
2127.374406,500,144.293414
2921.983123,500,155.344357
3284.911511,500,166.66056
3151.946121,500,178.04379
3105.708664,500,189.528899
3439.32705,500,200.860976
2968.282555,500,212.190436
2766.986847,500,223.267876
2963.033891,500,235.069425
3721.354926,500,246.450897
3574.700959,500,258.034574
3575.423714,500,269.630963
3657.916909,500,281.420518
3212.22299,500,293.486246
3884.259122,500,305.191932
3778.23913,500,316.903731
4040.34107,500,328.746983
3771.49106,500,340.307155
4153.024608,500,351.890052
4844.735417,500,363.62211
3914.059408,500,375.154509
4792.44524,500,387.06807
4433.195654,500,398.485964
4844.130669,500,410.154458
5456.955987,500,422.14818
5061.453187,500,433.478742
5691.004601,500,445.340367
6220.6419,500,456.858758
5714.088585,500,468.560518
6184.502778,500,480.373187
6061.996449,500,491.821675
6188.58427,500,503.366748
6307.231985,500,514.965485
7741.694441,500,525.984096
6981.242032,500,537.275612
6953.222336,500,548.630915
7177.121683,500,559.728621
