#{"env_id": "my_panda_free_space_traj", "t_start": 1586289234.4757469}
r,l,t
249.880325,500,14.435593
322.310733,500,25.210195
1175.359277,500,35.614397
1463.828746,500,45.934698
1912.923606,500,56.214735
2540.715741,500,67.00608
3527.025732,500,78.38746
3367.744217,500,89.735838
3573.401513,500,101.062719
4313.497018,500,112.742733
3022.517597,500,123.949128
5068.957399,500,135.163086
5549.926792,500,146.32227
5980.958149,500,157.225269
6720.140764,500,168.414011
7926.14025,500,179.380268
8892.742019,500,190.262399
8650.070731,500,201.355574
10669.764245,500,212.397118
11920.453081,500,223.612227
11908.574517,500,234.609591
11421.162263,500,245.576105
11257.697206,500,257.011854
10955.323305,500,267.863189
28679.430459,500,279.56087
12000.551664,500,290.896718
12971.233732,500,301.841709
14193.730804,500,313.058751
13270.217863,500,323.953449
13512.721251,500,335.023747
14593.502564,500,346.396683
40011.275919,500,357.675809
15239.10552,500,368.648749
14507.224097,500,379.552892
15214.082931,500,390.528029
48687.932234,500,402.068491
43013.985462,500,413.860837
16417.573527,500,425.468252
36359.613367,500,436.853009
46948.655392,500,448.429607
44954.042072,500,460.885826
47433.328841,500,473.05475
53703.013895,500,484.814614
49176.2736,500,496.897393
53995.486337,500,508.753922
52393.879885,500,520.750383
51736.960108,500,532.707711
54479.479545,500,544.483546
55578.745838,500,556.436808
