episodes,n_updates,qf1_loss,policy_loss,time_elapsed,ent_coef_loss,mean 100 episode reward,qf2_loss,entropy,eplenmean,ent_coef,current_lr,ep_rewmean,total timesteps,fps,value_loss
4,2900,1.2575922,-36.94756,32,-8.731426,35.3,1.2702305,9.623778,1000.0,0.42319858,0.0003,478.522731,3000,92,0.8722831
8,6900,0.48883912,-43.139305,73,-17.233606,25.5,0.54904747,10.230833,1000.0,0.13442537,0.0003,433.32708099999996,7000,95,0.5042681
12,10900,0.1791448,-35.51725,115,-19.276619,24.4,0.29988846,8.72013,1000.0,0.04381991,0.0003,463.81260427272724,11000,95,0.22094226
16,14900,0.107576326,-27.420942,157,-17.653028,22.4,0.09351323,6.560313,1000.0,0.015496708,0.0003,443.34400180000006,15000,95,0.12881237
20,18900,0.022944484,-21.734434,200,-13.210859,25.7,0.04190436,4.863958,1000.0,0.0071532438,0.0003,593.0001432105263,19000,94,0.024024092
24,22900,0.023926388,-17.27748,242,-2.5545473,24.8,0.03146413,4.4051867,1000.0,0.0038922678,0.0003,633.3804775217392,23000,95,0.0347716
28,26900,0.008346899,-13.837051,283,-10.945042,25.1,0.008879196,4.4980497,1000.0,0.002683358,0.0003,705.8838287037036,27000,95,0.0065123467
32,30900,0.008493418,-11.191476,327,-0.7756388,24.6,0.007422428,3.672032,1000.0,0.0016623115,0.0003,737.5104426451612,31000,94,0.0042016786
36,34900,0.0030401782,-9.405019,367,-16.769371,25.4,0.0032119132,3.967143,1000.0,0.0013552791,0.0003,840.4202974857142,35000,95,0.007318553
40,38900,0.0031550927,-7.910121,411,-12.865389,24.8,0.0033465216,4.9178524,1000.0,0.0017992619,0.0003,868.6219507179485,39000,94,0.0039561614
44,42900,0.0069059236,-6.5816517,454,-16.680084,23.8,0.0032829354,2.9235654,1000.0,0.0007433846,0.0003,863.3118564418605,43000,94,0.0066261003
48,46900,0.003101311,-5.5894256,496,9.192441,24.0,0.003533869,3.6053667,1000.0,0.00069770176,0.0003,926.5303569574468,47000,94,0.001495968
52,50900,0.0031343342,-4.990517,536,28.303188,24.6,0.0029886318,4.0584173,1000.0,0.0009049548,0.0003,1010.0641940392156,51000,95,0.0031806906
56,54900,0.0019176698,-4.4675765,577,-7.247904,25.8,0.0016533924,4.572782,1000.0,0.0009609094,0.0003,1160.7796411272727,55000,95,0.0021717018
60,58900,0.0017182981,-4.2795453,620,-0.53317297,27.1,0.0017525443,4.0633116,1000.0,0.0009261219,0.0003,1419.228266254237,59000,95,0.004865596
64,62900,0.12377705,-4.0142117,661,-3.6247842,27.4,0.12464012,3.9203813,1000.0,0.00085790595,0.0003,1604.5317138253968,63000,95,0.0015834674
68,66900,0.0010724727,-3.8848243,703,-1.3314058,27.7,0.0013490719,3.2645285,1000.0,0.0007329924,0.0003,1808.2417612985075,67000,95,0.0010358018
72,70900,0.0015346225,-3.7726204,744,-9.333391,27.7,0.0014967187,4.0812097,1000.0,0.0007846155,0.0003,1991.204019830986,71000,95,0.0011044323
76,74900,0.0043510934,-3.6929,786,4.886679,28.5,0.004444826,3.3731258,1000.0,0.000851961,0.0003,2347.055681786667,75000,95,0.0006838236
80,78900,0.0010974646,-3.7100017,829,0.13031423,30.0,0.0011481999,3.6564603,1000.0,0.0012822008,0.0003,3147.7364773924055,79000,95,0.0007542408
84,82900,0.0012397115,-3.803462,874,7.0151577,30.9,0.0014442647,3.9663327,1000.0,0.0013799057,0.0003,4175.896384626507,83000,94,0.002041086
88,86900,0.0021506064,-3.8886023,917,5.366767,32.0,0.0025941948,3.7748415,1000.0,0.0016769877,0.0003,6050.17567486207,87000,94,0.00040416062
92,90900,0.0013776132,-3.9852428,961,-3.6632495,32.9,0.0017085271,3.5501528,1000.0,0.0017341013,0.0003,8507.7607360989,91000,94,0.0012122517
96,94900,0.008878754,-3.8579562,1006,4.2716775,32.7,0.012012305,3.6468005,1000.0,0.0038881314,0.0003,10036.638545905264,95000,94,0.006977845
100,98900,0.0013218268,-3.5536036,1050,-5.724318,31.4,0.00091894635,3.885642,1000.0,0.0027303016,0.0003,9656.827039121214,99000,94,0.0006924575
104,102900,0.0013665869,-3.368813,1094,6.8924875,30.2,0.0015779485,2.8824615,1000.0,0.0020426696,0.0003,9952.32070726,103000,94,0.0013064812
108,106900,0.09028576,-3.3195384,1137,2.6813731,30.2,0.091079704,3.2545722,1000.0,0.0017416283,0.0003,11127.182157100002,107000,94,0.0007844129
112,110900,0.0012735164,-3.3099542,1183,4.020569,30.8,0.00094963156,3.2773612,1000.0,0.0018167993,0.0003,13672.591144570002,111000,93,0.0024627382
116,114900,0.0005423195,-3.3080635,1227,3.3270683,31.7,0.00054513745,3.4194965,1000.0,0.0017417304,0.0003,16849.76494394,115000,93,8.6269465e-05
120,118900,0.00092796463,-3.334588,1272,-2.272977,31.8,0.0010912936,2.4071255,1000.0,0.0018216624,0.0003,20544.481709100004,119000,93,0.00027390366
124,122900,0.00054540235,-3.3874795,1317,-4.840572,32.4,0.00057525944,2.06672,1000.0,0.001751691,0.0003,24506.5612527,123000,93,0.00015508493
128,126900,0.088621594,-3.3399057,1360,-3.6213713,32.7,0.08815342,2.0229542,1000.0,0.0017451588,0.0003,28691.43842652,127000,93,9.3627794e-05
132,130900,0.00043935137,-3.301611,1404,2.0905242,33.2,0.00037478344,1.8138466,1000.0,0.0016192839,0.0003,33045.116557040004,131000,93,0.00015381615
136,134900,0.00040000398,-3.2484088,1447,-1.9206254,33.2,0.0004417756,0.46673447,1000.0,0.0016334766,0.0003,37403.785016459995,135000,93,0.0005365114
140,138900,0.00037239338,-3.0850449,1490,-2.6803765,33.7,0.0005569088,1.6202928,1000.0,0.001745798,0.0003,42242.74558593,139000,93,0.0002477219
144,142900,0.0002294626,-3.0179255,1533,-1.1075195,34.4,0.0003007109,1.4390814,1000.0,0.0013151579,0.0003,46890.0133905,143000,93,6.185999e-05
148,146900,0.00023117271,-2.9289331,1578,-0.0012103915,34.4,0.00021794919,1.0847402,1000.0,0.0012196925,0.0003,51363.03076466999,147000,93,0.00035228062
152,150900,0.00010252191,-2.8692327,1623,0.80891293,34.3,0.00011114111,1.3950126,1000.0,0.001333309,0.0003,56031.54959625,151000,93,0.00013226236
156,154900,0.00027718698,-2.7961588,1668,-1.086003,33.7,0.00023696574,0.6706282,1000.0,0.0011718851,0.0003,60543.24882514001,155000,92,5.0984687e-05
160,158900,0.00023015346,-2.7236738,1713,-4.8752127,32.8,0.0001559876,1.5001171,1000.0,0.001172373,0.0003,64673.54274864998,159000,92,4.3888118e-05
164,162900,0.00010613035,-2.675816,1758,0.75615555,32.5,0.00012718113,0.0118808355,1000.0,0.0008003273,0.0003,68901.27370656,163000,92,6.333065e-05
168,166900,0.000181527,-2.56458,1803,-8.493141,32.1,0.00018122878,1.019463,1000.0,0.00063426135,0.0003,72913.08461998,167000,92,0.00010983246
172,170900,9.8052944e-05,-2.4689045,1849,-0.34740624,31.8,0.00012597349,0.92057884,1000.0,0.00058855425,0.0003,76384.62906405999,171000,92,7.2016526e-05
176,174900,0.00014552718,-2.4042459,1894,-4.532219,31.0,0.00016824779,-0.43594322,1000.0,0.00047195877,0.0003,80323.80144933,175000,92,0.00033734873
180,178900,5.9696533e-05,-2.36942,1939,-0.12337649,29.6,6.522913e-05,-1.1053851,1000.0,0.00038940203,0.0003,83938.67443553999,179000,92,0.00039725984
184,182900,8.197017e-05,-2.3403726,1983,-0.5869577,28.6,8.043906e-05,-2.1566384,1000.0,0.00028776508,0.0003,87569.40006738002,183000,92,2.7539452e-05
188,186900,3.6813137e-05,-2.3057983,2027,4.694471,27.2,4.568079e-05,-1.3666482,1000.0,0.00036071357,0.0003,89869.44008579,187000,92,7.829612e-05
192,190900,0.00010013673,-2.252016,2070,1.5486255,26.1,5.8564434e-05,-1.0064846,1000.0,0.00033516492,0.0003,91670.73991256,191000,92,5.4707514e-05
196,194900,4.901384e-05,-1.8546212,2115,-7.9460564,25.4,3.3327662e-05,1.413173,1000.0,0.0007005718,0.0003,92155.74766912,195000,92,0.00012901748
200,198900,6.7915185e-05,-1.8750312,2160,3.584867,26.3,8.8064844e-05,-1.1014014,1000.0,0.0004012719,0.0003,96473.2928049,199000,92,3.4964156e-05
