#{"t_start": 1582849234.8980143, "env_id": "my_panda_free_space_traj"}
r,l,t
489.84351,1000,11.282619
536.325216,1000,21.578288
304.737536,1000,31.776785
239.330083,1000,41.919598
406.081855,1000,51.997387
248.849926,1000,62.506981
439.895489,1000,72.606872
407.884237,1000,82.891257
480.104716,1000,93.225764
525.326465,1000,103.533875
272.18903,1000,113.726551
316.134927,1000,123.94112
431.452192,1000,134.038711
339.77606,1000,144.213785
495.64681,1000,154.314518
392.024792,1000,164.626754
466.716646,1000,175.153029
474.477321,1000,185.47174
414.375312,1000,195.71256
325.444051,1000,205.865591
578.968076,1000,216.140746
752.143936,1000,226.21915
775.767821,1000,236.335153
722.519774,1000,246.586149
487.44235,1000,256.759023
625.503226,1000,267.105994
435.730077,1000,277.471859
561.017923,1000,287.76389
4513.904322,1000,298.171458
6535.044976,1000,308.440245
5961.238086,1000,318.710511
3957.966138,1000,329.23869
4849.562206,1000,339.580569
7305.066329,1000,350.034388
4421.911077,1000,360.847805
2509.330238,1000,371.854363
2145.058451,1000,382.600996
517.565567,1000,393.166115
1236.898646,1000,403.731162
500.055839,1000,414.472731
955.262773,1000,424.696295
951.523705,1000,435.217805
856.542165,1000,445.873177
1147.970879,1000,455.976971
1380.161843,1000,466.157151
1366.577404,1000,476.444497
1254.718027,1000,486.710894
1547.527141,1000,497.021645
1013.813124,1000,507.179555
741.679074,1000,517.444497
4041.846512,1000,527.794998
7143.534628,1000,538.083282
7399.627626,1000,548.571988
7018.497514,1000,558.910876
7368.698472,1000,569.512531
7426.703226,1000,580.052349
7110.80891,1000,590.756835
6322.813035,1000,601.184812
7028.218642,1000,611.610019
3431.632408,1000,622.68879
954.852333,1000,633.298682
871.66615,1000,644.455598
498.479643,1000,655.45119
991.254626,1000,666.013524
2232.333313,1000,676.236999
2917.255695,1000,686.472656
6725.171205,1000,696.942919
7478.769875,1000,707.344414
7331.658886,1000,717.738642
7705.43001,1000,728.32142
7668.532476,1000,739.01654
7327.749163,1000,749.909995
7621.41233,1000,760.498942
7386.19588,1000,770.556786
7460.845062,1000,781.210278
7341.700843,1000,791.635553
7796.702661,1000,802.09352
7080.93022,1000,812.446791
7272.639049,1000,822.979108
7843.413556,1000,833.450692
7416.169683,1000,843.870531
7389.421392,1000,854.280057
7430.310049,1000,864.672246
7372.994874,1000,875.157293
7407.416383,1000,885.602882
6980.891755,1000,895.898523
8039.441896,1000,906.44511
7257.295216,1000,916.78134
6691.084959,1000,927.307119
7995.414124,1000,937.895963
7411.341041,1000,948.398603
6648.096351,1000,958.732711
7563.465733,1000,969.310496
7374.296455,1000,979.833683
7826.442263,1000,990.293144
7184.975302,1000,1000.705408
6733.317339,1000,1011.553018
8467.211787,1000,1021.856521
19147.272286,1000,1032.423415
19272.993625,1000,1043.067813
12824.850555,1000,1053.493922
13283.347696,1000,1063.94913
14262.677292,1000,1074.364145
14637.886393,1000,1084.841149
17053.980738,1000,1095.464981
17189.080561,1000,1105.98123
16043.668805,1000,1116.549702
6801.778812,1000,1127.172465
14695.592752,1000,1137.830116
17524.840079,1000,1148.27894
15922.184338,1000,1159.163135
10697.697193,1000,1170.022115
8830.664782,1000,1181.074018
9805.86565,1000,1192.028366
9428.42054,1000,1202.834155
15481.699879,1000,1213.818752
18845.209794,1000,1226.815984
22290.712775,1000,1237.532662
21051.338702,1000,1248.408413
38972.930639,1000,1259.039149
46049.483453,1000,1269.725409
40725.823277,1000,1280.245759
27291.11679,1000,1291.392439
61039.96349,1000,1302.159061
82998.477526,1000,1312.685785
59921.650464,1000,1323.439353
72921.562387,1000,1334.195062
67777.245533,1000,1344.863535
67817.847449,1000,1355.480114
57748.620399,1000,1366.325212
67495.875338,1000,1376.99629
56395.062627,1000,1387.582205
73588.496669,1000,1398.23716
85528.449513,1000,1408.808515
61260.21523,1000,1419.848967
42758.080534,1000,1430.738701
