#{"env_id": "my_panda_free_space_traj", "t_start": 1582815370.2991085}
r,l,t
539.008647,1001,9.757423
633.433194,1001,18.872775
1799.588885,1001,27.45148
610.674879,1001,35.885838
605.019048,1001,44.207842
786.853093,1001,52.425488
1365.257476,1001,60.809975
3140.652955,1001,69.17326
4700.280314,1001,77.444001
3903.894452,1001,85.584523
731.398055,1001,94.177719
4757.36926,1001,102.75557
2568.275892,1001,111.72559
2756.957756,1001,120.481161
4642.198736,1001,129.115217
5535.700617,1001,137.716552
4680.699403,1001,146.148933
4837.281734,1001,154.768757
4748.440283,1001,163.155836
5223.701089,1001,171.970812
5363.094803,1001,180.941209
6885.531433,1001,190.078421
5375.003682,1001,198.569331
5942.411071,1001,206.967709
6723.830661,1001,215.257082
6626.054534,1001,223.826868
7425.407814,1001,232.721696
3268.432253,1001,241.222136
5087.45265,1001,250.006575
6728.862117,1001,259.099646
6099.97835,1001,267.844862
6099.066891,1001,277.189109
8271.080967,1001,285.999285
6524.666387,1001,295.335011
5908.67132,1001,304.24345
7393.574023,1001,313.119148
7306.630605,1001,322.179356
6900.831806,1001,331.945095
8129.331881,1001,340.368342
7622.672238,1001,349.103769
8432.561756,1001,357.81192
8298.299144,1001,366.648942
10261.889695,1001,375.619503
9887.487581,1001,384.844041
9420.934867,1001,393.279582
9301.463487,1001,402.226773
9782.787423,1001,411.122441
11020.70689,1001,419.546136
10977.900557,1001,428.631904
10909.498412,1001,437.085453
11539.146458,1001,445.49525
11987.898243,1001,454.321073
12518.339977,1001,463.275717
12974.736926,1001,472.367563
8932.280503,1001,480.962146
11191.772461,1001,489.578345
11332.679214,1001,498.110713
12778.46252,1001,506.601488
12124.281773,1001,515.782095
13040.726956,1001,524.304924
13167.522324,1001,532.797862
13106.802952,1001,541.431859
14448.831888,1001,550.166995
13580.9132,1001,558.635097
12374.832293,1001,567.534711
15345.400797,1001,575.833501
16180.345392,1001,584.293596
12577.615649,1001,593.073476
15053.539239,1001,601.90773
12811.971674,1001,611.011228
15013.907199,1001,619.636008
13346.482314,1001,628.017329
13219.500218,1001,636.447663
14206.901707,1001,644.994974
15682.690555,1001,653.466486
14482.899933,1001,662.313714
15424.491677,1001,671.016163
14348.355367,1001,679.665233
14977.580148,1001,688.477972
15894.330308,1001,696.733105
17778.267701,1001,705.15091
17435.296515,1001,713.566369
13183.810662,1001,722.328251
16872.785123,1001,730.659539
16441.090793,1001,739.607817
16305.113478,1001,748.110005
15323.827572,1001,757.003701
18098.943337,1001,765.651501
16747.141786,1001,774.228338
15487.798128,1001,782.552739
15232.32804,1001,790.861991
2560.236461,1001,799.949259
12722.414983,1001,808.579916
4902.160546,1001,817.754217
16172.84658,1001,826.031456
16785.940313,1001,834.942243
17568.804041,1001,843.164496
16385.473668,1001,851.791189
18729.804272,1001,860.049503
18756.196669,1001,868.477603
16487.255834,1001,877.141505
16556.817132,1001,885.7787
18632.411268,1001,894.150288
18620.745843,1001,902.378249
14243.495696,1001,910.984525
22665.765161,1001,919.248148
21801.289108,1001,927.913057
5622.336725,1001,936.637261
19419.078584,1001,945.053506
19538.607021,1001,953.350247
12228.179055,1001,962.472798
22681.442951,1001,970.852467
13426.631472,1001,979.468883
13039.770823,1001,988.595614
19599.822314,1001,997.716249
20302.843015,1001,1006.632798
16830.99786,1001,1015.741162
18009.348782,1001,1024.850054
15373.761323,1001,1033.329109
19380.896515,1001,1042.203967
19614.413411,1001,1050.712409
19816.998048,1001,1059.284099
19567.964328,1001,1067.903401
20209.331725,1001,1076.450758
20435.072655,1001,1085.025897
21610.666991,1001,1093.284521
21913.12024,1001,1101.731245
23136.260507,1001,1110.500299
24721.816189,1001,1118.923644
16582.378545,1001,1127.332568
26862.821139,1001,1135.667163
13048.726269,1001,1144.318475
25240.564785,1001,1153.025695
26798.19039,1001,1161.189191
28152.952548,1001,1169.309081
29762.100848,1001,1177.517661
11885.353383,1001,1186.180902
11440.580179,1001,1194.664583
23987.6565,1001,1202.822499
12062.929573,1001,1211.332474
13528.455051,1001,1219.753773
25658.261733,1001,1228.709959
28941.033442,1001,1236.975127
13873.042391,1001,1245.650537
28249.539148,1001,1254.279424
26976.127994,1001,1262.779691
31417.194645,1001,1271.506942
31465.703468,1001,1280.350247
10615.529805,1001,1289.394697
9867.080927,1001,1298.195343
11124.735495,1001,1306.863449
11706.931028,1001,1315.658209
17861.11011,1001,1324.148812
18952.1762,1001,1332.799073
19198.643072,1001,1341.453226
13129.883442,1001,1350.28229
13748.176257,1001,1359.429732
12973.712628,1001,1368.472343
13907.576841,1001,1377.506407
10725.880332,1001,1385.934875
13830.044678,1001,1394.333044
15199.770172,1001,1403.438555
15383.789586,1001,1412.328808
10764.033622,1001,1420.704508
13961.796122,1001,1429.375407
14345.93892,1001,1437.647545
14480.942185,1001,1446.302072
16667.477069,1001,1455.334859
18074.920505,1001,1463.84927
22010.097989,1001,1472.137267
21943.752965,1001,1481.170716
18827.81562,1001,1489.610659
19577.545061,1001,1498.086429
21829.666835,1001,1506.380383
19881.138633,1001,1515.101496
16471.513225,1001,1523.544232
16423.683037,1001,1531.796771
21895.605377,1001,1540.033345
24039.170076,1001,1548.457407
23327.568517,1001,1557.10127
18993.465985,1001,1565.877945
23180.2164,1001,1574.685706
19829.06835,1001,1583.290084
23930.715022,1001,1591.932886
23916.713097,1001,1600.805475
24962.026867,1001,1609.737115
25850.505448,1001,1618.476471
23928.605534,1001,1627.267371
24470.081209,1001,1636.146513
28477.351524,1001,1644.779541
32978.909624,1001,1653.1942
25079.997879,1001,1661.912542
24831.438395,1001,1671.116833
31356.455579,1001,1679.646314
24747.944046,1001,1688.273209
35383.030122,1001,1696.710991
35055.188131,1001,1705.166444
24426.061677,1001,1714.191089
36410.481272,1001,1722.737761
26041.633893,1001,1731.660078
25588.264452,1001,1740.668805
36178.247297,1001,1749.420195
37655.809284,1001,1757.882385
29577.709148,1001,1766.502578
28988.824725,1001,1775.019958
38052.932997,1001,1783.566288
27572.271772,1001,1792.501017
34997.867154,1001,1801.043874
36896.319876,1001,1809.492336
27577.29676,1001,1818.294008
37605.552007,1001,1827.2016
29408.781801,1001,1836.367844
40785.79214,1001,1845.224914
41511.432517,1001,1854.280195
41518.897536,1001,1863.314489
41235.29955,1001,1872.006029
25313.856908,1001,1881.462222
42198.623438,1001,1890.653574
44306.67535,1001,1900.419755
25151.207409,1001,1909.513589
38343.027459,1001,1918.164178
23159.628863,1001,1926.887931
24229.549364,1001,1935.740554
23661.678183,1001,1944.983532
28006.249235,1001,1953.821007
36932.001102,1001,1962.236484
27675.328838,1001,1971.265048
40508.133763,1001,1979.875968
44117.393905,1001,1988.188494
31014.023259,1001,1997.393987
41715.437427,1001,2006.156398
32321.267444,1001,2014.728391
42718.482984,1001,2023.408303
32169.23842,1001,2032.498764
46212.454217,1001,2040.94644
33208.714939,1001,2049.878557
46585.933505,1001,2058.405976
30563.308492,1001,2067.246396
34606.451802,1001,2075.992492
34796.029855,1001,2085.20973
46627.858477,1001,2093.626535
52192.90073,1001,2102.193847
48620.358969,1001,2110.557058
30019.002204,1001,2119.397352
52279.098478,1001,2127.636565
32044.704809,1001,2136.34938
33020.412892,1001,2145.462701
32468.357794,1001,2154.420742
30733.490751,1001,2163.297311
50913.323352,1001,2172.199313
33712.195615,1001,2180.737822
48868.831862,1001,2189.35435
35124.405523,1001,2197.972444
50772.207225,1001,2206.489728
32668.95479,1001,2215.177497
33373.052245,1001,2224.146853
46766.271361,1001,2233.099164
38273.733607,1001,2242.07966
47963.871081,1001,2250.792638
34264.98363,1001,2259.922212
49763.330243,1001,2268.658886
47960.319822,1001,2277.145507
48047.415133,1001,2285.984581
40511.755815,1001,2294.78552
41185.221411,1001,2303.834764
54586.806911,1001,2312.254841
36182.620329,1001,2321.06081
41337.92413,1001,2330.012667
51860.926593,1001,2338.802261
38401.519454,1001,2347.642911
39248.544645,1001,2356.494436
38304.218354,1001,2365.472595
42486.958661,1001,2373.918815
36100.738619,1001,2382.78334
44321.216092,1001,2391.210213
42404.073167,1001,2399.980607
48399.710267,1001,2408.516542
41979.216396,1001,2417.005702
47454.644699,1001,2425.149337
50430.947252,1001,2433.218737
41429.958258,1001,2441.62786
50240.069838,1001,2450.031022
39190.737426,1001,2458.855001
41046.017746,1001,2467.471774
47352.615321,1001,2476.358384
51289.226553,1001,2484.839721
49333.674399,1001,2493.353172
42077.5977,1001,2502.238332
41909.252117,1001,2510.687516
41334.601563,1001,2519.03629
41879.70889,1001,2527.506015
47786.963987,1001,2536.122914
39608.750057,1001,2544.722117
42589.274381,1001,2553.412251
45134.358034,1001,2561.937683
39370.227514,1001,2570.597961
51402.347134,1001,2578.800801
43378.568312,1001,2587.140579
54177.430123,1001,2595.282264
42130.96384,1001,2603.716549
51095.803267,1001,2611.987759
50445.926306,1001,2619.96253
43883.17616,1001,2628.295009
40711.444395,1001,2636.596931
51989.502652,1001,2644.618303
42135.736133,1001,2652.740108
39288.503008,1001,2661.209358
42384.278992,1001,2669.479621
43691.049039,1001,2677.919728
57253.038278,1001,2686.468582
40219.588517,1001,2694.907792
41144.322621,1001,2703.102111
54984.508409,1001,2711.111664
48314.071228,1001,2719.503938
57969.686919,1001,2727.984445
44835.365269,1001,2736.484149
44446.577155,1001,2744.601479
45870.229668,1001,2753.150392
43418.871057,1001,2761.431647
53491.386669,1001,2769.426857
51159.685704,1001,2777.706958
52325.03723,1001,2785.796035
43754.845179,1001,2794.369618
58479.898855,1001,2802.38614
47639.2821,1001,2810.69444
51232.855668,1001,2818.903663
40557.226619,1001,2827.278598
47703.677199,1001,2835.699716
56190.387511,1001,2843.970337
56122.589429,1001,2852.375811
54414.668924,1001,2860.510843
56448.089986,1001,2868.746519
49750.20732,1001,2878.06452
55864.64859,1001,2886.716624
42656.174321,1001,2895.553327
44850.816771,1001,2904.103987
53631.747465,1001,2912.123221
54995.427235,1001,2920.440194
55984.96483,1001,2928.355824
54706.119804,1001,2936.717342
39950.487106,1001,2945.446404
43564.389198,1001,2953.760365
43296.521974,1001,2962.027272
44131.858499,1001,2970.310002
54971.418077,1001,2978.244043
47405.096053,1001,2986.610332
49796.140973,1001,2994.613284
53562.701059,1001,3002.688948
52548.039779,1001,3010.674067
45376.313944,1001,3018.899527
50491.78096,1001,3027.595615
49200.182931,1001,3036.012473
50093.006863,1001,3044.598785
48851.434277,1001,3053.109052
47696.377799,1001,3061.767355
46891.026507,1001,3069.951112
47730.906669,1001,3077.907808
47570.56994,1001,3086.025173
49198.251063,1001,3094.505564
45565.059921,1001,3102.696633
46153.910572,1001,3111.084288
47231.284967,1001,3119.385144
47206.168696,1001,3127.974006
46672.033478,1001,3136.640141
50258.903569,1001,3145.045567
48126.700258,1001,3153.546747
49469.036287,1001,3162.422988
49785.941233,1001,3171.173829
50603.69903,1001,3179.354402
48796.496399,1001,3187.5797
47020.363759,1001,3196.079173
50437.91096,1001,3204.23422
50625.984366,1001,3212.926488
48290.443384,1001,3221.760729
52424.215052,1001,3230.284379
51511.605462,1001,3238.719173
48682.610639,1001,3247.287948
58893.395252,1001,3255.37625
50783.953838,1001,3263.998299
48128.884637,1001,3272.557744
57650.065321,1001,3280.79153
53952.334788,1001,3289.273793
53990.172469,1001,3297.435784
52349.995517,1001,3306.083351
53340.002264,1001,3314.159601
53326.828339,1001,3322.304059
54617.33562,1001,3330.335068
56781.616241,1001,3338.369559
55803.028832,1001,3346.408066
56745.686308,1001,3354.373973
46481.695553,1001,3363.500048
61051.347479,1001,3371.455749
57492.911231,1001,3379.529933
58939.629257,1001,3387.361616
60649.680593,1001,3395.584583
57316.163653,1001,3403.727042
59237.003325,1001,3412.014872
44593.396917,1001,3420.655556
45942.708749,1001,3429.140258
58641.991336,1001,3437.196701
31270.003111,1001,3445.368096
32222.360687,1001,3454.251363
30583.156174,1001,3463.013258
31058.768238,1001,3471.290364
38018.452641,1001,3479.6995
52172.424827,1001,3488.104558
51503.720193,1001,3496.134988
51780.861298,1001,3504.210843
50927.274681,1001,3512.730468
40615.813675,1001,3521.142545
38570.969101,1001,3529.93888
51938.346031,1001,3537.932974
44823.410924,1001,3546.231697
46681.889894,1001,3554.518789
51889.938102,1001,3562.611405
43191.912636,1001,3570.801635
52079.752297,1001,3578.932488
52548.265047,1001,3586.960781
49940.905849,1001,3595.233025
45537.122157,1001,3603.614379
55466.723118,1001,3611.664266
53237.154769,1001,3619.932583
50644.354773,1001,3628.26063
50684.109918,1001,3636.754677
46594.811418,1001,3645.459748
44223.482192,1001,3653.765974
51438.293009,1001,3661.66628
51771.560075,1001,3670.032641
51547.115012,1001,3678.330692
51056.805268,1001,3686.439724
46029.274846,1001,3694.756913
44619.244288,1001,3703.30987
49677.607683,1001,3711.39683
46976.096166,1001,3719.993577
46185.020658,1001,3728.324319
45351.451598,1001,3737.210038
50507.547058,1001,3745.616044
49014.121958,1001,3753.499491
49925.068864,1001,3762.053262
47542.974053,1001,3770.127455
47543.804538,1001,3778.732787
47172.882407,1001,3786.906778
49690.121881,1001,3795.03949
52723.769798,1001,3803.206663
49368.495804,1001,3811.681821
37578.748536,1001,3819.605277
42420.371408,1001,3828.032791
44062.963102,1001,3836.067294
40847.680254,1001,3845.36266
43699.652311,1001,3854.600818
52024.981975,1001,3863.16186
41750.171918,1001,3871.454991
51976.425931,1001,3879.561122
51524.990188,1001,3887.917339
53299.95353,1001,3896.446456
52727.739727,1001,3904.723665
41680.620114,1001,3913.080219
53218.648209,1001,3921.166757
47524.530807,1001,3929.652933
57073.892917,1001,3937.497148
49757.194577,1001,3945.919988
47190.114267,1001,3954.254374
47122.411688,1001,3962.605853
51634.901987,1001,3970.928119
49641.406284,1001,3979.17333
47580.793269,1001,3987.55848
48555.397186,1001,3995.852053
50534.476142,1001,4004.140475
56726.119923,1001,4012.10577
53330.324287,1001,4020.080681
48337.187223,1001,4028.323018
46040.423438,1001,4037.432084
47954.93662,1001,4045.878771
47191.214552,1001,4054.657464
50866.288535,1001,4063.328109
48666.293617,1001,4071.855173
46873.708165,1001,4080.322214
44759.617654,1001,4088.631585
48609.62404,1001,4096.99772
52749.568028,1001,4105.375451
45438.12821,1001,4113.63351
45016.708977,1001,4121.736408
50264.547777,1001,4130.258184
44728.941827,1001,4138.55914
49562.770536,1001,4146.933971
46434.701681,1001,4155.228978
47818.362406,1001,4163.267628
51174.731008,1001,4171.293889
52058.804429,1001,4179.570611
52450.751493,1001,4187.973129
50393.082181,1001,4196.778533
41289.466762,1001,4205.325942
49789.157771,1001,4214.048891
43100.40575,1001,4222.676213
56504.034059,1001,4230.674076
53270.515186,1001,4238.644596
53351.07775,1001,4246.624367
47825.075756,1001,4254.945721
47729.701898,1001,4263.370853
48137.779392,1001,4271.948677
