#{"env_id": "my_panda_free_space_traj", "t_start": 1583786169.5189273}
r,l,t
438.090482,1001,37.771971
527.411226,1001,70.106889
344.187709,1001,102.384689
314.169055,1001,134.940104
330.489161,1001,167.164435
553.221537,1001,199.601736
669.423725,1001,231.96844
693.306974,1001,264.474095
411.633083,1001,297.108699
439.195768,1001,329.60271
363.962139,1001,362.210879
920.697185,1001,394.614039
649.307346,1001,427.223392
614.549441,1001,459.533672
685.404714,1001,491.853472
582.962832,1001,524.47297
