#{"t_start": 1583788667.4111092, "env_id": "my_panda_free_space_traj"}
r,l,t
1860.07224,1001,42.430969
5969.862819,1001,77.623861
7341.099618,1001,112.072783
8258.936163,1001,147.293636
9229.144956,1001,181.848428
9299.315698,1001,217.068925
9582.223694,1001,251.581315
9582.672334,1001,287.231055
10269.134962,1001,321.682291
10048.699248,1001,356.012104
10121.694195,1001,391.503018
10635.558935,1001,426.235574
10742.479838,1001,460.98345
11085.392751,1001,497.233108
10922.21471,1001,533.778346
11305.648236,1001,568.38414
11052.709922,1001,603.846573
11292.519448,1001,639.079173
11526.789843,1001,674.607023
11608.173915,1001,709.531192
11808.258358,1001,745.175766
11700.076877,1001,780.804091
11844.932526,1001,816.130398
11857.568434,1001,851.730434
11963.830654,1001,887.051755
11910.887153,1001,920.93127
11935.322535,1001,955.054259
12172.381108,1001,988.898276
12153.843984,1001,1022.811732
12168.12016,1001,1056.700849
12297.559931,1001,1089.811975
12337.065284,1001,1122.60799
