#{"env_id": "my_panda_free_space_traj", "t_start": 1583807002.7814944}
r,l,t
3791.638613,1001,50.479624
329.033399,1001,94.466311
4.957586,1001,139.507571
8.667612,1001,183.248858
642.344357,1001,228.678847
6458.223592,1001,272.881542
7172.432722,1001,318.014754
6668.617346,1001,362.085575
7082.06357,1001,406.968613
8511.92118,1001,452.543565
9532.44329,1001,498.153776
9254.899922,1001,543.943517
9640.574284,1001,589.982998
10152.836335,1001,634.723791
10507.981654,1001,679.986296
10978.107831,1001,725.962876
11013.569099,1001,771.036885
11288.925414,1001,816.525652
11184.67852,1001,861.548136
11620.245997,1001,907.302712
11463.130128,1001,951.64484
11695.541387,1001,995.639805
11913.334408,1001,1040.403527
11903.258268,1001,1085.172118
12188.690607,1001,1129.545236
11924.8607,1001,1174.480744
12144.842121,1001,1218.024871
12301.013809,1001,1262.378421
12130.586128,1001,1307.472349
12191.88646,1001,1351.851707
12154.561347,1001,1396.918229
12355.210664,1001,1441.918201
12306.558219,1001,1487.479677
12317.440888,1001,1533.203534
12347.42114,1001,1577.882395
12334.985725,1001,1624.244857
12298.527291,1001,1670.375515
12274.603864,1001,1715.56057
12317.331793,1001,1762.047466
12402.930705,1001,1808.307624
12368.08613,1001,1852.50648
12351.294351,1001,1897.344262
12286.108989,1001,1943.201082
12448.718111,1001,1990.357124
12482.224055,1001,2034.822148
12475.900386,1001,2078.370368
12429.530884,1001,2121.259262
12363.025982,1001,2165.514509
12441.953179,1001,2210.172829
12458.640457,1001,2256.201998
12318.077647,1001,2301.922799
12468.586856,1001,2344.975742
12474.341228,1001,2388.715596
12458.598057,1001,2433.04242
12430.87078,1001,2476.442226
12510.444643,1001,2521.376539
12467.848353,1001,2567.043032
12419.514296,1001,2614.008808
12494.463165,1001,2658.248628
12371.674712,1001,2703.777042
12350.638095,1001,2748.67338
12164.678404,1001,2794.039757
12412.454374,1001,2838.517165
12411.419167,1001,2883.761997
12378.483985,1001,2928.292089
12415.104085,1001,2973.399013
12262.969888,1001,3018.081099
12406.4765,1001,3063.376569
12558.698949,1001,3108.774951
12376.949324,1001,3153.25221
12497.06969,1001,3196.580094
12491.374115,1001,3241.692147
12531.484555,1001,3287.691916
12541.957403,1001,3333.068062
12569.673647,1001,3377.613827
12523.948698,1001,3423.451403
12570.078542,1001,3468.452312
12536.075195,1001,3513.522932
12389.476484,1001,3557.586362
12530.345409,1001,3601.704882
12548.553833,1001,3647.077796
12570.099551,1001,3691.887435
12552.155042,1001,3737.636478
12555.250922,1001,3782.305209
12484.65112,1001,3826.178986
12477.902124,1001,3869.725089
12502.308404,1001,3913.266577
12468.83012,1001,3956.730518
12389.604351,1001,4002.517812
12464.250508,1001,4047.788194
12508.148507,1001,4093.19159
12408.692134,1001,4137.761564
12361.329415,1001,4182.748071
12565.92596,1001,4228.834623
12526.966612,1001,4274.583861
12488.875433,1001,4319.165644
12476.757248,1001,4364.922139
12550.533227,1001,4410.182385
12573.088284,1001,4457.247302
12483.466989,1001,4503.615674
12514.660628,1001,4548.332026
12484.070948,1001,4593.037159
12556.972141,1001,4640.329251
12575.324098,1001,4686.717697
12530.217571,1001,4731.506131
12445.538329,1001,4776.520178
12545.375195,1001,4822.230423
12559.573873,1001,4866.992005
12482.997708,1001,4913.246023
12569.88248,1001,4959.869149
12601.504697,1001,5004.383275
12619.159185,1001,5050.690446
12618.596185,1001,5096.477115
12528.083037,1001,5140.284488
12432.587185,1001,5186.247104
12412.910231,1001,5231.955062
12486.756511,1001,5277.205241
12513.84416,1001,5322.509895
12534.331585,1001,5367.776887
12576.135994,1001,5415.199936
12552.306444,1001,5460.009612
12593.261757,1001,5507.056157
12582.953093,1001,5552.181487
12517.658784,1001,5597.087552
