#{"t_start": 1583790859.7887673, "env_id": "my_panda_free_space_traj"}
r,l,t
5043.118135,1001,43.130579
7970.780847,1001,80.427509
8978.451501,1001,117.54747
9220.758136,1001,154.047609
9172.260253,1001,190.6909
9739.906072,1001,228.325591
10728.644826,1001,265.077216
11418.435413,1001,301.584358
11595.32805,1001,337.633557
11530.064306,1001,374.480311
11495.163656,1001,411.561261
11197.104591,1001,448.436697
9258.241272,1001,485.775809
11548.634861,1001,522.793623
11996.354873,1001,560.086248
12017.996435,1001,597.786146
12117.356407,1001,635.476002
12391.077533,1001,673.188032
12517.412918,1001,710.296206
11829.918334,1001,747.839463
11907.12936,1001,786.208496
12536.444298,1001,823.642681
12661.324525,1001,861.353886
12523.68138,1001,900.067153
12672.755526,1001,938.324006
12852.171901,1001,975.089379
12537.085864,1001,1012.173476
13079.216185,1001,1050.275009
12787.193272,1001,1088.862771
12731.635546,1001,1127.23626
13113.995746,1001,1164.443017
12546.699636,1001,1202.832981
12720.469918,1001,1241.06119
13139.730338,1001,1278.962157
12936.717704,1001,1317.15922
13237.942691,1001,1354.437629
13312.668809,1001,1391.192028
13331.991119,1001,1427.464947
13279.1162,1001,1464.547179
12879.211327,1001,1501.313711
13387.551241,1001,1537.933599
13493.500018,1001,1574.444626
13459.572857,1001,1610.124744
13454.044861,1001,1645.876711
13039.752482,1001,1681.603281
12987.93662,1001,1717.053614
12969.348255,1001,1752.449373
12783.997082,1001,1787.686164
13278.871829,1001,1822.285526
13274.806937,1001,1856.605253
13104.496131,1001,1891.356206
13393.952359,1001,1925.594005
13373.131842,1001,1960.642168
13085.554194,1001,1995.653069
13134.1586,1001,2030.248554
13152.637627,1001,2065.159007
13230.850712,1001,2100.085096
13292.364678,1001,2134.59838
13126.670218,1001,2169.799433
13324.353061,1001,2204.805362
13142.341162,1001,2238.952967
13129.992623,1001,2273.460755
13148.164035,1001,2308.042557
13126.639071,1001,2342.411783
13201.113526,1001,2377.88622
13200.488808,1001,2412.69235
13254.267612,1001,2447.541408
13218.704265,1001,2482.428504
13203.426401,1001,2516.415529
13053.647724,1001,2550.61244
13555.720141,1001,2583.862499
13532.697802,1001,2617.410537
13477.495549,1001,2650.999493
13358.80123,1001,2684.360675
13111.008474,1001,2718.162838
13475.497846,1001,2751.544203
13221.793654,1001,2784.747065
13510.725761,1001,2817.790723
13514.590744,1001,2850.961919
13182.488675,1001,2884.515839
13196.66896,1001,2917.53731
13160.302524,1001,2950.613336
13099.694236,1001,2984.016903
12915.249855,1001,3017.387987
13631.731158,1001,3051.083352
13238.698041,1001,3085.067201
13134.593834,1001,3118.346138
13111.193032,1001,3151.604626
13198.628534,1001,3185.390303
13206.773155,1001,3219.167927
13640.071826,1001,3252.311022
13644.564112,1001,3285.115021
13647.956783,1001,3317.938072
13325.151025,1001,3351.561694
13236.534477,1001,3385.723645
13148.643802,1001,3418.782137
13193.470766,1001,3452.054501
13461.765605,1001,3485.506652
13191.782155,1001,3518.895641
13190.854889,1001,3552.886848
13349.021001,1001,3585.799917
13526.866785,1001,3618.966046
13542.991422,1001,3651.587852
13098.373085,1001,3685.025831
13152.286624,1001,3718.394151
13126.397661,1001,3751.790421
13103.07087,1001,3784.991682
13534.090973,1001,3818.902158
13526.983248,1001,3852.081124
13109.477384,1001,3885.568537
12970.791015,1001,3919.252272
13014.43972,1001,3952.99647
13161.607508,1001,3987.006418
13370.533638,1001,4020.333745
13160.400853,1001,4053.63815
13527.131137,1001,4087.496928
13250.26575,1001,4120.940799
13161.692546,1001,4154.239122
13164.491001,1001,4187.560817
13388.605219,1001,4221.031373
13404.190148,1001,4254.465141
13147.506266,1001,4288.389418
13069.090116,1001,4321.939408
13244.85152,1001,4355.740774
