#{"env_id": "my_panda_free_space_traj", "t_start": 1583790920.8376706}
r,l,t
5446.647085,1001,44.003263
8642.608316,1001,79.93393
10059.331642,1001,116.130936
9709.548532,1001,152.722245
9268.925087,1001,189.70121
10110.664646,1001,225.802563
10928.985253,1001,261.682294
11061.999984,1001,297.369922
11579.372962,1001,333.238634
10646.267308,1001,369.518227
11106.656152,1001,405.001338
10780.297994,1001,440.740992
11206.513006,1001,478.046407
10708.799329,1001,514.752472
11740.868216,1001,550.935289
11808.884399,1001,588.598941
12154.39004,1001,626.192128
12278.23219,1001,662.791183
12413.917638,1001,698.608672
12325.728535,1001,735.746946
12434.699351,1001,772.337238
12572.664649,1001,809.335028
12512.10618,1001,846.557909
12424.373374,1001,883.721566
12495.637882,1001,920.598675
12625.570145,1001,957.66688
12745.196877,1001,995.090281
12793.853824,1001,1032.601978
12858.084417,1001,1070.285234
12616.544785,1001,1108.113432
12877.788961,1001,1145.112163
12844.280387,1001,1181.752331
13130.018847,1001,1218.228654
12837.045999,1001,1255.621265
13110.301603,1001,1291.894664
12739.608206,1001,1329.162645
12398.39874,1001,1365.832007
12828.568009,1001,1403.172602
12818.763482,1001,1439.380471
12910.785234,1001,1475.894799
13178.443883,1001,1512.698388
12930.000325,1001,1547.73089
12871.761975,1001,1582.960657
12924.034818,1001,1618.10761
12934.836032,1001,1653.495416
13260.840849,1001,1688.267635
13220.610009,1001,1722.013074
12981.0666,1001,1756.472927
13018.415881,1001,1789.797355
13323.879683,1001,1822.814954
13304.046836,1001,1856.296344
13311.829907,1001,1889.373076
13328.690903,1001,1923.561311
13305.810301,1001,1956.942367
13327.871674,1001,1990.273302
12825.448205,1001,2023.845794
13331.604273,1001,2057.069268
12898.649387,1001,2091.378441
13225.79948,1001,2124.842484
13114.49977,1001,2158.480418
13304.92377,1001,2192.082665
12972.659447,1001,2225.835387
13386.009243,1001,2259.85836
13292.14279,1001,2292.563178
13299.207102,1001,2326.157676
12877.172409,1001,2360.031087
12912.986428,1001,2393.79568
13359.990226,1001,2427.904277
13466.182472,1001,2460.426188
12626.719793,1001,2492.56903
12705.143896,1001,2525.319066
12880.251436,1001,2558.861837
13288.150235,1001,2591.179321
13299.078813,1001,2623.652567
13345.125336,1001,2655.563326
13286.047355,1001,2687.914493
13230.485626,1001,2719.907272
13232.255836,1001,2752.156806
12871.555442,1001,2784.522821
12848.04445,1001,2817.436956
12950.661369,1001,2850.340725
13426.314103,1001,2882.790912
13352.297092,1001,2914.950859
13420.583065,1001,2948.008175
12690.725902,1001,2980.47195
12638.701957,1001,3013.241901
12911.055137,1001,3045.304073
12790.407848,1001,3078.583024
12829.610349,1001,3110.633949
13295.665852,1001,3143.225727
12943.455482,1001,3176.392951
13045.480835,1001,3208.982954
12836.664672,1001,3242.199703
12891.744322,1001,3275.223041
13129.991433,1001,3307.455742
13036.251422,1001,3339.97943
12826.428884,1001,3373.382541
12822.029315,1001,3406.272669
13151.681793,1001,3438.487055
12997.736503,1001,3471.391565
13103.288614,1001,3504.035539
13185.125302,1001,3536.344137
12849.921154,1001,3568.725712
13216.202261,1001,3600.844466
12799.735047,1001,3633.827701
12978.500845,1001,3666.985943
12939.534116,1001,3699.902622
13423.781982,1001,3732.032115
13221.90572,1001,3764.900598
12995.112872,1001,3798.398608
13124.67081,1001,3830.808084
13251.602044,1001,3863.875709
12829.759151,1001,3896.510333
13031.657784,1001,3929.165148
13392.842366,1001,3961.103986
12867.079295,1001,3993.984312
12823.324831,1001,4026.18697
13378.538564,1001,4059.095055
13376.289249,1001,4091.394414
13376.859577,1001,4123.63085
13283.963977,1001,4156.664421
13357.492009,1001,4189.88245
12946.793428,1001,4222.81141
13385.625902,1001,4255.012181
