#{"t_start": 1583779960.1516874, "env_id": "my_panda_free_space_traj"}
r,l,t
5942.886801,1001,44.227612
7997.452439,1001,80.252247
9077.67037,1001,116.421818
9824.109838,1001,152.216329
10011.880088,1001,188.025399
10249.213023,1001,223.830532
10036.882954,1001,260.272506
10790.952125,1001,296.533454
10693.70798,1001,332.17792
11027.651585,1001,368.080593
10664.626525,1001,404.088613
11010.254539,1001,439.851382
11838.274106,1001,474.485262
11226.217246,1001,507.387143
12031.462656,1001,540.264757
12218.001878,1001,574.253969
12405.671387,1001,606.842191
12440.820327,1001,639.857508
12483.021823,1001,672.827125
12711.859202,1001,705.504505
12621.357896,1001,738.180806
12530.706961,1001,772.076241
12527.702831,1001,806.044194
12496.678881,1001,840.421769
12766.214272,1001,873.312056
12908.557835,1001,906.68029
12892.92029,1001,940.13754
13067.035744,1001,973.527098
12972.129635,1001,1006.957743
12653.948518,1001,1041.260615
12770.27958,1001,1075.041595
12879.34077,1001,1109.635364
13179.618417,1001,1142.997189
12831.428395,1001,1177.057121
12862.739382,1001,1211.790938
12885.303696,1001,1246.108622
13037.817918,1001,1280.576488
13170.35355,1001,1315.157251
12969.195965,1001,1350.374731
12889.184059,1001,1387.646553
12940.325407,1001,1423.581989
13009.752556,1001,1460.036342
13219.005994,1001,1495.80419
13305.963737,1001,1532.218464
13289.060908,1001,1568.006175
12812.057759,1001,1603.991104
13045.059968,1001,1640.550848
13073.815042,1001,1676.927945
13019.313268,1001,1713.816782
13040.217836,1001,1750.17811
13111.68803,1001,1786.188745
13352.690288,1001,1821.233743
13071.373409,1001,1857.869874
13401.42611,1001,1893.904035
13366.006008,1001,1929.08552
13267.495158,1001,1965.212592
13355.645171,1001,2001.645421
13068.510514,1001,2038.07994
13393.926712,1001,2074.289747
13104.434537,1001,2111.463844
13161.675678,1001,2147.568077
13045.976546,1001,2183.708483
13155.190819,1001,2220.252409
13328.977358,1001,2255.686811
13301.537303,1001,2291.622335
13390.138175,1001,2328.223835
13385.776722,1001,2364.497089
13375.784896,1001,2400.672294
13440.738214,1001,2436.628594
13092.412137,1001,2473.672142
13133.142021,1001,2510.252649
13173.806619,1001,2547.034521
13204.746395,1001,2583.371889
13131.584403,1001,2619.537472
13147.854418,1001,2655.793085
13017.992522,1001,2691.888326
13327.541423,1001,2728.584373
13012.429555,1001,2764.94149
12997.432608,1001,2801.373113
13228.049345,1001,2837.712135
13266.525837,1001,2874.714302
13078.488999,1001,2911.860142
13176.69476,1001,2948.564887
13104.5978,1001,2985.148252
13041.333079,1001,3021.80439
13295.132769,1001,3057.684058
13207.05314,1001,3094.46229
13176.165783,1001,3131.605513
13376.69526,1001,3167.751189
13308.878354,1001,3203.707045
13144.605063,1001,3240.45748
13465.537662,1001,3276.457714
13262.862596,1001,3312.522168
13405.63137,1001,3349.230201
13498.639881,1001,3385.516979
13465.520907,1001,3421.717722
13183.422712,1001,3458.183407
13000.218837,1001,3494.179576
13533.308968,1001,3529.373424
13159.489519,1001,3565.067379
13285.509035,1001,3599.58213
13267.548008,1001,3633.169498
13507.69071,1001,3666.587404
13597.067729,1001,3701.038321
13269.841837,1001,3735.142408
13600.445635,1001,3768.06759
13256.917792,1001,3801.633692
13551.71725,1001,3835.594589
13516.27623,1001,3868.657755
13298.378259,1001,3903.202219
13190.978536,1001,3937.03519
13208.407212,1001,3972.533047
13209.169736,1001,4008.049147
13495.632979,1001,4044.333762
13153.01053,1001,4079.677236
13523.238195,1001,4117.336728
13103.898028,1001,4155.304676
13181.701481,1001,4191.45934
13284.052263,1001,4227.835905
13494.755707,1001,4263.750834
13363.998501,1001,4299.878653
13255.974188,1001,4337.017924
13217.154489,1001,4373.58849
13356.20017,1001,4409.573339
