nupdates,policy_entropy,policy_loss,explained_variance,fps,value_loss,total_timesteps,ep_len_mean,ep_reward_mean
1,4.2568159103393555,-0.1894088089466095,-0.007019996643066406,53,11.12285041809082,0,,
100,4.517627239227295,-0.11499761044979095,0.1826278567314148,114,0.008064672350883484,8019,1001.0,5854.81941975
200,4.450981140136719,-0.06882236152887344,0.35809415578842163,112,0.011801006272435188,16119,1001.0,7576.203539416667
300,4.421577453613281,-0.07759030163288116,-0.14226174354553223,112,0.01215011440217495,24219,1001.0,8462.24963165
400,4.379951000213623,0.008623301982879639,-0.1193617582321167,111,0.004099355079233646,32319,1001.0,8983.172283464286
500,4.340104103088379,-0.25218135118484497,0.16497063636779785,111,0.0048889159224927425,40419,1001.0,9394.512664388889
600,4.335497856140137,-0.1590287834405899,0.02793818712234497,111,0.007999124936759472,48519,1001.0,9670.098264863638
700,4.270686626434326,-0.09247903525829315,-0.08992433547973633,112,0.00706278532743454,56619,1001.0,9960.046583846155
800,4.196685791015625,-0.08320693671703339,0.7498375177383423,113,0.002733668778091669,64719,1001.0,10203.620512466667
900,4.209191799163818,-0.26626089215278625,0.3661452531814575,114,0.002576435450464487,72819,1001.0,10450.763729308823
1000,4.198505878448486,0.11328742653131485,0.5787912905216217,115,0.0021624297369271517,80919,1001.0,10662.639708105266
1100,4.144741535186768,0.07706481218338013,0.71857750415802,115,0.0010725019965320826,89019,1001.0,10848.845030714287
1200,4.0893635749816895,-0.020719461143016815,-0.06511545181274414,115,0.0016374991973862052,97119,1001.0,10999.516916880435
1300,4.022315502166748,-0.027158483862876892,0.29557478427886963,116,0.001576848328113556,105219,1001.0,11126.940009349999
1400,3.9795498847961426,-0.3389163017272949,-0.12246441841125488,116,0.0008790403371676803,113319,1001.0,11613.453319330001
1500,3.9324936866760254,-0.09919846057891846,-0.058423399925231934,116,0.00046753231436014175,121419,1001.0,11882.402951979999
1600,3.9186043739318848,-0.1458560824394226,-0.1191033124923706,116,0.0010136939818039536,129519,1001.0,12099.618228840001
1700,3.851475954055786,-0.493062824010849,-0.023250341415405273,116,0.001203772029839456,137619,1001.0,12291.167136789998
1800,3.778688907623291,-0.07411041855812073,0.5694741904735565,116,0.0011059141252189875,145719,1001.0,12441.636755259999
1900,3.7519335746765137,-0.15652550756931305,0.7407181859016418,116,0.0008360806968994439,153819,1001.0,12598.12094369
2000,3.7549281120300293,-0.26504719257354736,0.09250587224960327,116,0.001575647620484233,161919,1001.0,12714.097032319998
2100,3.7257742881774902,-0.1974228322505951,0.78619185090065,115,0.001344463205896318,170019,1001.0,12779.098414300002
2200,3.6702418327331543,0.033817388117313385,0.8963935524225235,115,0.0008725415682420135,178119,1001.0,12834.368456919996
2300,3.6362366676330566,0.14243681728839874,0.893772579729557,115,0.0008546864846721292,186219,1001.0,12881.596818060001
2400,3.6261181831359863,-0.21887794137001038,0.636295884847641,115,0.001185281085781753,194319,1001.0,12925.481875160001
2500,3.577080249786377,-0.19923603534698486,0.8423342108726501,115,0.001003491459414363,202419,1001.0,12968.966898640001
2600,3.568406581878662,-0.2719201147556305,-0.10415184497833252,114,0.0008383933454751968,210519,1001.0,13003.733755520005
2700,3.5298843383789062,-0.35457512736320496,0.9422019645571709,114,0.0009144035284407437,218619,1001.0,13025.72804365
2800,3.5241317749023438,-0.04106922075152397,0.9157051146030426,114,0.0011196760460734367,226719,1001.0,13066.65031221
2900,3.4892172813415527,-0.20313407480716705,0.898275800049305,114,0.0011137897381559014,234819,1001.0,13096.848580520002
3000,3.447938919067383,-0.07588405162096024,-0.1706298589706421,114,0.0015986434882506728,242919,1001.0,13120.653341250001
3100,3.3996028900146484,-0.10713642835617065,0.9518728964030743,114,0.0007141588139347732,251019,1001.0,13138.905569370003
3200,3.4139537811279297,-0.017310915514826775,-0.3208458423614502,114,0.00045263656647875905,259119,1001.0,13156.149751579998
3300,3.390124797821045,-0.14083437621593475,0.9323685392737389,114,0.0008088381146080792,267219,1001.0,13173.126728739999
3400,3.354017734527588,-0.12152917683124542,0.9068978205323219,113,0.0008388262940570712,275319,1001.0,13185.38121827
3500,3.328914165496826,-0.2421264350414276,0.8992422968149185,113,0.0014564201701432467,283419,1001.0,13200.852863029999
3600,3.2735342979431152,0.11254841089248657,0.8980450183153152,113,0.0012009450001642108,291519,1001.0,13211.43882578
3700,3.2416763305664062,-0.11363650858402252,0.9565284624695778,113,0.0010934073943644762,299619,1001.0,13222.567276810003
3800,3.226652145385742,-0.0077927932143211365,0.9630188643932343,113,0.0008684952044859529,307719,1001.0,13237.041885420003
3900,3.211637020111084,-0.1600540727376938,0.874527096748352,113,0.0015926134074106812,315819,1001.0,13230.414476519998
4000,3.1720962524414062,-0.005306866019964218,0.9353228807449341,113,0.001398357911966741,323919,1001.0,13228.812928720003
