#{"env_id": "my_panda_free_space_traj", "t_start": 1583775374.5006301}
r,l,t
745.494821,1001,43.897343
531.857707,1001,78.156562
1229.350519,1001,111.837547
305.957059,1001,145.442104
359.23632,1001,179.019847
488.300769,1001,214.147648
606.347925,1001,250.903584
789.975138,1001,287.391693
757.70078,1001,324.323764
302.704375,1001,361.074029
583.235001,1001,398.182506
346.560981,1001,435.057904
546.318289,1001,471.678514
583.617249,1001,508.561666
515.023328,1001,544.667892
428.115558,1001,581.67503
445.332596,1001,618.680788
810.962402,1001,655.591951
515.544693,1001,692.085778
401.386111,1001,729.631774
585.143771,1001,767.040737
624.312374,1001,804.709815
734.903031,1001,842.329192
550.624651,1001,880.287479
467.03584,1001,917.894437
965.027283,1001,955.526112
961.342032,1001,992.634249
470.916003,1001,1030.222609
315.793933,1001,1067.954757
465.267506,1001,1105.169675
822.977434,1001,1142.307032
782.412726,1001,1179.239829
796.818906,1001,1216.965175
310.591473,1001,1254.315099
472.621784,1001,1291.757524
635.79939,1001,1329.215538
983.818516,1001,1366.989466
811.183173,1001,1404.332791
817.581373,1001,1441.16305
287.00007,1001,1478.59836
366.747574,1001,1515.983598
374.493623,1001,1553.510525
325.261568,1001,1590.158998
335.868077,1001,1627.704232
636.714586,1001,1665.181385
601.314606,1001,1702.401467
1196.273114,1001,1739.882705
345.230323,1001,1777.170205
419.446762,1001,1814.741349
653.557926,1001,1852.147638
446.820077,1001,1889.263191
255.969641,1001,1926.133329
438.303731,1001,1963.326619
530.486349,1001,2000.706827
504.976109,1001,2038.084201
711.34073,1001,2075.257309
516.79302,1001,2112.26212
705.281062,1001,2149.40463
278.39378,1001,2185.982503
685.429786,1001,2221.998576
333.439165,1001,2258.312583
535.992119,1001,2294.604015
552.553061,1001,2330.422907
425.151352,1001,2366.607729
480.893313,1001,2402.686154
377.139616,1001,2438.478218
460.132259,1001,2472.180192
524.729628,1001,2505.940918
280.914137,1001,2540.091501
469.173436,1001,2574.36187
305.721296,1001,2608.312177
485.368033,1001,2642.380732
531.955342,1001,2676.215389
626.416628,1001,2710.665773
594.101023,1001,2744.920799
555.722991,1001,2779.764591
702.923638,1001,2814.279338
555.020346,1001,2850.438843
465.43949,1001,2887.466026
485.138542,1001,2924.541116
458.308547,1001,2961.970053
469.369026,1001,2999.367596
696.919509,1001,3036.497253
396.949717,1001,3073.633975
624.139912,1001,3110.196225
626.719269,1001,3147.109714
658.399766,1001,3184.277437
294.774239,1001,3221.06067
549.606247,1001,3258.103216
821.011709,1001,3295.090545
784.363374,1001,3332.19747
491.211932,1001,3369.262794
760.546742,1001,3406.462384
386.235322,1001,3443.230261
422.187163,1001,3480.61546
722.423876,1001,3517.288307
486.117301,1001,3554.407087
295.880687,1001,3591.013171
564.94505,1001,3628.389621
582.626657,1001,3665.702551
391.351428,1001,3703.545405
791.814029,1001,3740.453381
385.722987,1001,3777.139743
590.529106,1001,3814.266476
325.189117,1001,3851.51687
480.734939,1001,3888.343797
424.430923,1001,3925.647504
582.042298,1001,3962.747738
538.733801,1001,3999.946909
550.034373,1001,4037.188588
407.492217,1001,4074.13298
645.446929,1001,4111.885104
600.90998,1001,4148.971203
505.272146,1001,4186.321061
460.705109,1001,4223.436515
534.060487,1001,4260.870237
254.947412,1001,4297.528923
453.600216,1001,4334.38608
746.481102,1001,4371.483307
313.692849,1001,4408.6178
728.312958,1001,4446.235953
381.105358,1001,4483.451881
299.660593,1001,4520.157447
502.982429,1001,4556.973798
