#{"t_start": 1585148003.9670537, "env_id": "my_panda_free_space_traj"}
r,l,t
261.466002,500,16.91102
243.754472,500,27.156145
206.092932,500,37.629492
339.607146,500,49.069778
197.214529,500,60.036103
238.050765,500,70.517072
548.212567,500,80.559798
838.093851,500,90.425246
933.814266,500,100.196981
1096.458264,500,109.971921
1219.553129,500,119.548336
1439.963748,500,129.105376
1596.821305,500,138.837992
779.053233,500,148.884226
1767.435354,500,158.747906
1648.084134,500,168.904778
1760.31641,500,179.079992
2954.50399,500,189.565325
2418.498451,500,199.93636
2694.848806,500,210.406847
2964.605206,500,220.770278
3587.704553,500,231.262724
2728.780941,500,241.897443
4372.331522,500,252.687839
4775.543115,500,263.342412
5492.32758,500,273.993828
5394.929374,500,284.908268
7113.368014,500,295.582784
5999.213376,500,306.441521
6868.932258,500,317.122827
7643.946125,500,327.946359
7567.669158,500,338.632296
8043.658654,500,349.318712
9668.788092,500,360.20365
8025.362189,500,370.820111
8951.965651,500,381.383534
8308.464289,500,393.712216
10253.153505,500,404.206842
8676.173445,500,414.61172
12233.567114,500,425.110765
10237.888221,500,435.339998
11306.12831,500,445.63354
12547.239606,500,456.057723
12435.169564,500,466.670388
12662.459078,500,476.943268
13256.604146,500,487.252366
13500.3097,500,497.489362
12839.956613,500,508.004045
13941.21957,500,518.139404
15647.711363,500,528.620812
14217.327567,500,538.749653
13233.745349,500,548.900435
15328.94462,500,559.13362
15684.002955,500,569.584404
15882.533677,500,579.726574
16477.010337,500,589.868183
17554.021288,500,600.32537
20604.042382,500,610.535662
16588.95157,500,620.777897
17695.96448,500,631.074105
18463.21003,500,641.561276
17338.319077,500,651.749848
22662.470857,500,661.885053
22066.881256,500,672.343438
22548.892559,500,682.500231
23860.445992,500,692.612177
21808.041039,500,704.107099
24314.3602,500,715.06785
22941.846373,500,725.28196
24664.11243,500,735.691571
24299.198715,500,745.869413
25591.308214,500,755.9862
26999.184212,500,766.118133
25577.966768,500,776.476434
25651.177014,500,786.571429
28000.484499,500,796.664399
30824.61057,500,806.832793
30020.809137,500,817.114068
29858.164648,500,827.271632
28394.085955,500,837.549373
29349.954314,500,847.668421
32282.126063,500,857.780873
31165.178736,500,867.894308
31930.437293,500,878.282101
31130.394911,500,888.373274
32514.794294,500,898.547572
35540.597564,500,908.976544
34408.462324,500,919.015913
34700.232184,500,929.078562
33177.407496,500,939.28796
31617.475537,500,949.80031
28580.030336,500,960.052356
39548.116022,500,970.113639
31244.170131,500,980.755162
32830.23183,500,990.967094
36789.62528,500,1001.084255
37923.670212,500,1011.315506
37514.422006,500,1021.411904
36839.50388,500,1031.703107
33968.418421,500,1042.18861
34908.608035,500,1052.357967
35299.640495,500,1062.472465
31899.754092,500,1072.551483
33044.026933,500,1082.89885
37222.8665,500,1093.019988
37059.778681,500,1103.068339
36677.169262,500,1113.264624
40016.1905,500,1123.631973
34820.218987,500,1133.693913
36472.456941,500,1143.970067
38107.768051,500,1154.028875
38922.588826,500,1164.055413
37113.637066,500,1174.145583
42166.396266,500,1184.446309
41116.915101,500,1194.525249
42636.046012,500,1204.583954
41434.142287,500,1214.907321
41504.084454,500,1224.943228
42857.878921,500,1234.996394
43587.229661,500,1245.05527
43143.828421,500,1255.306511
41421.418575,500,1265.409018
41829.637547,500,1275.427668
42949.652605,500,1285.760909
