#{"env_id": "my_panda_free_space_traj", "t_start": 1585149264.1812747}
r,l,t
205.366832,500,17.282706
125.072443,500,27.524185
213.60369,500,38.14038
245.997675,500,48.45081
229.887075,500,58.768246
131.965372,500,69.262727
359.603036,500,79.566878
343.678198,500,89.619276
400.442499,500,99.563224
393.632572,500,109.672357
1004.682693,500,119.332304
964.573448,500,128.851477
1052.243741,500,138.571054
1157.113551,500,147.886921
874.793484,500,157.225912
1181.49847,500,166.55751
1337.443832,500,176.088186
1480.977912,500,185.66442
1670.126788,500,195.190667
1467.812383,500,205.052551
1611.783892,500,214.583791
1491.210353,500,223.989753
1571.326962,500,233.645983
1898.817624,500,243.153182
2304.135996,500,252.765229
1717.301471,500,262.629414
2555.220332,500,272.480593
1995.013775,500,282.353127
2005.421124,500,292.302871
2475.570353,500,302.821717
2093.637615,500,313.029117
2262.119889,500,323.334514
3106.339015,500,333.705349
3771.140851,500,344.390876
3488.364274,500,354.906982
3668.964987,500,365.531967
4466.703112,500,376.075276
4151.826669,500,386.492816
4849.630387,500,397.034484
5697.988981,500,408.089492
4573.649305,500,418.938735
5342.52494,500,429.928955
6520.902121,500,441.183638
7728.280415,500,452.375534
8840.785148,500,463.556517
12083.391069,500,474.67801
15020.175116,500,486.013856
15038.03527,500,497.068619
18268.860365,500,508.080768
17793.302557,500,519.491025
18744.177449,500,530.609854
17891.556064,500,541.686172
18600.132135,500,552.96527
19355.636315,500,563.927641
22924.886784,500,574.798902
21255.603607,500,585.789385
24050.853803,500,596.264585
22982.813164,500,606.575407
23478.402879,500,616.967589
25142.181611,500,627.487381
25828.927053,500,637.74847
27129.44876,500,648.185223
27309.445465,500,658.52064
26950.856299,500,669.201117
25203.471145,500,679.802606
25473.804087,500,690.537481
23643.516133,500,700.883351
27901.67354,500,711.192403
31012.339264,500,721.482757
30281.041065,500,731.969975
29711.796795,500,742.160055
29447.13822,500,752.3628
27188.097086,500,762.8489
30725.504684,500,773.159984
31148.263316,500,783.358886
31870.886306,500,793.493224
32714.674208,500,803.84673
30308.564854,500,814.299222
31786.957261,500,824.597865
33360.234324,500,835.078741
29490.106906,500,845.354867
35811.546898,500,855.668338
31351.046011,500,866.304818
33669.323249,500,876.745338
33740.526145,500,887.334796
32711.417373,500,898.046971
30991.781461,500,908.500835
31322.283764,500,918.887737
34117.081063,500,929.326903
37227.883169,500,939.992487
34892.755429,500,950.358902
35792.718059,500,960.725545
32553.737312,500,971.293245
38247.664111,500,981.84216
40258.114037,500,992.208465
36162.009592,500,1002.789658
35248.035511,500,1013.293552
29316.717407,500,1023.91098
36344.645404,500,1035.330172
37371.037345,500,1045.876856
36949.299157,500,1056.039662
37963.832551,500,1066.238081
37202.129361,500,1076.664439
36446.602207,500,1086.896599
38643.865162,500,1097.04866
39434.956527,500,1107.229431
40928.738633,500,1117.57993
42001.950549,500,1127.805917
40093.39426,500,1137.963539
43293.377354,500,1148.430747
40697.33545,500,1158.702382
44287.625372,500,1168.952647
42190.04157,500,1179.386639
45714.578756,500,1189.651278
43500.36819,500,1199.946636
41347.11923,500,1210.614421
41515.95688,500,1220.968832
47273.922616,500,1231.140053
45849.80378,500,1241.281242
45525.905116,500,1251.830305
46627.778218,500,1261.972367
50222.523099,500,1272.152918
52344.415118,500,1282.293683
53398.363536,500,1292.590565
