fps,total_timesteps,value_loss,nupdates,policy_entropy,policy_loss,explained_variance,ep_len_mean,ep_reward_mean
79,0,2.1745707988739014,1,9.932570457458496,-0.26360374689102173,-0.6337741613388062,,
201,8019,4.583046913146973,100,9.5105619430542,0.04896534979343414,0.1370248794555664,1000.0,408.01564225
215,16119,5.97416353225708,200,9.541775703430176,0.08606095612049103,-1.190582036972046,1000.0,742.36083125
226,24219,6.320530414581299,300,9.53979206085205,-0.13332216441631317,0.17352938652038574,1000.0,1400.24250925
231,32319,6.2949700355529785,400,9.524292945861816,-0.16436076164245605,-0.2490983009338379,1000.0,1888.3490647499998
233,40419,7.6948981285095215,500,9.472638130187988,-0.1840958595275879,0.23983275890350342,1000.0,2980.7562281749997
233,48519,9.408903121948242,600,9.445328712463379,-0.3105405867099762,0.1786196231842041,1000.0,4409.2332134375
234,56619,8.903806686401367,700,9.416991233825684,-0.47206711769104004,0.006560862064361572,1000.0,5716.849052500001
234,64719,7.9132890701293945,800,9.397841453552246,-0.4262281656265259,-0.07554435729980469,1000.0,7126.817271093751
234,72819,6.932522773742676,900,9.334280967712402,-0.266570508480072,0.040404438972473145,1000.0,8356.738126472223
234,80919,6.795781135559082,1000,9.308562278747559,-0.19950896501541138,0.020566701889038086,1000.0,9586.107075625001
235,89019,7.151861667633057,1100,9.293272972106934,-0.1849164068698883,-0.014092683792114258,1000.0,10872.211812965908
235,97119,7.533814430236816,1200,9.248597145080566,-0.16050472855567932,-0.03315854072570801,1000.0,12228.445407552084
234,105219,5.638253211975098,1300,9.268051147460938,0.1932302713394165,0.05695146322250366,1000.0,13624.174547639997
234,113319,6.183955192565918,1400,9.232802391052246,0.08906527608633041,0.021873295307159424,1000.0,15950.684022279998
233,121419,6.304001808166504,1500,9.17152214050293,-0.18241742253303528,0.0009148120880126953,1000.0,18385.67723225
232,129519,6.159784317016602,1600,9.136510848999023,0.17026230692863464,-0.017787456512451172,1000.0,20852.495817869996
232,137619,6.854977607727051,1700,9.055488586425781,-0.06713660061359406,0.001544952392578125,1000.0,23328.332320420002
232,145719,7.250572204589844,1800,9.023604393005371,-0.3503171503543854,0.045640647411346436,1000.0,25718.815271890002
231,153819,7.306371212005615,1900,8.916304588317871,-0.38181358575820923,-0.0010668039321899414,1000.0,27764.24499156
231,161919,7.0352888107299805,2000,8.850234031677246,-0.25221434235572815,0.023854494094848633,1000.0,29684.58880302
230,170019,7.0623579025268555,2100,8.785355567932129,-0.2516254186630249,-0.010313272476196289,1000.0,31555.790561390004
230,178119,6.494042873382568,2200,8.759987831115723,-0.07259237766265869,0.0011779069900512695,1000.0,33304.88732197
230,186219,6.402530670166016,2300,8.715842247009277,0.015222020447254181,-0.007825136184692383,1000.0,34802.64892323
229,194319,6.987161159515381,2400,8.673904418945312,0.050075940787792206,0.04531574249267578,1000.0,36282.258299140005
229,202419,7.0220441818237305,2500,8.580355644226074,-0.23693513870239258,0.0035355687141418457,1000.0,37982.009959300005
229,210519,6.977510929107666,2600,8.525899887084961,0.09908147901296616,0.11025601625442505,1000.0,39713.13862360999
229,218619,7.017530918121338,2700,8.448212623596191,-0.4782364070415497,0.07902306318283081,1000.0,41040.031700859996
229,226719,7.347068786621094,2800,8.310717582702637,-0.335707426071167,0.009593546390533447,1000.0,42659.49853303
229,234819,7.130860328674316,2900,8.273011207580566,-0.38166019320487976,-0.019290924072265625,1000.0,44066.98650711999
228,242919,7.280179500579834,3000,8.249390602111816,0.38059812784194946,0.022155404090881348,1000.0,45402.75076642
228,251019,7.622687339782715,3100,8.190560340881348,-0.3749663829803467,0.04121607542037964,1000.0,46861.14293273001
228,259119,7.426077365875244,3200,8.1217041015625,-0.22360411286354065,-0.018422603607177734,1000.0,48485.19519524001
228,267219,7.184237003326416,3300,8.048073768615723,0.08157293498516083,-0.01410531997680664,1000.0,49895.536037540005
228,275319,7.655806064605713,3400,7.986886024475098,-0.09566156566143036,-0.0039038658142089844,1000.0,51616.17963897999
228,283419,8.388076782226562,3500,7.856158256530762,0.03893762826919556,-0.007998228073120117,1000.0,53566.629725570005
228,291519,8.311657905578613,3600,7.731513023376465,-0.3354818820953369,0.027440369129180908,1000.0,55581.91278508001
228,299619,8.71976089477539,3700,7.60949182510376,-0.34850019216537476,0.0443037748336792,1000.0,57457.538023420006
228,307719,9.172442436218262,3800,7.503037452697754,0.09994764626026154,-0.0174407958984375,1000.0,59855.18316655001
228,315819,9.596490859985352,3900,7.346739768981934,-0.15462492406368256,0.0009851455688476562,1000.0,62628.181709649994
228,323919,10.209722518920898,4000,7.176316261291504,0.13679473102092743,0.00988626480102539,1000.0,65676.82225057
228,332019,10.571749687194824,4100,6.989524841308594,-0.3379895091056824,0.036544620990753174,1000.0,68945.96764403999
228,340119,11.06483268737793,4200,6.829953193664551,-0.17415861785411835,0.007638335227966309,1000.0,72716.7511292
228,348219,11.443565368652344,4300,6.696402549743652,-0.18702808022499084,-0.003365159034729004,1000.0,76716.64106949
228,356319,11.522115707397461,4400,6.567666053771973,0.2430936098098755,-0.010390162467956543,1000.0,80878.16277632999
228,364419,11.77369499206543,4500,6.363837718963623,-0.0135723315179348,0.0060874223709106445,1000.0,85696.48097509998
228,372519,11.767483711242676,4600,6.199520587921143,-0.12599577009677887,-0.013499617576599121,1000.0,90309.54784537
228,380619,11.528826713562012,4700,6.01851224899292,-0.02309679612517357,0.0014814138412475586,1000.0,94857.57133259
228,388719,11.397321701049805,4800,5.862575054168701,-0.017298869788646698,0.005919754505157471,1000.0,99320.26081771002
228,396819,10.490676879882812,4900,5.778034210205078,-0.3744199275970459,0.04067903757095337,1000.0,103734.91769684
228,404919,9.931028366088867,5000,5.653042793273926,-0.15413708984851837,0.003688514232635498,1000.0,107622.25195177
228,413019,9.383540153503418,5100,5.587188243865967,0.1641751527786255,-0.002091646194458008,1000.0,111066.41120255
228,421119,8.999934196472168,5200,5.467422008514404,-0.38712555170059204,0.004714488983154297,1000.0,113974.33208513001
228,429219,8.611066818237305,5300,5.411002159118652,-0.08180384337902069,0.0012745857238769531,1000.0,116736.06685129
228,437319,8.286128044128418,5400,5.320281028747559,0.3571173846721649,0.0010386109352111816,1000.0,118944.68129043002
228,445419,8.061802864074707,5500,5.215599536895752,-0.1485556960105896,0.0024603605270385742,1000.0,120463.2974673
228,453519,7.807958126068115,5600,5.153998851776123,-0.25388413667678833,0.0016826987266540527,1000.0,121916.05461711003
228,461619,7.586468696594238,5700,5.07008695602417,-0.18134915828704834,-0.001308441162109375,1000.0,122593.92606859999
228,469719,7.41448450088501,5800,5.063270092010498,-0.06034320220351219,0.002032935619354248,1000.0,123195.55320172998
229,477819,7.225543022155762,5900,5.0807037353515625,-0.22895580530166626,-0.0009845495223999023,1000.0,123475.37534825999
229,485919,7.055410861968994,6000,5.067478656768799,-0.1770256906747818,0.0032799243927001953,1000.0,123616.37365062001
229,494019,6.881568908691406,6100,5.028968811035156,-0.2352675348520279,-0.0004481077194213867,1000.0,123724.93010334001
229,502119,6.788720607757568,6200,5.030910968780518,-0.01397465169429779,-0.0033597946166992188,1000.0,123773.11213518998
