#{"t_start": 1583801689.3961194, "env_id": "my_panda_free_space_traj"}
r,l,t
226.749265,1000,20.497871
348.387736,1000,34.957679
264.503679,1000,49.850031
512.539949,1000,64.854144
382.098163,1000,79.501032
342.557262,1000,94.315163
422.593018,1000,109.831209
409.571705,1000,125.513721
309.349106,1000,141.352624
424.920249,1000,156.664379
507.90588,1000,172.058131
462.359949,1000,187.513909
469.336127,1000,203.089269
414.156191,1000,218.604448
569.907603,1000,233.637733
554.327928,1000,248.686544
752.199476,1000,263.919116
557.997461,1000,278.684605
609.131455,1000,293.368487
766.251447,1000,307.940228
978.952292,1000,323.087267
747.278869,1000,337.860502
1045.786783,1000,352.515669
956.910032,1000,366.926188
1643.059193,1000,381.666041
1745.334156,1000,396.341242
2156.447156,1000,411.480261
3303.472878,1000,426.289411
2914.22373,1000,441.416904
4108.375769,1000,456.14671
4918.256296,1000,471.217472
5735.330244,1000,486.827682
5776.034329,1000,503.598769
7206.143766,1000,520.698615
8268.108798,1000,537.84606
11701.876951,1000,554.945449
9974.330394,1000,572.343229
11234.497656,1000,589.75089
12871.781814,1000,607.119644
12100.999398,1000,624.444579
14767.95598,1000,641.700651
13990.173988,1000,659.176245
16874.625732,1000,676.390335
15230.21135,1000,693.672004
16607.0028,1000,710.927286
17468.128107,1000,728.356062
17780.329375,1000,745.698442
17465.974308,1000,763.039083
19288.693796,1000,780.444304
19707.853073,1000,798.05354
19965.514525,1000,815.427364
19642.428146,1000,832.707233
21490.812005,1000,850.069336
23582.091532,1000,867.491804
24242.184651,1000,884.831834
23437.739874,1000,902.076862
23586.285826,1000,919.60581
23760.593035,1000,937.029092
24795.119179,1000,954.792712
23073.756367,1000,972.071593
26147.83004,1000,989.489143
28071.115594,1000,1007.144888
26771.56866,1000,1024.669612
29249.652905,1000,1042.03725
30825.411173,1000,1059.480478
29479.940942,1000,1076.867894
25621.911271,1000,1094.601742
27048.684842,1000,1112.227399
28527.444737,1000,1129.848981
31465.457496,1000,1147.199161
31966.142451,1000,1164.883539
33580.659783,1000,1182.849562
28197.982444,1000,1200.642465
33453.76187,1000,1218.300802
34873.689667,1000,1235.637241
39900.73535,1000,1253.209528
36331.543163,1000,1270.661862
35794.179107,1000,1288.045354
34630.066175,1000,1305.469383
37020.497831,1000,1323.067336
39200.101963,1000,1340.644174
38795.201114,1000,1358.014207
38789.846712,1000,1375.460179
39605.597262,1000,1393.157977
41043.527157,1000,1410.60176
42099.049587,1000,1428.030067
45955.340221,1000,1445.383885
42724.40595,1000,1463.093464
43917.910982,1000,1480.849137
41081.964922,1000,1498.26498
47101.872196,1000,1515.64899
46349.279611,1000,1533.358492
45642.71665,1000,1551.100055
48947.906101,1000,1568.730577
47507.01805,1000,1586.273753
51525.518888,1000,1603.837964
53543.50469,1000,1620.917868
54254.691629,1000,1638.291893
50772.119748,1000,1655.676313
55272.585109,1000,1673.139563
60523.477802,1000,1690.778498
61048.133633,1000,1708.307563
67512.974531,1000,1725.867914
64501.496443,1000,1743.527538
67595.154555,1000,1761.272515
76951.392482,1000,1778.687161
75127.225435,1000,1796.002326
72662.430702,1000,1813.305434
77749.858296,1000,1830.988501
82584.232016,1000,1848.306702
85399.525283,1000,1865.556996
87889.788114,1000,1882.939495
86498.807184,1000,1900.618738
90781.306332,1000,1918.124295
88241.322603,1000,1935.672858
96675.37072,1000,1953.126062
98244.728416,1000,1970.874981
103264.04672,1000,1988.14662
101724.813038,1000,2005.54137
105833.119755,1000,2022.89041
105715.628193,1000,2040.429915
108414.22571,1000,2058.132845
111641.793876,1000,2075.915437
110171.949732,1000,2093.517035
112843.302939,1000,2110.810204
