#{"env_id": "my_panda_free_space_traj", "t_start": 1583801702.0544162}
r,l,t
657.374184,1000,21.524001
1291.155416,1000,37.241904
1925.6003,1000,51.667985
1442.63877,1000,66.142642
2549.166279,1000,81.356364
2339.945591,1000,97.164344
2753.088254,1000,112.32024
4725.380003,1000,129.137745
5704.105286,1000,147.156227
8545.54601,1000,164.824166
9405.976277,1000,183.099529
11268.371007,1000,200.864553
12252.120611,1000,219.443801
12956.217823,1000,238.042949
15117.215225,1000,256.702717
15345.591821,1000,275.012406
16373.521564,1000,293.751982
16428.766769,1000,312.433578
18118.800212,1000,331.082307
17474.256843,1000,349.599576
17647.236513,1000,368.314372
19363.823227,1000,386.811408
21820.209753,1000,405.042223
20087.345994,1000,423.792274
22155.260133,1000,442.71471
21424.835263,1000,461.58941
24285.05786,1000,480.933886
24141.176206,1000,500.533902
23988.850767,1000,519.779298
24563.98963,1000,539.515486
25825.315129,1000,558.903509
29726.094203,1000,577.440348
26759.21845,1000,595.048342
30377.582555,1000,613.144724
31389.292998,1000,630.842802
30616.769928,1000,648.732638
32005.728593,1000,667.087214
33399.843532,1000,685.402245
31488.486294,1000,703.823465
33318.986257,1000,722.01421
33118.382109,1000,740.361219
33762.459009,1000,758.999684
37941.775182,1000,776.903013
40472.370732,1000,794.846524
37506.41523,1000,812.411766
36012.765132,1000,830.511675
38872.897304,1000,848.649921
41751.310978,1000,866.266407
37434.461184,1000,883.775768
39994.098137,1000,901.461019
42449.632979,1000,919.51405
42650.897466,1000,937.228709
47220.946654,1000,954.821987
48711.700426,1000,972.169364
48359.601558,1000,990.11073
49263.837143,1000,1007.545362
47803.094468,1000,1025.309186
54291.846098,1000,1042.755968
52084.579502,1000,1060.706846
54787.867626,1000,1078.236772
61719.535024,1000,1096.102083
63407.544376,1000,1113.745929
61008.091277,1000,1131.517622
57954.114585,1000,1149.305942
66853.986715,1000,1166.953773
69630.883126,1000,1184.833592
67311.961551,1000,1202.661763
71066.410343,1000,1220.855557
72313.35668,1000,1238.723051
75594.691916,1000,1256.527563
78551.999283,1000,1274.515059
83469.304849,1000,1292.521297
89854.584937,1000,1310.252957
89672.695326,1000,1327.682138
94685.123422,1000,1345.356295
92359.40901,1000,1363.326931
99956.298107,1000,1380.805448
108030.151245,1000,1398.386467
108007.073842,1000,1416.259232
113657.816362,1000,1433.977396
115639.58839,1000,1451.436907
116542.43302,1000,1468.894537
116184.601439,1000,1486.716925
118880.466508,1000,1504.556108
119174.985236,1000,1522.328079
121826.877956,1000,1540.038974
116144.494597,1000,1558.069681
123623.704667,1000,1576.083371
121408.143593,1000,1594.338673
118860.421277,1000,1611.973127
122753.322369,1000,1629.618078
124237.20911,1000,1647.833579
120727.691781,1000,1665.792605
123294.205413,1000,1683.247559
122273.411352,1000,1700.834071
124230.964492,1000,1718.134032
122198.569112,1000,1736.135138
124420.75483,1000,1753.934932
124281.003203,1000,1771.698544
121620.882421,1000,1789.620777
119908.752967,1000,1808.253827
125123.805462,1000,1825.53903
124119.537894,1000,1843.824338
124904.108865,1000,1861.241462
122348.672868,1000,1878.831401
121832.085433,1000,1896.3887
124459.422605,1000,1914.162528
123815.900336,1000,1931.652409
122636.682362,1000,1949.413592
124873.422729,1000,1966.91372
124038.71743,1000,1984.094548
124905.617502,1000,2001.390568
123980.566715,1000,2018.546026
124248.729774,1000,2035.853571
122025.055141,1000,2053.367044
125274.543709,1000,2070.389284
122932.350708,1000,2087.891967
121235.3951,1000,2105.568571
123685.984503,1000,2122.667485
124914.788271,1000,2139.543749
122678.594755,1000,2156.596419
124111.349791,1000,2174.078784
121608.485093,1000,2190.558541
122522.791449,1000,2206.705625
124743.15353,1000,2223.61675
