#{"env_id": "my_panda_free_space_traj", "t_start": 1583801703.678091}
r,l,t
428.170055,1000,21.468448
953.317388,1000,37.223933
2333.12901,1000,51.598356
1726.204221,1000,66.308948
2335.754754,1000,81.303094
2875.426833,1000,97.0761
2491.231112,1000,112.24792
4453.778343,1000,129.31514
6315.673084,1000,147.075324
9085.529155,1000,164.752452
11321.096219,1000,183.021966
10940.462155,1000,200.778614
12062.804122,1000,219.362082
14374.367259,1000,237.978746
13665.767395,1000,256.566704
15652.116416,1000,274.949543
15308.66872,1000,293.666869
16340.023089,1000,312.30719
16507.428879,1000,331.017782
16805.851163,1000,349.504324
17079.276958,1000,368.24112
18192.238868,1000,386.741221
18650.12433,1000,404.98186
22260.409993,1000,423.766244
21779.825473,1000,442.854311
20147.03319,1000,461.531524
23020.33711,1000,480.921479
23277.262733,1000,500.534541
23358.312762,1000,520.055705
24695.617417,1000,539.528468
25136.690948,1000,558.987708
29657.166263,1000,577.481029
30428.516911,1000,595.125971
29857.309794,1000,613.169531
26952.723621,1000,630.842536
29461.992785,1000,648.760067
33323.908842,1000,667.13162
32721.277632,1000,685.409348
34109.161571,1000,703.89221
33593.986386,1000,722.028935
36921.24744,1000,740.461437
35323.906521,1000,759.055009
34963.372474,1000,776.930351
36091.501709,1000,794.887717
39919.398979,1000,812.577967
43368.576648,1000,830.905027
39793.272855,1000,848.692587
42532.555724,1000,866.344815
40822.122926,1000,883.815948
40502.05791,1000,901.729565
41629.19262,1000,919.573172
43189.031313,1000,937.28335
41639.968229,1000,954.861754
45738.781129,1000,972.226936
49537.690317,1000,990.183413
50221.193861,1000,1007.551844
46917.472069,1000,1025.336122
48609.299101,1000,1042.7799
52788.746655,1000,1060.746908
55003.136717,1000,1078.339495
54595.917568,1000,1096.12958
60008.82767,1000,1113.775208
58727.451667,1000,1131.551396
56754.30342,1000,1149.363876
58887.805623,1000,1166.978295
58998.51619,1000,1184.869708
70666.905937,1000,1202.970217
74508.448392,1000,1220.914107
72661.962592,1000,1238.858252
84541.337443,1000,1256.668084
77169.511034,1000,1274.68943
83058.843064,1000,1292.590698
92371.1954,1000,1310.301359
91449.273516,1000,1327.747846
90228.582778,1000,1345.409256
97239.698175,1000,1363.376517
101943.741588,1000,1380.835714
107206.274683,1000,1398.514427
102061.83272,1000,1416.388115
109470.252459,1000,1434.025793
115974.792531,1000,1451.523588
116280.155781,1000,1468.983707
112429.705785,1000,1486.875208
120181.950632,1000,1504.593264
121227.157244,1000,1522.368275
115889.832372,1000,1540.144116
120836.524376,1000,1558.221236
120044.476954,1000,1576.407255
123812.942268,1000,1594.351833
123678.085136,1000,1611.991006
124929.913026,1000,1629.697481
119832.717269,1000,1648.217582
123725.860064,1000,1665.835148
120509.32612,1000,1683.239958
123265.144257,1000,1700.86147
123291.232792,1000,1718.55026
123231.308684,1000,1736.26432
120505.699809,1000,1753.978857
92709.77621,1000,1771.743768
121099.941846,1000,1789.713899
124118.603838,1000,1808.310097
123644.666753,1000,1825.707881
123772.606786,1000,1843.907941
124616.578095,1000,1861.300889
122400.740107,1000,1878.880609
123113.552951,1000,1896.433357
122932.098078,1000,1914.158556
121204.297831,1000,1931.783934
123210.910997,1000,1949.627546
125355.10533,1000,1966.913708
124029.238871,1000,1984.090612
124348.014072,1000,2001.37997
124076.14372,1000,2018.844169
123569.796356,1000,2035.84764
122222.73083,1000,2053.34197
121441.04862,1000,2070.428597
122837.381784,1000,2088.178866
121208.120613,1000,2105.583136
122939.235421,1000,2122.6644
124620.608789,1000,2139.579824
122927.912711,1000,2156.684552
122908.308099,1000,2174.085281
122063.308924,1000,2190.532212
124634.596127,1000,2206.726712
123481.161168,1000,2223.687847
