#{"t_start": 1583801723.5388615, "env_id": "my_panda_free_space_traj"}
r,l,t
1736.435103,1000,19.930838
1975.71535,1000,33.771918
2204.613093,1000,47.572759
2071.377995,1000,61.492234
2294.893247,1000,75.310824
3237.030383,1000,88.934439
3004.564076,1000,102.588812
3557.794368,1000,116.741384
3806.977724,1000,130.917967
3818.456643,1000,144.807593
4229.025201,1000,158.937743
4505.043097,1000,172.577445
4618.978438,1000,186.231534
4976.050408,1000,199.829223
6141.715016,1000,213.481355
6907.645298,1000,227.090822
7536.912984,1000,240.92114
9518.20592,1000,254.464521
10083.199714,1000,267.93884
10203.627601,1000,281.730173
11057.574873,1000,296.217649
11344.651443,1000,310.017529
12215.19445,1000,323.892139
12245.470993,1000,337.472881
12864.114638,1000,351.025985
12330.005921,1000,364.506653
12439.569543,1000,378.076831
12633.564096,1000,391.422842
12973.485064,1000,405.110306
12437.666987,1000,418.446182
13214.89593,1000,432.259056
12937.457681,1000,445.948208
13056.8474,1000,461.412876
13189.436005,1000,476.683556
13186.967527,1000,491.807822
13272.144299,1000,506.861457
13362.297067,1000,522.223438
13488.113017,1000,537.692482
13504.048137,1000,552.910969
13363.193889,1000,568.210014
13717.248863,1000,583.534224
13665.502457,1000,598.93945
13730.703442,1000,614.151383
13468.057577,1000,629.443533
13737.260354,1000,645.055073
13625.039408,1000,660.623911
13902.655214,1000,675.659552
13736.309738,1000,690.720881
13884.162269,1000,706.038363
13710.408347,1000,721.801057
13685.266542,1000,737.289125
13932.66982,1000,752.46774
13636.278816,1000,767.699825
13511.140129,1000,783.396249
13764.360842,1000,798.725073
13741.018101,1000,813.972301
13715.516492,1000,829.044491
14132.86791,1000,844.375633
14095.870001,1000,859.968136
13895.716198,1000,875.195337
14659.383216,1000,890.650597
14589.19256,1000,905.962469
14829.785948,1000,921.469312
14808.736683,1000,936.891951
14731.764826,1000,952.071265
14871.921974,1000,967.48614
14920.016268,1000,983.144891
14940.428452,1000,998.33988
15055.977716,1000,1013.57495
15084.374638,1000,1028.879854
15381.781752,1000,1044.43538
15329.281905,1000,1059.783574
15388.300528,1000,1075.126071
15445.494183,1000,1090.494353
15063.679179,1000,1105.964235
14962.604039,1000,1121.226117
15425.936056,1000,1136.54285
15558.890283,1000,1151.874148
15712.015347,1000,1167.096331
15411.307502,1000,1182.682379
15606.021237,1000,1197.759192
15456.561428,1000,1213.116392
15368.21008,1000,1228.519498
15079.360372,1000,1244.101067
15249.467159,1000,1259.403016
15430.433987,1000,1274.800027
15566.782955,1000,1290.123628
15725.406611,1000,1305.476579
15773.42511,1000,1320.76193
15822.834224,1000,1336.046867
15763.383354,1000,1351.202338
15652.053637,1000,1366.752684
15620.203271,1000,1382.072364
15748.890531,1000,1397.569056
15763.502702,1000,1412.993447
15780.984488,1000,1428.07439
15445.861657,1000,1443.51011
15875.796982,1000,1458.751898
15797.994362,1000,1474.094851
15889.39009,1000,1489.477567
15752.760527,1000,1505.247049
15746.160463,1000,1520.906285
15768.30331,1000,1536.300552
15794.656891,1000,1551.522262
15866.207684,1000,1567.020756
15798.540165,1000,1582.21891
15758.607591,1000,1597.546669
15574.389061,1000,1612.898784
15775.150851,1000,1628.61143
15601.788692,1000,1643.954088
15718.066152,1000,1659.213956
15838.42173,1000,1674.41226
15830.047186,1000,1689.963428
15813.651967,1000,1705.207921
15598.340365,1000,1720.348968
15651.544869,1000,1735.787229
15578.224792,1000,1751.152172
15806.465837,1000,1766.670802
15858.904639,1000,1781.853746
15858.806968,1000,1797.176195
15718.704783,1000,1812.344277
15711.471969,1000,1827.893389
15947.953522,1000,1843.246372
15848.476672,1000,1858.785711
15671.721695,1000,1874.330609
