nupdates,total_timesteps,explained_variance,policy_entropy,value_loss,policy_loss,fps,ep_len_mean,ep_reward_mean
1,0,-0.18711066246032715,9.932570457458496,0.9896098971366882,-0.2576459050178528,81,,
100,8019,-0.5560604333877563,9.877817153930664,3.788424015045166,0.4090615212917328,274,1000.0,1904.53616775
200,16119,0.5680499076843262,9.911843299865723,3.3522491455078125,-0.2856234312057495,282,1000.0,1824.8753456875
300,24219,-0.02639937400817871,9.929556846618652,4.30782413482666,-0.39910149574279785,284,1000.0,2103.6431700416665
400,32319,0.14956992864608765,9.935393333435059,4.520698547363281,0.06274812668561935,285,1000.0,2328.682848875
500,40419,-0.07278001308441162,9.94002628326416,5.1114606857299805,0.438527375459671,285,1000.0,2640.779193175
600,48519,-0.2393026351928711,9.930574417114258,5.54836368560791,-0.5695818066596985,285,1000.0,2942.2827496874997
700,56619,-0.08783769607543945,9.878334999084473,5.6051459312438965,-0.2315622866153717,286,1000.0,3247.8640062678573
800,64719,-0.09633934497833252,9.817667007446289,7.506993293762207,-0.13612470030784607,287,1000.0,3635.57194075
900,72819,0.01390063762664795,9.744271278381348,9.302736282348633,-0.39471593499183655,288,1000.0,4140.027296180556
1000,80919,0.05301690101623535,9.620885848999023,10.398202896118164,-0.005624197423458099,288,1000.0,4751.9468326375
1100,89019,0.009810328483581543,9.502660751342773,10.647401809692383,-0.29444634914398193,288,1000.0,5338.923328409091
1200,97119,0.01536780595779419,9.443093299865723,10.577280044555664,-0.18923014402389526,288,1000.0,5910.27739825
1300,105219,-0.009984970092773438,9.428162574768066,9.295907974243164,-0.35203561186790466,289,1000.0,6598.01933729
1400,113319,-0.0060787200927734375,9.362096786499023,8.26745319366455,0.09755001217126846,289,1000.0,7449.90431958
1500,121419,-0.011000990867614746,9.351339340209961,7.85556697845459,0.08365755528211594,290,1000.0,8332.8801652
1600,129519,-0.02470409870147705,9.316239356994629,7.478964328765869,-0.03415322303771973,290,1000.0,9134.34290021
1700,137619,-0.0004304647445678711,9.285256385803223,7.127431392669678,0.06061476469039917,288,1000.0,9909.70043628
1800,145719,0.10327917337417603,9.241753578186035,7.036654472351074,0.04480067640542984,286,1000.0,10632.40562191
1900,153819,-0.0031665563583374023,9.205832481384277,6.844790458679199,-0.3028668463230133,285,1000.0,11336.651343709998
2000,161919,-0.022180914878845215,9.151965141296387,6.783600807189941,-0.03903680294752121,283,1000.0,11948.52246292
2100,170019,-0.010952591896057129,9.088142395019531,6.727890968322754,-0.1725056767463684,282,1000.0,12475.21745415
2200,178119,-0.03829395771026611,8.997603416442871,6.62781286239624,-0.6203598380088806,281,1000.0,12807.60966467
2300,186219,0.013293981552124023,8.949539184570312,6.70590353012085,-0.09216927736997604,280,1000.0,13033.62905043
