#{"t_start": 1583787410.322725, "env_id": "my_panda_free_space_traj"}
r,l,t
395.5963,1000,22.769993
454.674439,1000,39.748182
320.616753,1000,57.647066
350.304497,1000,74.903442
320.52722,1000,92.144443
330.126797,1000,109.397713
289.729758,1000,126.65314
516.568153,1000,143.809063
405.299193,1000,161.206546
476.671166,1000,178.607522
629.444814,1000,195.907653
682.314347,1000,212.890912
1241.734143,1000,230.449466
1809.604302,1000,247.633815
3250.871932,1000,265.10609
6189.996294,1000,282.439743
8389.030555,1000,300.036425
10429.062541,1000,317.750648
11969.575074,1000,335.1901
12325.673457,1000,352.873824
13634.573548,1000,371.466506
13623.876217,1000,389.301973
16592.25181,1000,407.816377
14240.969686,1000,425.933833
18096.604043,1000,444.459311
14188.992616,1000,462.571531
17283.002981,1000,480.809993
14530.600957,1000,498.384698
14842.241984,1000,516.702008
13786.265034,1000,534.464833
14902.804651,1000,552.363532
14906.823353,1000,570.102757
15614.811365,1000,588.503263
14961.489783,1000,606.226896
15272.108986,1000,623.76774
15794.601381,1000,641.190595
15919.684877,1000,658.943514
15551.081241,1000,677.185087
15425.157017,1000,695.502136
16269.918685,1000,713.642592
16206.467292,1000,731.582487
21462.154354,1000,749.695203
28876.851434,1000,767.690134
26630.98006,1000,785.813047
16409.582704,1000,804.485076
16001.1011,1000,822.793217
16045.140302,1000,842.442617
16809.651076,1000,860.500186
16582.053608,1000,878.896756
29535.54086,1000,897.504384
16445.693176,1000,916.735776
36989.017859,1000,934.4629
32423.465614,1000,952.859146
32994.309503,1000,971.28251
17289.687106,1000,989.466378
17489.169122,1000,1008.472363
31548.178018,1000,1027.198777
16680.703956,1000,1046.068354
17414.829346,1000,1065.529735
36020.067517,1000,1084.837127
17644.702124,1000,1102.996545
21682.083461,1000,1122.77132
24706.058733,1000,1141.307261
27493.31373,1000,1160.61958
36344.785921,1000,1179.025343
17649.951787,1000,1198.5816
17982.965852,1000,1216.337591
17463.501198,1000,1234.625515
37114.889615,1000,1253.828733
17749.952041,1000,1271.95712
17129.361004,1000,1290.329186
17478.013038,1000,1308.635742
38109.155463,1000,1327.354527
43015.672326,1000,1345.919289
44488.139377,1000,1364.881524
39783.501186,1000,1383.537724
43148.262183,1000,1403.470582
41781.319865,1000,1422.255172
18361.759026,1000,1441.109761
17914.298846,1000,1459.880023
48273.683862,1000,1479.065541
45421.453659,1000,1498.001961
19180.212805,1000,1515.306433
19734.500935,1000,1534.0806
44792.636086,1000,1552.932264
44905.884887,1000,1572.052665
52882.340276,1000,1591.399032
51065.093322,1000,1610.68439
49053.284372,1000,1630.780502
55262.743522,1000,1649.989327
62534.775549,1000,1669.190928
35068.520759,1000,1688.774078
67277.907238,1000,1708.738316
64016.054356,1000,1728.167138
74202.603519,1000,1747.628535
74419.760496,1000,1767.689018
76639.280371,1000,1786.883843
77116.330103,1000,1806.375785
70822.126762,1000,1825.910567
79669.475838,1000,1845.162946
79400.145359,1000,1864.638797
75422.697441,1000,1883.152433
79690.271513,1000,1903.209093
80237.856137,1000,1923.08008
80421.341069,1000,1942.124084
83715.770059,1000,1961.248991
88320.48717,1000,1980.739326
84885.260657,1000,1999.53977
92911.990698,1000,2017.983878
99475.191557,1000,2036.074818
96129.11673,1000,2053.784895
106425.597208,1000,2071.576503
107043.272687,1000,2089.537822
114301.904215,1000,2106.480774
109463.968673,1000,2123.932631
112564.439698,1000,2141.34252
110653.518928,1000,2158.494611
108989.141604,1000,2175.892091
110491.420393,1000,2193.460673
101735.474804,1000,2211.200489
114064.741025,1000,2228.289849
116032.411735,1000,2244.661082
116536.05315,1000,2261.978099
110626.395113,1000,2278.251403
110633.358201,1000,2294.829492
