#{"env_id": "my_panda_free_space_traj", "t_start": 1583787487.0088322}
r,l,t
528.596026,1000,23.747147
511.12673,1000,41.781129
581.503679,1000,59.92094
1142.404217,1000,77.607647
1197.446156,1000,95.171908
3534.427387,1000,112.68629
6946.907905,1000,130.153723
8562.442622,1000,147.91152
9518.874869,1000,165.137074
10386.426224,1000,182.744622
12591.1501,1000,200.504466
12488.822122,1000,218.450772
13329.720247,1000,236.134703
14321.185151,1000,254.148213
14388.635629,1000,271.749759
14634.971592,1000,289.827263
14802.385796,1000,307.445956
16044.127545,1000,325.503675
15717.122994,1000,343.522385
14693.48079,1000,361.567889
15511.80894,1000,379.674085
16086.551805,1000,397.638285
15945.464285,1000,415.641581
15589.700373,1000,433.934361
16056.15357,1000,451.609441
15861.74589,1000,469.273222
16323.702901,1000,487.533592
16500.374478,1000,505.696606
16262.972794,1000,523.224109
16578.981612,1000,541.479903
17426.8106,1000,560.69193
23247.846228,1000,580.453475
27892.290938,1000,600.515774
32339.914985,1000,619.99635
37419.053813,1000,638.891204
37503.729437,1000,658.394926
40852.533627,1000,677.857382
44607.533059,1000,697.44186
43417.371907,1000,716.437549
46995.534303,1000,735.101579
47161.22231,1000,753.447324
46618.718172,1000,771.615787
50332.327833,1000,789.509709
56221.77672,1000,807.395348
53307.317732,1000,825.33747
51696.486322,1000,843.662601
53034.953629,1000,861.937574
59598.163432,1000,879.521058
54138.556185,1000,897.901595
59491.027018,1000,914.914902
60903.215138,1000,932.593384
60102.634284,1000,950.105414
55162.76079,1000,967.630515
60068.196056,1000,985.039805
60391.326979,1000,1002.370222
63046.837404,1000,1019.973908
59936.58484,1000,1037.256402
60986.877874,1000,1054.963519
62480.935183,1000,1072.607958
61190.466197,1000,1090.326836
64831.99819,1000,1107.522116
64511.728245,1000,1125.169511
63568.074784,1000,1142.444331
64900.958785,1000,1160.383272
63785.644478,1000,1177.695638
65581.095072,1000,1195.223798
66316.233388,1000,1212.738426
63305.117495,1000,1230.141663
66933.217942,1000,1247.29333
71233.283796,1000,1264.908266
69569.486221,1000,1282.336652
67701.619749,1000,1299.878289
70740.126396,1000,1317.571588
73185.681702,1000,1335.15692
68440.510403,1000,1352.672119
78869.1413,1000,1369.979797
78098.790604,1000,1387.460577
75447.249629,1000,1404.978479
79323.349877,1000,1422.318973
79973.674593,1000,1439.729857
88606.687371,1000,1457.348666
89119.376151,1000,1474.52612
90313.802324,1000,1491.948457
90722.411626,1000,1509.043421
97171.363975,1000,1526.180446
101887.010159,1000,1543.59654
102552.264966,1000,1560.876163
110963.895128,1000,1578.01378
110774.350306,1000,1595.463786
110657.952033,1000,1612.465134
113536.829033,1000,1629.65434
116790.18734,1000,1646.793917
118529.422999,1000,1664.034297
119510.512174,1000,1681.043613
120351.313777,1000,1698.498642
121452.844316,1000,1716.003661
122134.844327,1000,1733.136791
122271.858417,1000,1750.31777
122282.403045,1000,1767.488743
123166.893163,1000,1784.558894
122528.367782,1000,1801.615517
123056.704088,1000,1818.602917
123118.739369,1000,1835.971197
122445.810172,1000,1853.38098
124699.246455,1000,1870.35839
125199.607291,1000,1888.524692
122370.797468,1000,1906.337622
122739.389137,1000,1924.211864
122390.723498,1000,1942.305114
121019.924824,1000,1960.322964
124775.200598,1000,1978.611413
124384.114116,1000,1996.366323
124484.495822,1000,2013.939692
121598.967175,1000,2031.199399
123930.311841,1000,2048.573322
124447.354836,1000,2065.770522
123995.457741,1000,2082.935163
121280.773533,1000,2100.544034
122697.024933,1000,2118.406483
125568.953008,1000,2135.617601
124955.086711,1000,2153.181892
123926.957093,1000,2168.835328
124097.26295,1000,2185.602521
123516.206485,1000,2201.836745
123753.218931,1000,2218.144342
