#{"t_start": 1585028749.4211729, "env_id": "my_panda_free_space_traj"}
r,l,t
160.79091,500,16.623421
131.146454,500,26.899867
174.647748,500,37.180189
326.208372,500,47.336964
419.536524,500,57.614633
668.996652,500,67.55014
731.197669,500,77.321493
753.572186,500,87.259588
1451.2733,500,96.986026
1413.592956,500,106.808361
1466.47222,500,116.786455
1259.829968,500,127.073273
2317.210587,500,137.263067
1863.338499,500,147.52737
2531.498299,500,158.301786
3494.966982,500,168.875879
3202.418751,500,179.489183
3206.679075,500,190.270152
3361.976844,500,200.872408
3977.714987,500,211.587023
4185.629304,500,222.440393
4955.605664,500,233.737011
5069.20117,500,244.915796
5200.759381,500,256.075409
4224.439362,500,267.385892
5335.249675,500,278.433109
5498.802935,500,289.39146
5142.855042,500,300.474012
5319.763888,500,311.548349
5088.858254,500,322.445419
5103.222682,500,333.314442
6237.835988,500,344.49993
6003.265967,500,355.573547
7149.674733,500,366.613218
7356.706197,500,378.0845
6761.563082,500,389.327788
7241.959997,500,400.634003
7880.961254,500,412.200946
6975.20589,500,423.599583
7874.213458,500,434.890609
8811.963987,500,445.927919
9767.492179,500,457.030673
6912.729053,500,467.908089
10535.644607,500,478.810153
9123.403596,500,489.934398
8228.599387,500,500.763716
9905.825112,500,511.449659
8907.285961,500,522.433012
9665.83824,500,533.091982
11362.514607,500,543.709976
11798.045699,500,554.347307
12381.369383,500,565.199809
8859.231015,500,575.818633
11822.117028,500,586.37423
11577.159723,500,596.96378
10598.891923,500,607.445649
11349.671658,500,617.96738
12726.850229,500,628.497817
11018.839381,500,639.352087
10669.811858,500,649.86017
14108.316074,500,660.210481
10866.532116,500,670.68208
11490.464683,500,681.037119
14598.074003,500,691.414284
11393.985871,500,702.246363
11720.447583,500,712.836849
14154.035848,500,723.368716
11930.521404,500,734.024095
10526.609998,500,744.571486
11846.512906,500,754.936365
13375.975003,500,765.262944
13042.787018,500,775.796961
13768.420517,500,786.238587
14117.133725,500,796.519378
15171.713882,500,807.105172
14621.726557,500,817.318917
14025.248433,500,827.663763
14310.003364,500,838.072418
14208.971297,500,848.2582
13736.989277,500,858.440392
11789.118416,500,868.633305
13387.645005,500,878.959836
12228.037647,500,889.226639
15027.119376,500,899.492279
14886.417281,500,909.98988
15423.650176,500,920.127517
13787.114607,500,930.342742
16220.86401,500,940.535624
15241.946406,500,950.900169
16252.775357,500,961.042204
15544.834098,500,971.254426
16166.630282,500,981.59269
15680.588932,500,991.735804
15555.726366,500,1001.827703
15340.386926,500,1012.253742
15352.834401,500,1022.460822
15509.626693,500,1032.635676
16093.383946,500,1043.00417
15832.863801,500,1053.121273
15955.444686,500,1063.305783
17648.142365,500,1073.557879
15792.259958,500,1083.88146
16052.673884,500,1094.054355
16175.360089,500,1104.289981
17632.539164,500,1115.164554
14359.205199,500,1126.262248
15398.013582,500,1136.713468
18779.787922,500,1147.290398
18525.251678,500,1157.530537
14005.651869,500,1167.789306
16253.963809,500,1178.066397
18105.998198,500,1188.392869
16846.398654,500,1198.561487
19838.079859,500,1208.789035
17722.548197,500,1219.176927
17135.314995,500,1229.364492
20187.818267,500,1239.51464
21351.669306,500,1249.707052
18738.277294,500,1260.049196
16215.326651,500,1270.187445
16735.505368,500,1280.375997
22118.991816,500,1290.744811
19207.153428,500,1300.866678
15496.350092,500,1310.9935
