#{"env_id": "my_panda_free_space_traj", "t_start": 1585026650.0338733}
r,l,t
392.053823,500,16.680156
195.378887,500,26.864876
242.268388,500,37.186801
218.819148,500,47.360486
130.313755,500,57.491059
161.139646,500,67.808443
383.400834,500,77.755466
451.277095,500,87.639098
480.764533,500,97.332794
953.815279,500,107.158177
1087.145185,500,116.778693
1023.960946,500,126.380141
1400.979629,500,136.354205
1100.017992,500,146.286093
2151.13618,500,156.367646
3081.124935,500,166.658321
3196.976545,500,177.126615
3491.463917,500,187.39266
3738.961412,500,197.699638
4421.121585,500,208.271484
4103.677017,500,218.563494
4603.500418,500,228.974962
4734.608035,500,239.81252
5628.137809,500,250.65626
5720.147759,500,261.396263
5551.480932,500,272.492574
6023.138998,500,283.268849
6931.330919,500,294.088144
6532.842138,500,304.749418
7348.910035,500,315.87244
7046.924152,500,326.620059
7035.967698,500,337.590022
6249.130401,500,348.207257
8272.912834,500,359.246356
6581.150933,500,369.966947
6875.964153,500,381.062531
6799.465796,500,391.695493
8245.746329,500,402.815094
7046.634775,500,413.533101
6856.590112,500,424.639399
6462.720922,500,435.467297
6988.128335,500,446.54102
7282.41749,500,457.676872
8099.567056,500,468.691109
7453.02191,500,479.989308
7687.845142,500,490.93085
7200.491826,500,502.019245
8114.858488,500,513.251899
6385.111459,500,524.017031
7220.906843,500,534.968002
7782.032521,500,545.995096
8283.429841,500,557.230975
7924.980239,500,568.121168
8057.3399,500,579.346325
6533.264486,500,590.021281
8525.984976,500,601.130873
7715.01032,500,611.86739
8368.787583,500,623.069788
8741.362548,500,634.255756
7951.465237,500,645.471968
6686.644012,500,656.260275
8360.283998,500,667.59058
8318.719822,500,678.332887
8859.990872,500,689.810866
8174.252019,500,700.780026
9064.449837,500,711.917386
7699.450451,500,723.165975
7511.10636,500,733.955934
8014.985631,500,744.803385
6601.18881,500,756.056371
9033.852298,500,767.181124
8869.946965,500,778.500525
7603.472742,500,790.101508
7085.883555,500,801.029938
8349.414237,500,812.13271
7730.154822,500,823.258073
8081.505445,500,834.54272
8806.368506,500,845.46319
8442.225357,500,856.608812
9232.421481,500,868.22757
6968.280072,500,879.120321
8176.439803,500,889.911802
9301.718152,500,901.270199
9537.247317,500,911.920526
8454.913802,500,922.825771
8824.335546,500,934.281054
8717.209846,500,945.122031
8641.041631,500,956.186747
6924.536812,500,966.884799
11278.784136,500,978.431055
9040.466628,500,989.723149
10287.849426,500,1001.004711
9928.147505,500,1012.207584
9102.973064,500,1023.822154
9379.540441,500,1035.09392
9512.083828,500,1046.578523
8856.356151,500,1057.879614
9615.911876,500,1069.178952
9920.651963,500,1080.305172
8935.056676,500,1091.693823
9303.734333,500,1102.849945
9350.346871,500,1114.163389
8989.501731,500,1125.511674
9626.694069,500,1136.942846
7954.329614,500,1147.853722
8860.249468,500,1158.927481
10077.520644,500,1169.970515
10642.978833,500,1180.886146
9146.318604,500,1192.145627
9388.766422,500,1203.687884
9170.149772,500,1214.690616
9068.761015,500,1225.864752
9982.801532,500,1237.21734
7041.467994,500,1248.113154
9409.520012,500,1259.182225
10179.985026,500,1270.39423
9388.392709,500,1281.684148
10182.7596,500,1292.979756
10690.879122,500,1303.85303
10525.288136,500,1315.43452
10229.09805,500,1326.804952
10569.345712,500,1337.961253
10912.330674,500,1348.926459
11062.97122,500,1360.589386
