#{"env_id": "my_panda_free_space_traj", "t_start": 1585055287.400672}
r,l,t
200.010449,500,17.153717
110.918016,500,27.963963
312.917758,500,38.644769
177.429115,500,49.34895
145.465531,500,60.242791
309.907514,500,70.94564
170.322745,500,81.64154
219.324695,500,92.473097
201.029172,500,102.961004
266.624712,500,113.357607
250.859209,500,123.752679
569.951173,500,134.263418
536.376724,500,144.430054
590.448316,500,154.527487
855.762674,500,164.742727
1164.786396,500,174.717155
1556.568187,500,184.691671
1538.267646,500,195.085741
1479.319497,500,205.271684
1428.982016,500,215.521542
1659.795736,500,225.970594
2307.314816,500,236.59032
2456.019206,500,246.912478
2509.058328,500,257.250626
2440.832302,500,267.974728
2777.44053,500,278.501307
4139.512314,500,288.976293
5932.579096,500,299.476035
5592.26176,500,310.059011
4764.666489,500,320.485707
7203.657132,500,331.108933
6465.963974,500,341.787715
7883.174168,500,352.196452
6857.689451,500,362.720786
9146.428672,500,373.469207
7280.518766,500,384.101664
9384.567409,500,394.630141
8728.081097,500,405.277678
10034.946652,500,415.871654
9734.660135,500,426.533925
11904.213274,500,437.191536
10629.683644,500,447.832011
13159.849377,500,458.224144
13747.471419,500,468.72815
12628.597496,500,479.477997
10349.34206,500,489.845194
13282.399968,500,500.28343
12434.797519,500,511.003297
15146.425528,500,521.389521
15022.527733,500,531.837933
15783.807381,500,542.275045
13014.858721,500,552.827604
15156.733881,500,563.129351
15752.289945,500,573.379168
15326.258506,500,583.914762
14661.625701,500,594.362295
19341.97994,500,604.660187
16071.350134,500,614.965558
18337.061163,500,625.5897
17860.592516,500,636.059708
17250.019801,500,646.549292
16005.544046,500,657.076259
19122.298729,500,667.376396
20150.090591,500,677.663476
17545.798089,500,688.123982
18202.289164,500,698.499642
17731.082862,500,708.721878
21753.006719,500,719.271448
21280.498554,500,729.528396
20749.924473,500,739.7772
20060.654737,500,750.047186
19892.27818,500,760.421913
24490.132831,500,770.680449
24470.922706,500,780.941664
23591.404064,500,791.422265
24297.829115,500,801.682764
23224.768679,500,811.87342
24506.59122,500,822.31514
26029.698225,500,832.589917
25480.561244,500,842.829201
23237.193878,500,853.092352
25742.204723,500,863.537745
27796.111975,500,873.732083
26346.833833,500,883.978619
27269.650483,500,894.512477
26449.682036,500,904.714018
28227.803658,500,914.993043
24350.279968,500,925.256506
30905.561288,500,935.764626
29991.08387,500,945.983049
29220.27206,500,956.264167
29003.308538,500,966.638455
30474.354366,500,976.859409
30977.632586,500,987.036728
28495.05094,500,997.566722
29839.488555,500,1007.774414
32253.447381,500,1017.978078
35030.168899,500,1028.397653
32296.543703,500,1038.646043
30518.318266,500,1048.85701
30020.594816,500,1059.086559
32621.068674,500,1069.552059
30132.580176,500,1079.732399
31182.188807,500,1089.840384
31589.724082,500,1100.193666
32498.179948,500,1110.477689
33035.763266,500,1120.716662
34363.505021,500,1131.129905
34284.107135,500,1141.385013
35152.9942,500,1151.631305
34901.784849,500,1161.806198
33865.413981,500,1172.214463
32426.030797,500,1182.396169
35171.33447,500,1192.533899
35086.753948,500,1202.974183
34309.791499,500,1213.110233
32311.685508,500,1223.31034
33288.415574,500,1233.412463
35496.098924,500,1243.741137
33567.097927,500,1253.914385
35853.016904,500,1264.119078
32151.050678,500,1274.534332
35721.58218,500,1284.687924
33941.2677,500,1294.86436
