#{"t_start": 1585054958.2808123, "env_id": "my_panda_free_space_traj"}
r,l,t
202.968368,500,16.646173
181.958436,500,26.910532
206.605391,500,37.303627
389.270309,500,47.312712
538.202432,500,57.452013
422.293198,500,67.567007
1043.987215,500,77.410131
1305.976906,500,87.246175
1751.716583,500,97.075928
1415.970476,500,107.212096
1127.589732,500,117.002483
1628.952438,500,127.032915
2089.470041,500,137.299313
1752.847201,500,147.413152
1735.344359,500,157.728146
2350.082047,500,168.204301
2196.212547,500,178.774049
3511.891112,500,189.365278
3183.768186,500,199.890259
2735.561596,500,210.900295
3027.009862,500,221.635731
3741.054915,500,232.566055
4728.775713,500,243.66366
4451.147611,500,254.629844
4759.366109,500,265.648273
5173.413219,500,276.766139
7379.182269,500,287.684224
6653.790677,500,298.570184
6677.787563,500,309.522691
8177.385266,500,320.740049
7730.231503,500,331.760776
7714.713104,500,342.780695
9045.468746,500,353.831673
8580.404225,500,365.073126
7047.440031,500,376.139559
9169.268179,500,387.31135
8237.190031,500,398.35428
9234.634106,500,409.412514
8698.223578,500,420.476709
8669.774622,500,431.829723
9037.750139,500,442.900974
9990.761106,500,454.007767
9997.915658,500,465.377162
10533.213174,500,476.57523
10406.623519,500,487.668815
11578.324708,500,498.800833
10067.068366,500,510.118088
11280.04631,500,521.256538
11202.222513,500,532.313548
11658.49314,500,543.621804
11691.19943,500,554.601708
15236.667461,500,565.557481
13834.339164,500,576.715093
15121.753536,500,587.534544
14360.670634,500,598.453273
12781.987558,500,609.702459
13396.646526,500,620.739874
15550.502036,500,631.733079
13935.9947,500,642.67999
14285.428755,500,653.964401
16011.020511,500,664.885545
14935.197086,500,675.717409
16109.456732,500,686.611223
13792.957361,500,697.774956
14450.647789,500,708.711295
18314.747008,500,719.818282
15793.173759,500,730.717047
14897.311824,500,741.66661
15820.333681,500,752.606005
16504.605336,500,763.796891
14372.272988,500,774.714866
15617.391422,500,785.538125
14741.586617,500,796.449677
15179.637638,500,807.184124
16182.056681,500,818.034679
19063.554964,500,828.839435
14722.734826,500,839.735745
14884.673234,500,850.411353
16973.620277,500,861.028574
17603.569936,500,871.864381
15130.58425,500,882.520633
17599.831886,500,893.166169
14870.051169,500,903.918187
14926.963376,500,914.551346
18020.744253,500,925.277013
20065.531962,500,936.329042
17355.948055,500,947.014366
16244.95399,500,957.570943
15855.035231,500,968.164567
16610.360496,500,979.095903
16362.759977,500,989.808688
16904.714289,500,1000.574663
16541.237468,500,1011.375954
18161.486425,500,1022.535083
17414.151326,500,1033.459702
16821.166003,500,1044.560907
15749.775718,500,1055.37956
17478.411417,500,1066.202146
19557.620347,500,1076.891158
18413.189773,500,1087.944795
19698.322513,500,1098.612239
18291.954694,500,1109.215145
18451.486366,500,1120.050012
18106.717247,500,1130.685346
18090.141632,500,1141.382781
20144.389758,500,1152.108978
20724.569912,500,1162.903516
18516.285785,500,1173.73147
19592.501494,500,1184.498509
18433.609761,500,1195.573098
18318.063066,500,1206.309663
19167.466967,500,1217.062231
21870.091132,500,1228.029016
20041.265978,500,1238.812383
16508.79935,500,1249.513204
18365.222626,500,1260.495381
20030.285616,500,1271.111493
19504.468867,500,1281.798747
17977.275016,500,1292.482073
17199.389582,500,1303.445036
18903.118749,500,1314.096065
18707.588383,500,1324.762054
17291.042001,500,1335.285185
20607.412438,500,1346.117871
