#{"t_start": 1585004174.6393113, "env_id": "my_panda_free_space_traj"}
r,l,t
243.366296,500,16.789694
198.958304,500,27.02661
133.087465,500,37.222927
238.894605,500,47.341357
332.155881,500,57.729481
275.92704,500,67.809593
349.144267,500,78.000504
498.058095,500,88.320278
553.066451,500,98.405432
465.271361,500,108.352623
916.854801,500,118.17379
1396.937087,500,128.244889
1551.960083,500,138.231324
2051.65292,500,148.31834
1833.44074,500,158.81866
1726.72967,500,169.112181
2097.492301,500,179.441096
1387.057269,500,189.92024
1942.956625,500,200.29917
1792.465353,500,210.634294
2472.082293,500,221.134602
2420.775888,500,231.866242
2486.34344,500,242.351235
3581.920909,500,252.948054
3931.539257,500,263.783327
2844.567914,500,274.295538
3859.860261,500,284.778961
3497.660951,500,295.268869
3986.796253,500,305.983721
5388.576189,500,316.483409
5201.187426,500,327.124462
5754.573474,500,337.897649
5869.294097,500,348.72908
8244.074169,500,359.663672
6236.918736,500,370.466759
6790.780286,500,381.087161
5659.841237,500,391.658433
8307.631218,500,402.425805
8707.975205,500,413.014087
7291.324148,500,423.684842
6761.511698,500,434.398455
7208.89558,500,445.246097
5857.705703,500,455.771752
6470.941092,500,466.386482
7464.48984,500,477.276523
7636.917824,500,487.892958
8864.391615,500,498.542799
7474.174478,500,509.402484
7263.262947,500,519.912538
8410.57222,500,530.60847
9957.927385,500,541.204483
7295.477237,500,551.935491
9064.643433,500,562.542655
9423.210907,500,573.180151
9597.070849,500,584.102474
9598.215469,500,594.658936
9931.815469,500,605.162976
9141.864099,500,615.75625
8285.811104,500,626.457357
10051.212779,500,637.085716
8996.194811,500,647.669128
10036.434804,500,658.534861
7037.629627,500,669.040846
10020.060252,500,679.641697
8641.397553,500,690.531363
10494.818907,500,701.062441
10757.967165,500,711.700064
9935.288304,500,722.503425
10205.993596,500,733.075748
11481.136404,500,743.674633
10026.054385,500,754.266139
11204.098509,500,765.028949
11140.416545,500,775.528641
12392.874836,500,786.135823
9906.371414,500,796.981486
14264.171414,500,807.623174
8332.992972,500,818.157207
9611.473624,500,828.891489
9637.10451,500,839.38549
10815.127496,500,849.951206
11196.615425,500,860.472806
12020.438598,500,871.224754
10814.902426,500,881.723383
9736.612859,500,892.280707
12651.89746,500,903.053405
9518.102523,500,913.93565
12506.796854,500,924.814077
11105.018255,500,935.631449
11057.693023,500,946.408964
10788.821931,500,956.959016
11398.249017,500,967.492049
13796.415748,500,978.20145
12677.408371,500,988.800616
15051.02077,500,999.275831
13602.04912,500,1009.97819
11389.145048,500,1020.818796
10724.651256,500,1031.654821
15817.988086,500,1042.653955
13398.055402,500,1053.250899
12341.229481,500,1063.707453
13553.799069,500,1074.152067
12567.379835,500,1084.852108
14786.056625,500,1095.451547
15493.51909,500,1106.002709
15932.851364,500,1116.833702
11819.986551,500,1127.402203
15767.11725,500,1137.904028
14305.76441,500,1148.809759
13735.588853,500,1159.723169
14989.255809,500,1170.701663
14460.124785,500,1181.591064
16920.751516,500,1192.636741
18340.616667,500,1203.520255
15555.437056,500,1214.439421
17150.620825,500,1225.536085
16743.151888,500,1236.399878
18007.796436,500,1247.20261
13544.518827,500,1258.029524
18019.331202,500,1269.044312
15453.730089,500,1279.880578
18380.053441,500,1290.80308
18068.16228,500,1301.861364
17659.522269,500,1312.599978
18305.31746,500,1323.461108
