#{"env_id": "my_panda_free_space_traj", "t_start": 1584992290.331671}
r,l,t
238.640998,500,17.303798
366.49345,500,27.443148
479.910426,500,37.459652
527.335889,500,47.60709
560.082865,500,57.63628
860.116768,500,68.966383
853.51025,500,78.463666
861.690356,500,88.153443
676.161078,500,97.654212
928.062005,500,107.937468
892.825704,500,117.590341
727.370058,500,126.857919
738.285753,500,136.146888
1109.666441,500,145.770094
1198.814177,500,155.168185
820.02759,500,164.749542
709.032068,500,174.410478
1171.603191,500,183.918241
1342.394232,500,193.138576
1320.679796,500,202.407211
1785.734962,500,211.889445
1533.748489,500,221.162537
2028.838427,500,230.460975
1876.013057,500,239.676303
2120.783056,500,249.145986
1962.772401,500,258.611799
2391.74026,500,268.266919
2696.90696,500,277.713524
2466.836456,500,287.157103
2799.024507,500,296.645067
3026.248663,500,305.957997
2806.883342,500,315.044999
3412.132971,500,324.170232
3850.376169,500,333.56284
3851.533478,500,342.732142
3993.103633,500,351.811404
3894.627067,500,360.825664
4362.592932,500,370.057917
4314.618037,500,379.10145
4309.932801,500,388.222783
4668.335548,500,397.51937
4974.440638,500,406.516352
5056.773302,500,415.415534
5217.961347,500,424.600426
5214.926827,500,433.642736
5323.004168,500,442.765858
5512.315519,500,452.09436
5368.720005,500,461.145216
5067.818874,500,470.109737
5399.197785,500,479.074721
5738.361303,500,488.319196
5669.705367,500,497.327524
5615.873607,500,506.293493
5845.777731,500,515.225194
5628.660839,500,524.470068
5796.543851,500,533.504441
5747.102058,500,542.772151
5815.283704,500,551.839776
5744.116786,500,560.853446
6024.698419,500,569.919099
5777.945901,500,579.197214
5864.905758,500,588.198757
5586.484048,500,597.173148
5719.74312,500,606.320326
6241.801423,500,615.286193
6107.280164,500,624.298214
6060.269703,500,633.37538
6006.723889,500,642.645908
6094.903859,500,651.698452
6346.85313,500,660.607281
6207.676186,500,669.750042
5956.414388,500,678.757582
6235.979835,500,687.774765
6063.180539,500,697.096168
6376.638618,500,706.13938
6106.509303,500,715.15054
5843.216615,500,724.378676
6175.574782,500,733.354122
6252.914195,500,742.366282
6189.343371,500,751.404574
6391.640484,500,760.657345
6268.034817,500,769.60968
6460.436481,500,778.551576
6327.928425,500,787.531819
6468.240743,500,796.8111
6460.920729,500,805.796911
6325.188584,500,815.0246
6476.479518,500,823.939524
6556.166657,500,832.858393
6405.531667,500,841.824867
6455.63062,500,851.012826
6426.966874,500,860.010808
6619.319642,500,869.028712
6508.525138,500,878.229178
6731.227124,500,887.174595
6436.361189,500,896.072921
6540.085466,500,905.051727
6571.793187,500,914.302785
6597.970467,500,923.324946
6577.677789,500,932.320107
6676.543998,500,941.51813
6720.164801,500,950.42631
6499.044414,500,959.334522
6790.119599,500,968.522102
6693.576306,500,977.501522
6663.742813,500,986.480262
6657.639825,500,995.75881
6695.076486,500,1004.829558
6564.258607,500,1013.855498
6462.722341,500,1022.866683
6642.632631,500,1032.038583
6604.719449,500,1040.92344
6793.298394,500,1049.919785
6772.238277,500,1058.920597
6780.076168,500,1068.233697
6965.700284,500,1077.259595
6970.086961,500,1086.52546
6794.599817,500,1095.519652
6880.249421,500,1104.499367
6876.182308,500,1113.449862
7109.360126,500,1122.624205
6874.57356,500,1131.596638
7043.606392,500,1140.598856
7042.268308,500,1149.84111
