#{"t_start": 1581957991.0204425, "env_id": "myPandaFreeSpace1Goal-v0"}
r,l,t
146.735781,1000,24.884009
282.616398,1000,35.233879
437.007719,1000,45.591252
659.039929,1000,55.867625
262.18025,1000,66.101414
282.720331,1000,76.382172
83.118672,1000,86.683528
256.840993,1000,96.894864
295.087905,1000,107.172533
189.61814,1000,117.694824
205.147951,1000,128.397487
309.038542,1000,138.865
434.920291,1000,149.237587
463.307977,1000,159.779263
324.926937,1000,170.222969
267.59736,1000,180.747329
259.531871,1000,191.417646
312.360334,1000,201.674443
517.34213,1000,211.912731
461.189172,1000,222.225705
849.120698,1000,232.544787
659.560793,1000,242.912227
715.227971,1000,253.293604
782.592577,1000,263.546525
847.75001,1000,274.100614
989.308981,1000,284.582119
1039.584743,1000,294.752308
1343.285572,1000,304.922177
1270.591321,1000,315.12122
1400.221292,1000,325.315965
1726.846738,1000,335.62993
2241.101408,1000,345.864003
1447.291479,1000,356.059826
1416.877247,1000,366.447485
1411.785528,1000,376.729067
1720.182398,1000,386.912765
1651.781269,1000,397.177866
1849.351706,1000,407.350311
1390.165813,1000,417.52489
1432.515809,1000,427.817688
1630.506145,1000,438.088835
1546.17654,1000,448.411355
2052.819354,1000,458.766683
1812.648239,1000,469.167238
1605.166288,1000,479.54416
2700.020168,1000,489.68562
1423.59634,1000,499.937648
73.970071,1000,511.026897
884.583033,1000,521.294732
1991.261208,1000,531.50799
4281.654464,1000,541.753336
2949.027785,1000,551.936263
4671.480239,1000,562.115645
2290.930642,1000,572.508054
2449.109988,1000,582.569183
2446.960055,1000,592.703633
2469.048451,1000,602.892089
3972.036403,1000,613.164629
2461.683605,1000,623.365991
2537.483174,1000,633.565573
3927.725739,1000,643.743681
4755.311504,1000,653.905687
5471.355491,1000,664.039949
3752.954752,1000,674.243193
4275.659315,1000,684.351825
4401.702909,1000,694.451956
5699.291061,1000,704.486032
7311.446973,1000,714.669876
3802.462749,1000,724.746399
6688.987772,1000,734.78581
5349.907638,1000,744.863697
4076.669746,1000,754.912948
7383.896896,1000,764.95721
8973.601932,1000,774.937634
5526.652053,1000,784.94321
1172.416262,1000,794.93205
181.371117,1000,805.012748
193.680214,1000,815.072989
146.793126,1000,825.256419
257.813015,1000,835.266892
210.918327,1000,845.402176
279.028296,1000,855.442996
358.26446,1000,865.532977
302.146105,1000,875.775511
351.932785,1000,885.8326
310.707377,1000,896.505505
373.086336,1000,906.730857
346.332774,1000,917.157398
354.068529,1000,927.246415
381.095508,1000,937.389147
373.455401,1000,947.373028
384.92422,1000,957.320171
397.261417,1000,967.222441
458.338354,1000,977.134331
499.128686,1000,987.150129
399.610748,1000,997.395275
375.110271,1000,1007.436595
507.975606,1000,1017.626286
522.718215,1000,1027.593604
530.122834,1000,1037.512274
589.389934,1000,1047.41367
585.968692,1000,1057.29234
561.432085,1000,1067.149878
596.34223,1000,1077.042105
609.158983,1000,1087.077202
650.080368,1000,1097.033507
746.514927,1000,1107.162183
766.511874,1000,1117.227197
660.722886,1000,1127.118241
661.540952,1000,1136.998464
681.584872,1000,1146.982249
611.551801,1000,1156.877194
543.280798,1000,1166.789941
524.196946,1000,1176.779244
259.57112,1000,1186.635801
159.027076,1000,1196.540493
170.838502,1000,1206.447179
413.282199,1000,1216.329337
615.842785,1000,1226.203143
573.011147,1000,1236.08298
645.602512,1000,1245.986955
631.786605,1000,1255.85046
590.077812,1000,1265.81771
625.291527,1000,1275.699448
642.173049,1000,1285.565062
631.401163,1000,1295.45034
697.008703,1000,1305.331974
619.335614,1000,1315.16819
642.768613,1000,1325.02428
661.403641,1000,1334.93723
647.319045,1000,1344.830021
658.547183,1000,1354.732502
608.869877,1000,1364.703685
621.679226,1000,1374.564851
217.929754,1000,1384.445161
145.852297,1000,1394.336319
367.02661,1000,1404.237813
288.06372,1000,1414.104958
582.867073,1000,1423.952315
646.96124,1000,1433.810017
640.789481,1000,1443.722074
633.10039,1000,1453.702377
773.478829,1000,1463.642904
648.008827,1000,1473.543892
611.610791,1000,1483.512836
645.671244,1000,1493.49736
626.516164,1000,1503.484723
616.270688,1000,1513.425397
656.951982,1000,1523.379995
633.986295,1000,1533.266044
633.275392,1000,1543.251351
675.455693,1000,1553.117409
649.373318,1000,1562.994101
665.720521,1000,1572.874428
604.132508,1000,1582.736696
626.907315,1000,1592.618563
629.108104,1000,1602.485445
648.381381,1000,1612.335696
536.620296,1000,1622.213322
631.687989,1000,1632.122911
605.314011,1000,1642.111958
613.069185,1000,1651.971944
620.495135,1000,1661.841462
637.663808,1000,1671.743047
613.306476,1000,1681.613899
629.013208,1000,1691.480957
637.645324,1000,1701.353919
652.266387,1000,1711.247665
612.01527,1000,1721.307731
635.076243,1000,1731.35295
627.013269,1000,1741.240626
652.51808,1000,1751.11266
613.719762,1000,1760.955505
629.99254,1000,1770.827394
629.631419,1000,1780.691824
637.606058,1000,1790.562855
620.245637,1000,1800.432187
618.223231,1000,1810.297175
627.357963,1000,1820.252961
628.85953,1000,1830.121513
643.498664,1000,1840.003329
636.696772,1000,1849.902028
627.481656,1000,1859.763905
636.567328,1000,1869.653313
624.045553,1000,1879.517252
635.021145,1000,1889.411975
649.817236,1000,1899.279085
627.282596,1000,1909.253553
651.102933,1000,1919.137455
618.381612,1000,1929.008862
624.478332,1000,1938.889638
647.077453,1000,1948.861366
640.492887,1000,1958.765987
627.210165,1000,1968.65629
624.329538,1000,1978.52936
634.739786,1000,1988.412231
642.731827,1000,1998.305119
630.952076,1000,2008.335393
622.251072,1000,2018.295806
619.052642,1000,2028.178311
626.193469,1000,2038.08358
639.817845,1000,2047.958887
629.758586,1000,2057.826462
619.290596,1000,2067.742022
612.023945,1000,2077.603146
626.696128,1000,2087.487544
654.634235,1000,2097.522753
634.097074,1000,2107.417892
628.193717,1000,2117.29128
619.18076,1000,2127.200581
612.801151,1000,2137.182985
634.534854,1000,2147.157077
645.899671,1000,2157.062113
640.300894,1000,2166.971231
634.845211,1000,2177.074995
640.379319,1000,2187.181454
625.284971,1000,2197.218726
629.157536,1000,2207.208964
632.975563,1000,2217.078219
623.121696,1000,2227.002232
631.751105,1000,2237.04881
624.793456,1000,2247.231133
628.418085,1000,2257.237757
626.149129,1000,2267.412128
630.42875,1000,2277.236715
626.299964,1000,2287.251059
627.144184,1000,2297.10999
623.322202,1000,2306.929472
637.550378,1000,2316.775673
635.741409,1000,2326.618079
632.90218,1000,2336.455088
633.216549,1000,2346.305886
640.442218,1000,2356.141012
644.529423,1000,2365.957197
627.633487,1000,2375.904943
636.120661,1000,2385.748986
626.762173,1000,2395.575498
623.756993,1000,2405.424939
628.930936,1000,2415.281117
633.822522,1000,2425.132105
639.001626,1000,2434.96936
629.060684,1000,2444.894551
631.088719,1000,2454.98821
629.369208,1000,2464.969535
634.172963,1000,2474.873271
635.661616,1000,2484.777481
630.57255,1000,2494.635377
639.480714,1000,2504.641311
619.027283,1000,2514.646232
629.813109,1000,2524.650207
635.424755,1000,2534.543021
630.424918,1000,2544.430283
621.854348,1000,2554.433546
622.39277,1000,2564.317396
632.127064,1000,2574.197628
632.29438,1000,2584.09592
633.168038,1000,2593.98037
618.497132,1000,2603.858197
622.892953,1000,2613.760896
618.423127,1000,2623.655423
626.062409,1000,2633.617701
635.542486,1000,2643.505585
626.843739,1000,2653.493405
626.401984,1000,2663.390929
636.016366,1000,2673.354199
612.149667,1000,2683.24759
628.531208,1000,2693.134433
628.578444,1000,2703.011145
613.274566,1000,2712.896248
633.535691,1000,2722.790838
623.728086,1000,2732.726224
628.387406,1000,2742.711933
631.321387,1000,2752.628863
623.668323,1000,2762.514228
619.361342,1000,2772.585236
629.08608,1000,2782.642146
631.50815,1000,2792.613094
632.223787,1000,2802.539582
623.078021,1000,2812.490642
630.442567,1000,2822.447573
620.581757,1000,2832.461223
635.120807,1000,2842.337931
616.424543,1000,2852.287309
637.855674,1000,2862.167459
610.810871,1000,2872.132249
638.602516,1000,2882.02844
635.159055,1000,2892.018057
623.588697,1000,2901.988445
631.416495,1000,2911.849183
630.442343,1000,2921.749785
629.061009,1000,2931.758445
625.771054,1000,2941.665227
622.56793,1000,2951.597313
614.54272,1000,2961.544174
