#{"t_start": 1582826405.6849093, "env_id": "my_panda_free_space_traj"}
r,l,t
91.058275,301,30.520452
221.724404,301,52.897229
338.853363,301,74.848762
319.911835,301,96.268193
223.722877,301,118.749435
893.578744,301,140.982576
467.705089,301,163.032925
578.321452,301,185.591372
1727.780121,301,206.885131
1955.215161,301,228.1596
1773.607989,301,249.979408
1517.295229,301,271.553542
1360.881646,301,292.445749
1811.958774,301,314.00628
1890.685771,301,334.852973
2191.05164,301,356.306893
1924.474761,301,377.158028
2219.596752,301,397.991057
2415.125531,301,419.327213
2472.492558,301,440.488953
2616.797633,301,461.268741
2509.195338,301,482.322426
2569.214814,301,503.234792
2523.600868,301,523.963576
2771.287789,301,545.174891
2666.897916,301,566.625832
2532.164033,301,587.552733
2381.488122,301,608.760935
2382.882215,301,629.778853
2584.846534,301,651.129875
2482.288784,301,672.590446
2136.215751,301,694.031657
2335.019405,301,714.829391
2598.911296,301,737.241622
2716.859905,301,758.78245
2735.191635,301,780.126997
2424.42068,301,801.881219
2290.318598,301,823.1183
2358.669232,301,843.796842
2414.423367,301,864.59388
2626.787571,301,886.163459
2046.165412,301,907.156099
2338.821821,301,927.5271
2758.691572,301,948.825055
2480.480541,301,969.913096
2232.658936,301,990.839356
2293.867492,301,1012.179022
2425.813552,301,1033.230184
2038.106365,301,1054.674497
2260.710428,301,1076.046643
2513.298645,301,1097.488163
2427.109075,301,1119.589548
2283.442577,301,1140.938132
2491.305084,301,1163.233838
2576.248221,301,1185.185483
2516.215341,301,1208.456024
2278.433706,301,1231.146919
2282.444748,301,1253.392262
2241.952637,301,1275.313377
2638.220743,301,1297.747672
2424.185212,301,1320.250407
2325.130681,301,1341.638645
2208.551263,301,1363.351499
2438.564573,301,1385.58887
2331.051132,301,1407.917141
2294.087028,301,1429.315256
2279.112898,301,1450.932402
2512.814743,301,1472.721368
2389.077962,301,1493.734111
2482.32579,301,1516.975785
2485.4879,301,1539.990933
1998.566665,301,1561.720684
2332.255002,301,1583.115977
2443.213416,301,1605.667738
2556.337498,301,1627.000243
2163.298322,301,1648.512878
2472.970153,301,1670.34304
2337.018138,301,1692.401791
2156.345942,301,1713.818568
2186.221934,301,1735.413749
2395.210675,301,1756.47954
2351.821039,301,1777.829681
2466.526997,301,1799.483917
2368.972138,301,1821.523998
2238.185449,301,1843.554034
2309.021576,301,1865.333411
2380.207885,301,1887.622971
2508.925365,301,1909.988303
2022.889444,301,1931.21399
2474.137255,301,1952.478019
2289.159169,301,1975.10837
1993.641492,301,1996.920974
2477.631878,301,2018.28921
2180.78001,301,2040.610392
2302.32385,301,2062.60524
2266.841488,301,2084.249935
2190.094655,301,2106.190737
2170.730409,301,2127.667711
2334.693328,301,2149.172366
2174.55941,301,2170.97196
2314.644922,301,2192.585406
2027.470324,301,2214.281535
2452.614487,301,2236.182595
2423.38481,301,2258.121093
2178.300516,301,2280.402847
2080.704423,301,2301.856791
2177.603084,301,2323.679923
2253.234408,301,2344.984449
2145.263239,301,2366.1178
2372.464992,301,2387.862487
2171.562894,301,2409.215414
2418.231421,301,2430.561535
2226.256327,301,2452.403594
2037.305419,301,2474.262462
2342.057404,301,2495.811889
2014.905351,301,2517.7803
2228.303702,301,2539.102499
2039.120388,301,2560.127154
2194.341849,301,2581.348015
2274.856871,301,2602.402869
2264.184145,301,2623.731924
2048.571292,301,2645.471082
2092.965572,301,2667.135402
2186.994037,301,2689.494744
2058.337128,301,2711.70912
1877.744736,301,2733.186156
2184.812623,301,2754.644813
2252.739953,301,2775.832519
2186.953641,301,2795.651326
2000.057905,301,2816.00754
2090.481675,301,2836.101459
2011.029552,301,2857.255773
2555.900876,301,2878.138242
1850.950897,301,2899.123871
2224.652388,301,2918.974084
2112.735602,301,2938.581158
2131.040783,301,2959.828775
1997.471086,301,2979.807842
2028.479058,301,3000.798784
1895.186261,301,3021.95625
1989.171076,301,3043.056209
2269.370062,301,3064.09341
2063.122843,301,3084.83163
1771.821391,301,3105.312959
1963.205229,301,3126.647999
1843.940807,301,3147.396667
1922.762656,301,3168.279046
2009.25464,301,3188.863491
2031.23124,301,3209.067445
2179.886155,301,3229.460953
1773.230156,301,3250.681907
2041.802673,301,3271.071258
2054.923237,301,3291.338934
1677.563747,301,3311.560875
1982.954062,301,3331.852838
1629.318022,301,3352.917411
1993.770496,301,3373.304272
1991.197747,301,3393.743443
1697.524898,301,3414.634794
1684.097899,301,3435.685988
1884.844317,301,3456.253914
1858.572395,301,3477.807365
1831.579565,301,3498.945204
1949.850057,301,3519.741979
1778.706126,301,3539.963552
1667.357298,301,3559.468073
1764.753173,301,3580.305284
1619.327972,301,3602.176693
1801.498919,301,3624.246469
2060.106152,301,3644.866876
2021.273822,301,3665.172923
1926.364218,301,3686.226671
1942.536762,301,3706.722656
1760.617398,301,3727.641578
1721.482483,301,3747.983438
1971.843898,301,3769.654574
1538.196873,301,3789.842563
1946.320212,301,3809.365944
1670.167193,301,3829.701897
1887.96015,301,3850.905201
1762.109437,301,3871.039447
1793.665566,301,3892.037044
1698.969009,301,3912.368677
1354.652007,301,3933.046918
1513.669298,301,3954.638061
1472.395129,301,3976.768617
1579.095109,301,3997.811068
1643.739246,301,4018.673664
1477.200636,301,4039.414293
1647.232085,301,4059.52063
1586.840949,301,4079.235087
1476.660411,301,4099.821177
1295.268856,301,4120.411681
1582.158583,301,4140.96051
1445.140073,301,4161.545628
1504.841151,301,4182.239278
1579.728523,301,4202.921882
1673.600621,301,4223.436478
1633.346757,301,4244.220189
1453.012065,301,4263.948277
1568.805916,301,4284.335402
1563.394646,301,4304.570319
1576.993212,301,4326.52414
1763.772441,301,4346.920719
1297.875659,301,4367.522965
1723.807301,301,4388.695949
1296.033694,301,4408.474142
1322.563982,301,4429.063712
1239.804358,301,4449.619788
1463.918012,301,4469.758361
1411.653688,301,4490.45699
1241.046628,301,4510.313789
1644.759172,301,4530.50157
1022.674762,301,4550.806525
1158.033006,301,4570.302223
1086.559874,301,4591.006635
1419.530624,301,4612.186896
992.705557,301,4633.439038
1215.196958,301,4653.7831
1316.188712,301,4674.013055
1130.634865,301,4695.669717
1447.077384,301,4716.269468
1066.79755,301,4738.093727
1383.424058,301,4758.342951
1038.990545,301,4779.462222
1421.855886,301,4799.807556
1111.616602,301,4820.744967
800.731328,301,4842.039167
1177.07734,301,4862.139603
952.372914,301,4882.006462
1193.147672,301,4901.993155
859.258464,301,4922.267287
1410.563284,301,4943.997867
1276.403632,301,4964.140407
1035.050486,301,4985.425513
994.25818,301,5006.321025
1155.887268,301,5028.411305
