#{"env_id": null, "t_start": 1581981065.069834}
r,l,t
9.514562,1000,31.6801
26.615594,1000,57.753371
85.598523,1000,82.141155
353.858715,1000,106.30602
255.881072,1000,137.146447
315.165142,1000,169.430906
417.606214,1000,198.156613
604.721044,1000,228.796907
260.129819,1000,259.855489
797.783254,1000,290.483501
1158.080303,1000,320.527569
1419.838304,1000,349.483536
1348.113173,1000,380.950343
1518.486687,1000,410.706561
6575.807655,1000,441.485762
20437.715816,1000,474.004404
27903.692942,1000,506.097761
10252.318907,1000,537.099007
16854.359369,1000,566.791529
34674.083817,1000,599.624598
11225.112888,1000,631.037391
10907.452211,1000,660.328528
13898.211492,1000,688.828868
28706.285036,1000,719.414427
15388.727687,1000,748.611106
18017.91689,1000,780.343927
30702.329592,1000,811.604659
42755.760004,1000,842.316715
55566.405941,1000,874.3481
74625.96555,1000,906.908167
13585.640587,1000,936.579815
67411.153204,1000,968.018424
37765.902238,1000,998.316706
21767.535739,1000,1028.114863
22299.836674,1000,1058.492967
29697.086681,1000,1088.512254
34019.047321,1000,1120.139839
41870.77269,1000,1151.008301
46757.17279,1000,1181.240883
37491.779291,1000,1211.586638
37096.276766,1000,1242.612023
43182.393744,1000,1272.433448
42719.709474,1000,1303.594348
41386.655495,1000,1336.265936
43774.792307,1000,1369.126878
31027.869781,1000,1400.825224
43116.247998,1000,1432.586029
52462.456459,1000,1464.410313
62001.689278,1000,1495.315315
65708.917785,1000,1523.831847
59299.413328,1000,1553.964423
77607.838974,1000,1582.514763
73198.971056,1000,1612.985153
73601.016641,1000,1642.607239
75740.443397,1000,1672.241367
83434.414031,1000,1704.087553
77363.546443,1000,1734.132787
90835.067118,1000,1763.938519
84641.351475,1000,1794.075182
84914.516549,1000,1824.096021
91631.408142,1000,1854.133373
66160.637673,1000,1884.453604
96583.830468,1000,1914.785225
99243.896355,1000,1944.804719
93668.909334,1000,1975.529531
89066.084076,1000,2007.555362
93056.708019,1000,2038.517779
63428.099955,1000,2067.698661
83888.074432,1000,2097.565879
84377.375827,1000,2126.302538
87416.548411,1000,2156.992102
86653.576215,1000,2186.287436
46681.941477,1000,2214.574957
91174.537434,1000,2243.57633
90635.179738,1000,2274.007928
100252.726067,1000,2303.063319
95913.735506,1000,2331.991145
97171.049337,1000,2361.16179
76250.797105,1000,2391.224821
102464.052667,1000,2421.777998
103560.848647,1000,2452.317754
88194.743363,1000,2483.754302
84681.997137,1000,2515.431302
63890.84079,1000,2544.965376
63888.613203,1000,2574.974368
91487.362345,1000,2605.747026
92923.313056,1000,2635.938081
90300.802991,1000,2664.330629
88068.815652,1000,2694.613401
86454.036675,1000,2724.534639
100909.344984,1000,2755.171396
104158.72205,1000,2785.8614
108266.575548,1000,2816.00163
99315.424377,1000,2845.088573
98472.584359,1000,2877.125183
103110.169213,1000,2907.485792
82604.898045,1000,2936.38866
83899.679199,1000,2965.551597
90972.109668,1000,2995.567634
105092.987344,1000,3026.856805
76062.219581,1000,3055.892872
104001.526389,1000,3085.440648
95431.88331,1000,3115.761484
69821.934116,1000,3145.612936
94653.220212,1000,3176.380097
91353.018108,1000,3206.709001
93080.357086,1000,3236.428117
79956.759442,1000,3267.153801
81986.403095,1000,3296.544217
105260.082584,1000,3326.816961
94525.486463,1000,3357.097309
111367.928374,1000,3384.975053
97666.542635,1000,3412.582462
81487.497726,1000,3439.645023
83345.788879,1000,3467.335304
86974.590911,1000,3494.639187
80749.029291,1000,3521.680833
111396.081682,1000,3549.557573
102958.262872,1000,3577.450387
76799.162413,1000,3604.179103
54388.066924,1000,3630.713982
90845.380083,1000,3657.377544
79278.114437,1000,3684.333939
85943.747887,1000,3711.209461
93707.867145,1000,3738.489439
86364.222571,1000,3765.532228
97823.301692,1000,3791.870872
82554.337459,1000,3818.465126
95539.862544,1000,3845.014404
90448.384997,1000,3871.619255
46581.430401,1000,3898.163344
56555.662812,1000,3925.323782
67677.484418,1000,3951.837582
100885.676886,1000,3978.447726
84603.180606,1000,4005.845387
78330.073149,1000,4033.784227
81227.225675,1000,4060.649306
79377.387445,1000,4087.86697
85084.562967,1000,4115.547278
55507.79778,1000,4142.921884
38327.929053,1000,4170.875533
25436.52462,1000,4198.612856
