#{"env_id": "my_panda_free_space_traj", "t_start": 1582826379.1545007}
r,l,t
132.969034,300,18.526467
145.367782,300,31.357341
134.759304,300,44.282897
179.394081,300,56.686619
91.991849,300,68.862027
126.950982,300,80.759665
122.990587,300,92.817879
91.843448,300,105.136576
87.558168,300,117.094505
90.369937,300,129.350077
199.049039,300,141.679646
70.758154,300,153.71272
76.757395,300,165.548355
96.541104,300,177.456267
125.2681,300,189.81713
371.574009,300,201.453686
146.236767,300,213.879832
179.16088,300,225.944494
165.832087,300,238.232591
126.502795,300,250.502588
172.793979,300,262.110122
219.152556,300,273.634913
391.888251,300,285.183486
263.480507,300,296.666681
288.382861,300,307.997344
413.239198,300,319.215111
446.406422,300,330.646172
545.65044,300,341.934411
351.274211,300,353.468234
432.103731,300,364.497517
486.44663,300,375.583391
685.057404,300,386.466496
634.692936,300,397.492624
664.497398,300,408.869467
551.311283,300,419.71005
489.141972,300,430.809543
595.300121,300,441.726533
629.081094,300,452.543598
807.916872,300,463.393514
818.20987,300,474.762205
850.788453,300,486.173026
679.091069,300,497.454334
848.842223,300,508.187585
956.996504,300,519.480458
900.281735,300,530.236469
918.733477,300,541.275009
1115.024253,300,552.151548
951.635014,300,563.2154
889.920127,300,574.194594
1040.921087,300,585.385006
1263.692369,300,596.31947
978.452772,300,607.161848
1064.02463,300,618.08539
1276.036087,300,629.341524
898.507452,300,640.480326
1188.22255,300,651.124758
1426.332017,300,662.269599
1282.137163,300,673.053934
1780.743167,300,683.985412
1894.426155,300,695.301889
2104.313337,300,706.764184
2341.419654,300,717.828227
2318.711226,300,729.15868
1915.485028,300,740.497714
2636.516538,300,751.587098
2078.877301,300,762.768552
2567.290849,300,773.626027
2230.204299,300,784.826667
2516.927664,300,796.350243
2791.245117,300,807.526941
2785.877467,300,818.585731
2597.1249,300,829.638499
2743.924549,300,840.863874
2626.914317,300,851.556117
2890.762973,300,862.639047
2875.494631,300,873.626714
2871.462044,300,884.834203
2760.553101,300,895.871392
2682.931567,300,907.031874
2964.409403,300,918.394875
2545.00836,300,929.397213
2875.758356,300,940.393241
2853.041474,300,951.544546
2847.475873,300,962.537532
2748.661008,300,973.478894
3047.134777,300,984.600177
3285.55155,300,995.719792
2942.922912,300,1006.835901
2791.689063,300,1017.81351
3036.266243,300,1029.252905
2868.591251,300,1040.282211
2951.063693,300,1051.412126
2914.785175,300,1062.761521
3202.852524,300,1074.472013
2787.174217,300,1086.281409
3078.552046,300,1097.548753
2966.423127,300,1108.581255
2871.929372,300,1119.980831
3146.778637,300,1131.715657
2579.889612,300,1142.62955
2844.052972,300,1154.110181
2926.369264,300,1165.538145
2582.710356,300,1176.914572
2688.527235,300,1188.650092
2812.455352,300,1200.044769
2820.187609,300,1211.704603
2696.79303,300,1223.615905
3086.436904,300,1235.554868
2961.245209,300,1247.376837
2848.17451,300,1259.271982
2365.704157,300,1271.621369
2892.264477,300,1283.491074
2666.249445,300,1294.920678
2706.161964,300,1306.756806
2875.607948,300,1318.756911
2742.588088,300,1330.90044
2642.809894,300,1342.130091
2860.662657,300,1353.636965
2627.873876,300,1365.261685
2720.705061,300,1376.006436
2410.339455,300,1387.283602
2866.218297,300,1398.348688
2485.565422,300,1409.452718
2558.892876,300,1421.258604
2451.395664,300,1432.52611
2696.34421,300,1443.886544
2951.742965,300,1455.52284
2358.995853,300,1467.048929
2663.710192,300,1478.73385
2517.203063,300,1490.239552
2444.196197,300,1501.850235
2408.389539,300,1513.071618
2606.303095,300,1524.590105
2581.584549,300,1536.627701
2460.924936,300,1548.900112
2487.534001,300,1560.441468
2438.007736,300,1572.293839
2787.701614,300,1583.524657
