#{"env_id": null, "t_start": 1582060676.7518468}
r,l,t
10.808111,1000,31.89734
9.805192,1000,58.507487
14.681028,1000,85.728343
8.033487,1000,110.563842
1551.693494,1000,138.123368
161.237473,1000,171.118901
278.362423,1000,204.345332
295.934631,1000,235.725223
379.738901,1000,265.216039
601.634347,1000,293.683795
709.615261,1000,321.292486
850.313778,1000,348.869217
999.827806,1000,375.807801
840.486375,1000,403.568701
986.398414,1000,431.199336
1520.832084,1000,457.293471
1973.777727,1000,483.139109
2437.367865,1000,508.691016
2544.151397,1000,533.910244
2518.618461,1000,559.231473
2690.331458,1000,585.203757
2779.398794,1000,611.301709
2748.772825,1000,637.713208
2856.789443,1000,663.252142
2954.267758,1000,689.851092
2857.820726,1000,714.807928
2955.79353,1000,739.954555
2976.027992,1000,766.253988
2879.512948,1000,792.29789
3045.520251,1000,817.451672
3014.62463,1000,843.312856
2952.557859,1000,869.544883
3004.07636,1000,896.043444
3123.373699,1000,921.518172
3108.325093,1000,946.906415
3090.773814,1000,972.603875
3148.657796,1000,999.064027
3179.603383,1000,1024.873589
3183.111985,1000,1050.22306
3211.625645,1000,1075.931677
3212.535593,1000,1101.835932
3231.191686,1000,1127.534688
3251.15304,1000,1151.848906
3271.758519,1000,1177.997516
3284.16525,1000,1203.477634
3282.969766,1000,1229.013261
3310.496673,1000,1255.21265
3306.825476,1000,1281.229382
3304.040256,1000,1307.028108
3314.060469,1000,1332.02644
3324.352575,1000,1358.08083
3329.375729,1000,1382.645687
3326.540069,1000,1408.060553
3318.145793,1000,1433.771992
3333.764902,1000,1459.319529
3327.384612,1000,1484.022216
3332.737829,1000,1509.405789
3333.910261,1000,1534.518067
3334.864403,1000,1560.542916
3337.43552,1000,1586.01276
3326.019812,1000,1611.270569
3336.628128,1000,1637.120056
3331.677758,1000,1663.003177
3332.982893,1000,1688.259381
3319.361943,1000,1713.465319
3314.295173,1000,1738.447395
3329.227963,1000,1763.324482
3331.871423,1000,1787.648882
3323.172564,1000,1812.419491
3335.597039,1000,1837.659543
3351.37237,1000,1863.603463
3327.726282,1000,1889.370946
3345.2818,1000,1913.797538
3325.19679,1000,1939.009952
3337.102618,1000,1964.24405
3323.775334,1000,1990.17095
3332.042947,1000,2016.10392
3336.010152,1000,2041.87019
3326.189215,1000,2067.773064
3327.279876,1000,2093.107633
3310.211976,1000,2119.329805
3318.150344,1000,2144.419099
3335.182566,1000,2169.351085
3333.617533,1000,2195.500387
3326.697791,1000,2220.301374
3327.609034,1000,2245.866175
3325.152976,1000,2271.426516
3322.78334,1000,2297.41146
3328.852682,1000,2322.047013
3311.056027,1000,2346.491239
3313.026987,1000,2372.614764
3330.953569,1000,2398.331925
3327.727977,1000,2423.969916
3315.106118,1000,2448.5275
3316.137237,1000,2473.20838
3333.636966,1000,2499.044527
3305.31544,1000,2524.07944
3323.448952,1000,2549.770481
3316.837488,1000,2574.205704
3333.682638,1000,2598.83
3313.519583,1000,2623.662753
3305.423455,1000,2648.365364
3314.938924,1000,2672.467867
3319.266516,1000,2697.132638
3322.179105,1000,2722.061294
3318.640243,1000,2747.107942
3322.608773,1000,2771.750232
3320.560293,1000,2797.348141
3313.683488,1000,2823.460744
3329.705742,1000,2849.536069
3314.990472,1000,2874.509003
3304.178061,1000,2900.34549
3307.100989,1000,2926.241222
3328.174778,1000,2951.513205
3327.176569,1000,2977.301658
3320.493349,1000,3001.334613
3316.370723,1000,3025.649009
3306.112295,1000,3050.368551
3324.627842,1000,3076.116739
3303.729765,1000,3099.985626
3320.807636,1000,3124.661937
3297.771391,1000,3150.398836
3310.469193,1000,3175.513767
3315.899728,1000,3200.048551
3321.494371,1000,3224.689933
3322.068353,1000,3250.083282
3315.176167,1000,3274.699659
3309.474354,1000,3298.60367
3307.138861,1000,3323.489047
3312.156965,1000,3348.056742
3315.641499,1000,3372.913072
3321.104726,1000,3397.832453
3315.009625,1000,3423.307264
3320.532522,1000,3448.86992
3307.698739,1000,3473.358759
3321.461504,1000,3498.087338
3327.172333,1000,3523.499018
3308.361596,1000,3548.430264
3324.666162,1000,3573.949062
3315.341887,1000,3597.51031
3308.800713,1000,3620.203935
3322.161281,1000,3644.089489
